negatives
"frozenset({'Q92731', 'A8CG34', 'CRH'})"
"frozenset({'Q8N3V7', 'CRH', 'Q5JWF2'})"
"frozenset({'Q5D1E8', 'Q9NZD4', 'CRH'})"
"frozenset({'Q07021', 'Q9Y399', 'CRH'})"
"frozenset({'Q15323', 'CRH', 'O60259'})"
"frozenset({'Q9BVA1', 'P20073', 'CRH'})"
"frozenset({'Q9Y4Z0', 'Q15020', 'CRH'})"
"frozenset({'Q8IWV7', 'O94888', 'CRH'})"
"frozenset({'Q8N511', 'CRH', 'Q16623'})"
"frozenset({'Q99962', 'CRH', 'P35367'})"
"frozenset({'P22694', 'CRH', 'P54646'})"
"frozenset({'P25054', 'Q9BZK7', 'CRH'})"
"frozenset({'O00515', 'Q6IQ23', 'CRH'})"
"frozenset({'Q15147', 'Q5T6X5', 'CRH'})"
"frozenset({'Q8IYB7', 'O00257', 'CRH'})"
"frozenset({'Q96JB3', 'Q15119', 'CRH'})"
"frozenset({'P83436', 'Q14746', 'CRH'})"
"frozenset({'Q5GH76', 'CRH', 'Q66GS9'})"
"frozenset({'P63096', 'CRH', 'Q16539'})"
"frozenset({'Q12967', 'P11234', 'CRH'})"
"frozenset({'P11137', 'CRH', 'P67809'})"
"frozenset({'Q9NRD1', 'P21964', 'CRH'})"
"frozenset({'Q8TF66', 'P51665', 'CRH'})"
"frozenset({'P05412', 'P61964', 'CRH'})"
"frozenset({'Q8IYX0', 'Q99750', 'CRH'})"
"frozenset({'O60663', 'P81877', 'CRH'})"
"frozenset({'P14618', 'P35222', 'CRH'})"
"frozenset({'Q13895', 'CRH', 'Q9NVP1'})"
"frozenset({'Q9NY93', 'CRH', 'P82930'})"
"frozenset({'P16220', 'CRH', 'Q96T25'})"
"frozenset({'P61224', 'Q9HCE1', 'CRH'})"
"frozenset({'Q96FW1', 'P84085', 'CRH'})"
"frozenset({'Q9UBS9', 'P07237', 'CRH'})"
"frozenset({'Q15113', 'Q9H8V3', 'CRH'})"
"frozenset({'Q13620', 'P13647', 'CRH'})"
"frozenset({'Q04864', 'Q9BZF9', 'CRH'})"
"frozenset({'P63279', 'O75925', 'CRH'})"
"frozenset({'CRH', 'Q58DX5', 'Q99726'})"
"frozenset({'P53621', 'Q9C009', 'CRH'})"
"frozenset({'Q9H2K0', 'P28482', 'CRH'})"
"frozenset({'CRH', 'Q9BWW4', 'Q9NUY8'})"
"frozenset({'Q07021', 'CRH', 'O43865'})"
"frozenset({'Q9UI47', 'Q96KQ7', 'CRH'})"
"frozenset({'P12270', 'CRH', 'P57740'})"
"frozenset({'O94776', 'Q9P2D1', 'CRH'})"
"frozenset({'Q6ZRI6', 'Q9Y2G2', 'CRH'})"
"frozenset({'P36578', 'P46778', 'CRH'})"
"frozenset({'Q6TFL4', 'P58753', 'CRH'})"
"frozenset({'P05000', 'P26992', 'CRH'})"
"frozenset({'Q12873', 'P55212', 'CRH'})"
"frozenset({'Q92526', 'P36542', 'CRH'})"
"frozenset({'O75360', 'Q9UHR5', 'CRH'})"
"frozenset({'P09497', 'Q9UQE7', 'CRH'})"
"frozenset({'Q8TAD2', 'Q969J5', 'CRH'})"
"frozenset({'Q9NU53', 'Q9Y5Y0', 'CRH'})"
"frozenset({'Q15468', 'Q9H3U1', 'CRH'})"
"frozenset({'P12882', 'Q86UR5', 'CRH'})"
"frozenset({'CRH', 'Q9C0K7', 'P62993'})"
"frozenset({'P19419', 'Q92826', 'CRH'})"
"frozenset({'P49639', 'P40424', 'CRH'})"
"frozenset({'P13284', 'Q7Z3V4', 'CRH'})"
"frozenset({'P51805', 'Q99985', 'CRH'})"
"frozenset({'Q86YT5', 'Q9BYR7', 'CRH'})"
"frozenset({'P07948', 'P24071', 'CRH'})"
"frozenset({'Q92797', 'P23508', 'CRH'})"
"frozenset({'Q9H0E3', 'Q9Y4A5', 'CRH'})"
"frozenset({'Q13557', 'P18846', 'CRH'})"
"frozenset({'P63098', 'Q08209', 'CRH'})"
"frozenset({'Q8IXI1', 'CRH', 'Q13177'})"
"frozenset({'Q15560', 'O00291', 'CRH'})"
"frozenset({'P61978', 'Q8WWY3', 'CRH'})"
"frozenset({'CRH', 'Q8IX18', 'Q15013'})"
"frozenset({'P01571', 'Q9UHF4', 'CRH'})"
"frozenset({'Q03014', 'Q14973', 'CRH'})"
"frozenset({'O60264', 'CRH', 'Q9UPN9'})"
"frozenset({'Q93034', 'CRH', 'P62701'})"
"frozenset({'Q96L33', 'P85298', 'CRH'})"
"frozenset({'Q92949', 'Q9H1B5', 'CRH'})"
"frozenset({'P24941', 'CRH', 'Q9UBU7'})"
"frozenset({'Q6P1L8', 'CRH', 'Q9HD33'})"
"frozenset({'Q15109', 'CRH', 'P35568'})"
"frozenset({'O60437', 'O14978', 'CRH'})"
"frozenset({'O15247', 'Q9Y696', 'CRH'})"
"frozenset({'Q12772', 'P20036', 'CRH'})"
"frozenset({'Q96QS6', 'Q58FG1', 'CRH'})"
"frozenset({'Q00526', 'Q15078', 'CRH'})"
"frozenset({'P55196', 'Q9Y4C0', 'CRH'})"
"frozenset({'Q15052', 'P17612', 'CRH'})"
"frozenset({'O43347', 'Q9H361', 'CRH'})"
"frozenset({'O75746', 'O00483', 'CRH'})"
"frozenset({'Q14626', 'O60674', 'CRH'})"
"frozenset({'O14978', 'CRH', 'P49761'})"
"frozenset({'Q13618', 'CRH', 'Q13813'})"
"frozenset({'P53999', 'Q96BK5', 'CRH'})"
"frozenset({'Q00796', 'P49419', 'CRH'})"
"frozenset({'CRH', 'O00358', 'P40426'})"
"frozenset({'P06400', 'P45973', 'CRH'})"
"frozenset({'P04629', 'Q9Y2U8', 'CRH'})"
"frozenset({'P32121', 'P42766', 'CRH'})"
"frozenset({'P56537', 'CRH', 'Q13347'})"
"frozenset({'P54274', 'Q02809', 'CRH'})"
"frozenset({'P61326', 'CRH', 'Q9Y657'})"
"frozenset({'Q14469', 'CRH', 'Q9NVI1'})"
"frozenset({'P34897', 'Q9H4A5', 'CRH'})"
"frozenset({'Q9Y333', 'Q9BRZ2', 'CRH'})"
"frozenset({'Q13363', 'Q96T58', 'CRH'})"
"frozenset({'Q9H6E4', 'Q9NRR5', 'CRH'})"
"frozenset({'O14775', 'O00222', 'CRH'})"
"frozenset({'Q16082', 'P00414', 'CRH'})"
"frozenset({'Q9Y275', 'CRH', 'Q8N612'})"
"frozenset({'CRH', 'Q92985', 'P55854'})"
"frozenset({'Q96AG4', 'CRH', 'Q5TGU0'})"
"frozenset({'P50990', 'CRH', 'P35228'})"
"frozenset({'Q9H6E5', 'Q7L2J0', 'CRH'})"
"frozenset({'P61513', 'CRH', 'P61313'})"
"frozenset({'Q9Y3M8', 'P68366', 'CRH'})"
"frozenset({'Q9UQN3', 'Q13501', 'CRH'})"
"frozenset({'P28066', 'CRH', 'Q16401'})"
"frozenset({'Q58EX7', 'Q6ZTB9', 'CRH'})"
"frozenset({'Q02297', 'CRH', 'O60243'})"
"frozenset({'P20226', 'Q6P1X5', 'CRH'})"
"frozenset({'P62241', 'Q9Y4C8', 'CRH'})"
"frozenset({'P26371', 'CRH', 'P20155'})"
"frozenset({'P23396', 'CRH', 'P62424'})"
"frozenset({'Q9Y3Z3', 'P05067', 'CRH'})"
"frozenset({'Q16659', 'P52434', 'CRH'})"
"frozenset({'P17612', 'P30953', 'CRH'})"
"frozenset({'O00212', 'O00459', 'CRH'})"
"frozenset({'O60341', 'O43167', 'CRH'})"
"frozenset({'P17655', 'P18031', 'CRH'})"
"frozenset({'P33176', 'CRH', 'P31321'})"
"frozenset({'P09651', 'CRH', 'Q9H7Z6'})"
"frozenset({'Q9Y4K3', 'P61077', 'CRH'})"
"frozenset({'P60410', 'P43353', 'CRH'})"
"frozenset({'Q5FBB7', 'P30153', 'CRH'})"
"frozenset({'P11021', 'P12956', 'CRH'})"
"frozenset({'Q9UGP5', 'P21953', 'CRH'})"
"frozenset({'Q9Y4P1', 'Q9H492', 'CRH'})"
"frozenset({'Q9UHF1', 'Q9UM47', 'CRH'})"
"frozenset({'P52655', 'P02545', 'CRH'})"
"frozenset({'O60245', 'Q8NBA8', 'CRH'})"
"frozenset({'O95661', 'Q01094', 'CRH'})"
"frozenset({'O15084', 'O15120', 'CRH'})"
"frozenset({'P58180', 'Q9P2W3', 'CRH'})"
"frozenset({'CRH', 'Q99466', 'P04637'})"
"frozenset({'P04629', 'P30084', 'CRH'})"
"frozenset({'Q9Y6G9', 'Q3ZCM7', 'CRH'})"
"frozenset({'Q9UI38', 'Q96S52', 'CRH'})"
"frozenset({'Q99598', 'P04003', 'CRH'})"
"frozenset({'Q9NPI8', 'Q14469', 'CRH'})"
"frozenset({'P55081', 'Q8IXK0', 'CRH'})"
"frozenset({'Q9NUX5', 'Q9Y281', 'CRH'})"
"frozenset({'Q9HD26', 'CRH', 'P61923'})"
"frozenset({'P05156', 'CRH', 'P15529'})"
"frozenset({'Q13191', 'Q8N6P7', 'CRH'})"
"frozenset({'O75899', 'CRH', 'O60262'})"
"frozenset({'P49768', 'CRH', 'Q969H0'})"
"frozenset({'Q92900', 'Q86US8', 'CRH'})"
"frozenset({'P39748', 'P18858', 'CRH'})"
"frozenset({'P25786', 'CRH', 'Q8IWZ5'})"
"frozenset({'P60709', 'Q7Z406', 'CRH'})"
"frozenset({'P17029', 'Q86Y82', 'CRH'})"
"frozenset({'P08684', 'P00167', 'CRH'})"
"frozenset({'P09960', 'P37802', 'CRH'})"
"frozenset({'Q9BSI4', 'P07437', 'CRH'})"
"frozenset({'Q99961', 'P16234', 'CRH'})"
"frozenset({'P25490', 'P16220', 'CRH'})"
"frozenset({'Q9UNN5', 'Q96S15', 'CRH'})"
"frozenset({'O60573', 'CRH', 'Q96R06'})"
"frozenset({'Q8WXH5', 'Q15369', 'CRH'})"
"frozenset({'Q8TC90', 'CRH', 'Q9BYQ3'})"
"frozenset({'Q96JN8', 'Q6UVJ0', 'CRH'})"
"frozenset({'P55072', 'Q7KZ85', 'CRH'})"
"frozenset({'O43765', 'CRH', 'O43865'})"
"frozenset({'O95817', 'CRH', 'P62072'})"
"frozenset({'P51959', 'Q5T447', 'CRH'})"
"frozenset({'P47755', 'Q6WCQ1', 'CRH'})"
"frozenset({'Q8N6P7', 'CRH', 'P01242'})"
"frozenset({'O95271', 'Q9NWV8', 'CRH'})"
"frozenset({'Q96JN8', 'P20339', 'CRH'})"
"frozenset({'Q15303', 'P78352', 'CRH'})"
"frozenset({'Q8TAP6', 'CRH', 'P22234'})"
"frozenset({'CRH', 'P38936', 'P08138'})"
"frozenset({'Q2M2I5', 'Q9H492', 'CRH'})"
"frozenset({'Q14254', 'Q9H444', 'CRH'})"
"frozenset({'P15248', 'P40189', 'CRH'})"
"frozenset({'Q96EY1', 'Q9GZX7', 'CRH'})"
"frozenset({'Q15843', 'CRH', 'P17812'})"
"frozenset({'P05113', 'Q9UHF4', 'CRH'})"
"frozenset({'P04155', 'O00481', 'CRH'})"
"frozenset({'Q9Y3L3', 'Q9Y5K6', 'CRH'})"
"frozenset({'P11142', 'CRH', 'P11473'})"
"frozenset({'Q9Y2K1', 'P19338', 'CRH'})"
"frozenset({'Q12788', 'CRH', 'Q9NV06'})"
"frozenset({'Q96C28', 'Q5JU69', 'CRH'})"
"frozenset({'Q15915', 'Q9Y6H3', 'CRH'})"
"frozenset({'Q15185', 'Q70CQ1', 'CRH'})"
"frozenset({'Q96B97', 'O94850', 'CRH'})"
"frozenset({'O60513', 'P23229', 'CRH'})"
"frozenset({'P62714', 'Q8IYT8', 'CRH'})"
"frozenset({'O60506', 'Q8N5N7', 'CRH'})"
"frozenset({'CRH', 'Q9UBT6', 'Q86SE9'})"
"frozenset({'P22681', 'P28290', 'CRH'})"
"frozenset({'Q15526', 'CRH', 'P08574'})"
"frozenset({'Q8WXS5', 'P67775', 'CRH'})"
"frozenset({'P55081', 'Q99496', 'CRH'})"
"frozenset({'Q9H2C0', 'Q9P283', 'CRH'})"
"frozenset({'Q9NRG4', 'O14893', 'CRH'})"
"frozenset({'Q00722', 'P21802', 'CRH'})"
"frozenset({'P08758', 'CRH', 'Q03692'})"
"frozenset({'Q9P127', 'CRH', 'P49760'})"
"frozenset({'P60709', 'CRH', 'Q13347'})"
"frozenset({'Q96IJ6', 'Q9H4A6', 'CRH'})"
"frozenset({'P31943', 'CRH', 'P04792'})"
"frozenset({'Q8IYL2', 'Q9Y337', 'CRH'})"
"frozenset({'Q7L2H7', 'CRH', 'P04792'})"
"frozenset({'P29320', 'Q96H35', 'CRH'})"
"frozenset({'Q9Y4L1', 'Q96GX1', 'CRH'})"
"frozenset({'P62280', 'Q5TC82', 'CRH'})"
"frozenset({'Q16739', 'CRH', 'O95197'})"
"frozenset({'O95793', 'Q96EY7', 'CRH'})"
"frozenset({'Q04727', 'CRH', 'P78362'})"
"frozenset({'P62068', 'CRH', 'Q96SB3'})"
"frozenset({'Q9H1K1', 'A6NEM1', 'CRH'})"
"frozenset({'P41240', 'P49736', 'CRH'})"
"frozenset({'P33992', 'CRH', 'O14744'})"
"frozenset({'P63151', 'CRH', 'P62277'})"
"frozenset({'Q15323', 'O95835', 'CRH'})"
"frozenset({'P51816', 'P16220', 'CRH'})"
"frozenset({'Q8TAQ2', 'P49848', 'CRH'})"
"frozenset({'Q969T4', 'Q13618', 'CRH'})"
"frozenset({'O43395', 'CRH', 'Q15428'})"
"frozenset({'Q9BUF5', 'Q15051', 'CRH'})"
"frozenset({'P23588', 'Q9UBS0', 'CRH'})"
"frozenset({'Q9NR12', 'Q9BYM8', 'CRH'})"
"frozenset({'P61244', 'Q9NNX1', 'CRH'})"
"frozenset({'Q9UIM3', 'Q92993', 'CRH'})"
"frozenset({'P06703', 'CRH', 'P04637'})"
"frozenset({'A1L4H1', 'CRH', 'Q9UPT5'})"
"frozenset({'Q8TEW0', 'CRH', 'Q05513'})"
"frozenset({'O43493', 'P09958', 'CRH'})"
"frozenset({'P25786', 'P18615', 'CRH'})"
"frozenset({'O60869', 'P62158', 'CRH'})"
"frozenset({'Q9NV39', 'Q99750', 'CRH'})"
"frozenset({'P49863', 'P55061', 'CRH'})"
"frozenset({'P17612', 'Q8NGP2', 'CRH'})"
"frozenset({'P04629', 'O95819', 'CRH'})"
"frozenset({'Q9BXY8', 'Q9GZV8', 'CRH'})"
"frozenset({'Q6STE5', 'Q13315', 'CRH'})"
"frozenset({'P18887', 'Q9UHL9', 'CRH'})"
"frozenset({'Q6ZRQ5', 'Q96A08', 'CRH'})"
"frozenset({'O15047', 'P68431', 'CRH'})"
"frozenset({'P10415', 'P43234', 'CRH'})"
"frozenset({'P43405', 'CRH', 'Q16633'})"
"frozenset({'Q9NZM3', 'Q16630', 'CRH'})"
"frozenset({'P55209', 'Q13418', 'CRH'})"
"frozenset({'Q9P209', 'Q7Z7H3', 'CRH'})"
"frozenset({'Q9NWX5', 'CRH', 'P31939'})"
"frozenset({'P16220', 'Q8TAP4', 'CRH'})"
"frozenset({'P07900', 'P04626', 'CRH'})"
"frozenset({'P01106', 'P41227', 'CRH'})"
"frozenset({'P62424', 'P62917', 'CRH'})"
"frozenset({'P54762', 'P98172', 'CRH'})"
"frozenset({'Q8N960', 'Q5T5U3', 'CRH'})"
"frozenset({'Q04917', 'P02751', 'CRH'})"
"frozenset({'Q86X02', 'Q504U0', 'CRH'})"
"frozenset({'Q9NYL9', 'CRH', 'O43865'})"
"frozenset({'Q01844', 'P52292', 'CRH'})"
"frozenset({'CRH', 'Q5VYK3', 'Q9Y3A3'})"
"frozenset({'Q8NCP5', 'Q14160', 'CRH'})"
"frozenset({'O15379', 'Q86T24', 'CRH'})"
"frozenset({'P78539', 'Q9H492', 'CRH'})"
"frozenset({'P35638', 'Q13616', 'CRH'})"
"frozenset({'P22087', 'Q99496', 'CRH'})"
"frozenset({'Q96L91', 'Q9Y463', 'CRH'})"
"frozenset({'P17081', 'CRH', 'A1A4S6'})"
"frozenset({'P25705', 'Q9H3D4', 'CRH'})"
"frozenset({'P52849', 'Q9HAT2', 'CRH'})"
"frozenset({'P30480', 'O00264', 'CRH'})"
"frozenset({'P30939', 'Q9P2W3', 'CRH'})"
"frozenset({'P23219', 'P45983', 'CRH'})"
"frozenset({'O43790', 'Q7Z3Y7', 'CRH'})"
"frozenset({'Q9H9S0', 'Q9ULJ6', 'CRH'})"
"frozenset({'Q8WWC4', 'P61221', 'CRH'})"
"frozenset({'O60925', 'Q9H7V2', 'CRH'})"
"frozenset({'P14324', 'Q8IVT5', 'CRH'})"
"frozenset({'CRH', 'P48736', 'Q05513'})"
"frozenset({'P09651', 'Q15466', 'CRH'})"
"frozenset({'Q8N3U4', 'CRH', 'Q14683'})"
"frozenset({'Q9P2N2', 'CRH', 'P49286'})"
"frozenset({'P07355', 'Q66K74', 'CRH'})"
"frozenset({'Q96P47', 'CRH', 'P04792'})"
"frozenset({'Q8WWY7', 'CRH', 'Q9UMX0'})"
"frozenset({'Q9BTC8', 'CRH', 'Q9UBB5'})"
"frozenset({'P51532', 'Q09028', 'CRH'})"
"frozenset({'P98077', 'P62993', 'CRH'})"
"frozenset({'Q99714', 'P36969', 'CRH'})"
"frozenset({'P10070', 'CRH', 'P10071'})"
"frozenset({'P17936', 'CRH', 'P10275'})"
"frozenset({'Q14181', 'Q9BTY7', 'CRH'})"
"frozenset({'O14920', 'P67775', 'CRH'})"
"frozenset({'Q9UNX3', 'CRH', 'P61313'})"
"frozenset({'P46783', 'Q2NL82', 'CRH'})"
"frozenset({'Q13131', 'Q08117', 'CRH'})"
"frozenset({'O95373', 'O75792', 'CRH'})"
"frozenset({'CRH', 'Q5S007', 'Q7L576'})"
"frozenset({'P03372', 'P21333', 'CRH'})"
"frozenset({'P62913', 'Q9NWT1', 'CRH'})"
"frozenset({'Q6ZMZ0', 'P36873', 'CRH'})"
"frozenset({'P17655', 'P30419', 'CRH'})"
"frozenset({'P60370', 'Q8NE01', 'CRH'})"
"frozenset({'Q9GZT8', 'Q9BTE6', 'CRH'})"
"frozenset({'Q8IUZ0', 'CRH', 'O15078'})"
"frozenset({'P16220', 'CRH', 'P60568'})"
"frozenset({'P42336', 'Q00597', 'CRH'})"
"frozenset({'P04004', 'Q13683', 'CRH'})"
"frozenset({'O95402', 'P61218', 'CRH'})"
"frozenset({'O14492', 'Q13191', 'CRH'})"
"frozenset({'O43463', 'Q13950', 'CRH'})"
"frozenset({'P41212', 'Q9H6Z9', 'CRH'})"
"frozenset({'Q99501', 'CRH', 'Q9UJ70'})"
"frozenset({'P60604', 'Q8IWL3', 'CRH'})"
"frozenset({'Q9UG56', 'Q8NCG7', 'CRH'})"
"frozenset({'Q9Y5K5', 'P11021', 'CRH'})"
"frozenset({'Q9UM11', 'P53701', 'CRH'})"
"frozenset({'P40763', 'P49767', 'CRH'})"
"frozenset({'P25098', 'Q96R47', 'CRH'})"
"frozenset({'O15355', 'CRH', 'P49286'})"
"frozenset({'Q9H9G7', 'Q58FF6', 'CRH'})"
"frozenset({'Q9UPQ9', 'Q96KN7', 'CRH'})"
"frozenset({'P01106', 'CRH', 'Q14571'})"
"frozenset({'Q15717', 'P27824', 'CRH'})"
"frozenset({'O95467', 'Q8NFM4', 'CRH'})"
"frozenset({'P46781', 'CRH', 'P26373'})"
"frozenset({'P04629', 'O00571', 'CRH'})"
"frozenset({'P40818', 'P14555', 'CRH'})"
"frozenset({'Q13616', 'P13646', 'CRH'})"
"frozenset({'Q99570', 'CRH', 'Q9BXW4'})"
"frozenset({'Q9H2U2', 'P04040', 'CRH'})"
"frozenset({'Q13557', 'P38936', 'CRH'})"
"frozenset({'Q96L14', 'CRH', 'Q99819'})"
"frozenset({'Q9Y2I6', 'Q15025', 'CRH'})"
"frozenset({'Q8NI60', 'Q6RW13', 'CRH'})"
"frozenset({'P07900', 'CRH', 'Q29974'})"
"frozenset({'Q9UBW8', 'CRH', 'Q14247'})"
"frozenset({'Q9P287', 'P55072', 'CRH'})"
"frozenset({'Q9C0F1', 'Q9Y2T2', 'CRH'})"
"frozenset({'Q96HB5', 'Q3SY00', 'CRH'})"
"frozenset({'Q9NRN7', 'Q6IQ23', 'CRH'})"
"frozenset({'P11387', 'CRH', 'Q9H211'})"
"frozenset({'P98170', 'O14933', 'CRH'})"
"frozenset({'Q13884', 'Q9NTG7', 'CRH'})"
"frozenset({'P85037', 'Q13227', 'CRH'})"
"frozenset({'Q01860', 'Q8N8D1', 'CRH'})"
"frozenset({'Q13435', 'Q9HCE7', 'CRH'})"
"frozenset({'Q08211', 'Q99496', 'CRH'})"
"frozenset({'P11309', 'P08183', 'CRH'})"
"frozenset({'Q8N7C3', 'Q2M2I5', 'CRH'})"
"frozenset({'Q96EY1', 'P14618', 'CRH'})"
"frozenset({'Q8N1L9', 'P18848', 'CRH'})"
"frozenset({'P07195', 'P55786', 'CRH'})"
"frozenset({'CRH', 'P27361', 'P05026'})"
"frozenset({'P34932', 'Q8IXT1', 'CRH'})"
"frozenset({'Q8N163', 'CRH', 'Q9UBL3'})"
"frozenset({'P63092', 'Q9Y5W8', 'CRH'})"
"frozenset({'P08047', 'P17676', 'CRH'})"
"frozenset({'P16949', 'P43220', 'CRH'})"
"frozenset({'P23511', 'P53350', 'CRH'})"
"frozenset({'P19320', 'CRH', 'P04075'})"
"frozenset({'P13796', 'P16871', 'CRH'})"
"frozenset({'P78423', 'P51684', 'CRH'})"
"frozenset({'P08621', 'P62314', 'CRH'})"
"frozenset({'Q5VZ89', 'CRH', 'Q08AD1'})"
"frozenset({'Q92769', 'Q92841', 'CRH'})"
"frozenset({'CRH', 'Q9UQK1', 'Q562R1'})"
"frozenset({'CRH', 'P62070', 'Q9NZL6'})"
"frozenset({'Q9Y6R4', 'CRH', 'Q7Z4S6'})"
"frozenset({'Q13118', 'CRH', 'P04049'})"
"frozenset({'P18887', 'P78527', 'CRH'})"
"frozenset({'Q8N729', 'P48145', 'CRH'})"
"frozenset({'Q08379', 'P62820', 'CRH'})"
"frozenset({'P37840', 'Q9BT67', 'CRH'})"
"frozenset({'P78347', 'Q13547', 'CRH'})"
"frozenset({'Q9NUQ8', 'CRH', 'O94868'})"
"frozenset({'Q9Y5M8', 'Q5VT66', 'CRH'})"
"frozenset({'Q92805', 'CRH', 'Q96KQ4'})"
"frozenset({'P08621', 'Q9UBB9', 'CRH'})"
"frozenset({'P11308', 'P05067', 'CRH'})"
"frozenset({'O14503', 'Q9UKB1', 'CRH'})"
"frozenset({'P49368', 'Q92526', 'CRH'})"
"frozenset({'Q05086', 'Q9Y6Q9', 'CRH'})"
"frozenset({'Q6UWB1', 'P08700', 'CRH'})"
"frozenset({'Q9Y6N5', 'O75208', 'CRH'})"
