negatives
"frozenset({'TSLP', 'O75376', 'Q15916'})"
"frozenset({'TSLP', 'P04629', 'Q92925'})"
"frozenset({'TSLP', 'P62945', 'P61353'})"
"frozenset({'TSLP', 'Q86YC2', 'Q13007'})"
"frozenset({'TSLP', 'P62987', 'Q9NYJ8'})"
"frozenset({'Q13526', 'TSLP', 'Q9Y4K3'})"
"frozenset({'Q99471', 'TSLP', 'Q9UBF9'})"
"frozenset({'P09497', 'P61160', 'TSLP'})"
"frozenset({'TSLP', 'Q9Y679', 'Q9NRD1'})"
"frozenset({'P17029', 'TSLP', 'O15027'})"
"frozenset({'Q9P2W3', 'TSLP', 'Q96RC9'})"
"frozenset({'TSLP', 'O60503', 'P63092'})"
"frozenset({'O60260', 'TSLP', 'Q6NUN9'})"
"frozenset({'O43924', 'TSLP', 'Q92905'})"
"frozenset({'TSLP', 'P17676', 'Q14790'})"
"frozenset({'Q96GC9', 'TSLP', 'Q6NUS6'})"
"frozenset({'Q7L190', 'Q8N5A5', 'TSLP'})"
"frozenset({'P52815', 'TSLP', 'P08579'})"
"frozenset({'P23246', 'TSLP', 'Q9Y5N6'})"
"frozenset({'Q9UK76', 'TSLP', 'P23528'})"
"frozenset({'TSLP', 'P11021', 'Q03135'})"
"frozenset({'TSLP', 'Q9Y4B6', 'P30154'})"
"frozenset({'P16220', 'TSLP', 'P14174'})"
"frozenset({'Q9UBC2', 'TSLP', 'Q9UMX0'})"
"frozenset({'Q13617', 'TSLP', 'P61353'})"
"frozenset({'TSLP', 'Q96HF1', 'O96014'})"
"frozenset({'O95995', 'TSLP', 'Q96MH2'})"
"frozenset({'Q9P2W3', 'TSLP', 'Q8NGR1'})"
"frozenset({'TSLP', 'Q9NRD5', 'Q8N9N8'})"
"frozenset({'O75530', 'TSLP', 'P49761'})"
"frozenset({'TSLP', 'Q14676', 'Q9UJX6'})"
"frozenset({'Q13595', 'TSLP', 'Q659C4'})"
"frozenset({'TSLP', 'Q9Y496', 'P62993'})"
"frozenset({'O15498', 'P14174', 'TSLP'})"
"frozenset({'P04899', 'P43115', 'TSLP'})"
"frozenset({'P51858', 'TSLP', 'O43684'})"
"frozenset({'P0C7T5', 'TSLP', 'P38432'})"
"frozenset({'TSLP', 'Q6NUS6', 'Q8NHP6'})"
"frozenset({'TSLP', 'Q16629', 'Q14999'})"
"frozenset({'TSLP', 'Q9UBD5', 'Q99741'})"
"frozenset({'TSLP', 'Q92499', 'Q9BWF3'})"
"frozenset({'O00159', 'TSLP', 'P35579'})"
"frozenset({'TSLP', 'Q13901', 'Q5VWK5'})"
"frozenset({'TSLP', 'P48556', 'P51665'})"
"frozenset({'Q9UBC3', 'TSLP', 'Q04206'})"
"frozenset({'TSLP', 'Q03135', 'P41240'})"
"frozenset({'O94973', 'P05023', 'TSLP'})"
"frozenset({'O00231', 'P31689', 'TSLP'})"
"frozenset({'TSLP', 'Q15843', 'P25786'})"
"frozenset({'O95816', 'TSLP', 'Q03933'})"
"frozenset({'TSLP', 'O94889', 'O14965'})"
"frozenset({'TSLP', 'Q96DR7', 'Q9NUP9'})"
"frozenset({'P01040', 'TSLP', 'P21246'})"
"frozenset({'TSLP', 'Q07021', 'O00198'})"
"frozenset({'Q13617', 'TSLP', 'Q9UKD2'})"
"frozenset({'P53611', 'TSLP', 'Q12829'})"
"frozenset({'Q9UKZ4', 'TSLP', 'Q9BX66'})"
"frozenset({'TSLP', 'Q9UKT5', 'P02511'})"
"frozenset({'TSLP', 'P43360', 'O00471'})"
"frozenset({'P01889', 'TSLP', 'O95831'})"
"frozenset({'Q96HZ4', 'TSLP', 'Q92793'})"
"frozenset({'TSLP', 'O95684', 'P50552'})"
"frozenset({'P53672', 'TSLP', 'Q12933'})"
"frozenset({'Q99576', 'P01100', 'TSLP'})"
"frozenset({'TSLP', 'P61970', 'O43790'})"
"frozenset({'Q9C0H9', 'TSLP', 'P12830'})"
"frozenset({'TSLP', 'O00585', 'O00574'})"
"frozenset({'TSLP', 'Q58FG0', 'P62241'})"
"frozenset({'O75821', 'TSLP', 'P55884'})"
"frozenset({'P08047', 'TSLP', 'P11831'})"
"frozenset({'O00767', 'TSLP', 'Q86VR2'})"
"frozenset({'P08700', 'P00533', 'TSLP'})"
"frozenset({'TSLP', 'Q5JR59', 'Q08AG5'})"
"frozenset({'TSLP', 'Q96HE7', 'P07948'})"
"frozenset({'P50990', 'P35228', 'TSLP'})"
"frozenset({'Q02878', 'Q96EY7', 'TSLP'})"
"frozenset({'Q15717', 'TSLP', 'Q9NVV4'})"
"frozenset({'Q9Y4L1', 'TSLP', 'O75665'})"
"frozenset({'TSLP', 'Q14839', 'Q9P0K8'})"
"frozenset({'Q6UXV4', 'TSLP', 'Q9NX63'})"
"frozenset({'TSLP', 'P13010', 'P43246'})"
"frozenset({'TSLP', 'Q9HAV0', 'P35462'})"
"frozenset({'P55201', 'TSLP', 'P32780'})"
"frozenset({'P05412', 'TSLP', 'P23528'})"
"frozenset({'TSLP', 'Q13233', 'Q9UBZ4'})"
"frozenset({'TSLP', 'O43353', 'Q9BUZ4'})"
"frozenset({'TSLP', 'Q8NI51', 'O43765'})"
"frozenset({'P62266', 'TSLP', 'Q9BY44'})"
"frozenset({'Q53ET0', 'TSLP', 'P31751'})"
"frozenset({'TSLP', 'Q6EEV4', 'Q8NEV4'})"
"frozenset({'P82650', 'TSLP', 'Q9Y399'})"
"frozenset({'Q13233', 'TSLP', 'P08238'})"
"frozenset({'P98170', 'P50570', 'TSLP'})"
"frozenset({'O15523', 'TSLP', 'Q49AN0'})"
"frozenset({'Q9Y6J9', 'P48431', 'TSLP'})"
"frozenset({'TSLP', 'Q13523', 'O94906'})"
"frozenset({'O75665', 'TSLP', 'Q96ST8'})"
"frozenset({'TSLP', 'Q14160', 'Q14500'})"
"frozenset({'P60763', 'TSLP', 'Q9P227'})"
"frozenset({'TSLP', 'O75616', 'O15296'})"
"frozenset({'Q7Z794', 'TSLP', 'Q70EK8'})"
"frozenset({'P20226', 'TSLP', 'Q9UBI6'})"
"frozenset({'TSLP', 'Q9C0B0', 'O00429'})"
"frozenset({'Q8TEP8', 'TSLP', 'Q66GS9'})"
"frozenset({'TSLP', 'P08572', 'P02746'})"
"frozenset({'TSLP', 'Q12929', 'P07766'})"
"frozenset({'Q7L2Z9', 'TSLP', 'P53350'})"
"frozenset({'TSLP', 'Q9Y4E8', 'P62979'})"
"frozenset({'TSLP', 'Q9HCE1', 'Q99661'})"
"frozenset({'TSLP', 'P14735', 'Q9Y5K5'})"
"frozenset({'O60260', 'TSLP', 'Q4VCS5'})"
"frozenset({'TSLP', 'Q92793', 'P53539'})"
"frozenset({'Q969X5', 'P27694', 'TSLP'})"
"frozenset({'P30305', 'TSLP', 'P25208'})"
"frozenset({'Q86XI8', 'Q7Z5K2', 'TSLP'})"
"frozenset({'TSLP', 'P48643', 'Q9H2C0'})"
"frozenset({'Q96EU6', 'TSLP', 'P49450'})"
"frozenset({'Q53ET0', 'P49675', 'TSLP'})"
"frozenset({'P05412', 'TSLP', 'Q86XK2'})"
"frozenset({'TSLP', 'P32321', 'Q6ZVK8'})"
"frozenset({'TSLP', 'P68400', 'O95863'})"
"frozenset({'Q9NQ29', 'Q9C0C9', 'TSLP'})"
"frozenset({'Q14749', 'Q6UY14', 'TSLP'})"
"frozenset({'Q13573', 'TSLP', 'Q9NPJ6'})"
"frozenset({'Q9UFG5', 'TSLP', 'Q96GS4'})"
"frozenset({'TSLP', 'P41252', 'P27816'})"
"frozenset({'Q13435', 'TSLP', 'Q15696'})"
"frozenset({'TSLP', 'Q96EB6', 'Q9NWK9'})"
"frozenset({'TSLP', 'Q96GG9', 'Q93034'})"
"frozenset({'O43597', 'O60493', 'TSLP'})"
"frozenset({'O43298', 'TSLP', 'Q9BXS5'})"
"frozenset({'Q16670', 'TSLP', 'P10244'})"
"frozenset({'P55072', 'TSLP', 'Q9NUW8'})"
"frozenset({'TSLP', 'Q9BVV2', 'Q04864'})"
"frozenset({'Q9NVU0', 'Q99459', 'TSLP'})"
"frozenset({'Q9HCE7', 'TSLP', 'P60866'})"
"frozenset({'Q9H0R8', 'TSLP', 'Q92499'})"
"frozenset({'Q15819', 'TSLP', 'P22314'})"
"frozenset({'P40692', 'TSLP', 'O43929'})"
"frozenset({'TSLP', 'Q9Y4K3', 'P68402'})"
"frozenset({'Q8IYI6', 'TSLP', 'Q96GS4'})"
"frozenset({'Q9NRC8', 'Q10570', 'TSLP'})"
"frozenset({'Q13501', 'TSLP', 'Q8N122'})"
"frozenset({'Q4V328', 'TSLP', 'Q96BD5'})"
"frozenset({'Q86Y07', 'P02545', 'TSLP'})"
"frozenset({'Q9Y566', 'P50570', 'TSLP'})"
"frozenset({'P31749', 'Q9UD71', 'TSLP'})"
"frozenset({'TSLP', 'Q9BQG0', 'P46087'})"
"frozenset({'P28482', 'TSLP', 'P46527'})"
"frozenset({'TSLP', 'Q9BV73', 'Q9Y2D8'})"
"frozenset({'P10721', 'Q68CZ2', 'TSLP'})"
"frozenset({'P27694', 'TSLP', 'Q86W42'})"
"frozenset({'P30480', 'TSLP', 'P49720'})"
"frozenset({'P21802', 'TSLP', 'P22607'})"
"frozenset({'Q02878', 'TSLP', 'Q9HCE1'})"
"frozenset({'Q9HAW0', 'P57678', 'TSLP'})"
"frozenset({'Q15788', 'TSLP', 'Q96RI1'})"
"frozenset({'Q13547', 'Q9Y3F4', 'TSLP'})"
"frozenset({'P06748', 'Q00325', 'TSLP'})"
"frozenset({'P62847', 'TSLP', 'P83731'})"
"frozenset({'P40855', 'TSLP', 'Q8NBX0'})"
"frozenset({'Q96HB5', 'TSLP', 'Q12888'})"
"frozenset({'P31749', 'TSLP', 'Q13322'})"
"frozenset({'P30101', 'TSLP', 'Q7Z7A1'})"
"frozenset({'Q8N488', 'TSLP', 'Q8WXX7'})"
"frozenset({'Q96B97', 'TSLP', 'P06239'})"
"frozenset({'Q2NKX8', 'Q8IWL3', 'TSLP'})"
"frozenset({'P03372', 'TSLP', 'P32780'})"
"frozenset({'Q8IUQ4', 'O75800', 'TSLP'})"
"frozenset({'TSLP', 'P25208', 'Q9UH17'})"
"frozenset({'TSLP', 'Q14683', 'P09884'})"
"frozenset({'O75820', 'TSLP', 'P36894'})"
"frozenset({'Q96K17', 'O60664', 'TSLP'})"
"frozenset({'Q96PC3', 'TSLP', 'Q10567'})"
"frozenset({'TSLP', 'Q9UBS0', 'Q86X55'})"
"frozenset({'TSLP', 'P23508', 'P61289'})"
"frozenset({'P52798', 'TSLP', 'P54756'})"
"frozenset({'TSLP', 'Q14141', 'P13569'})"
"frozenset({'TSLP', 'Q9H0W8', 'P53365'})"
"frozenset({'TSLP', 'P22607', 'O15520'})"
"frozenset({'TSLP', 'Q13423', 'P13804'})"
"frozenset({'TSLP', 'P43686', 'Q15018'})"
"frozenset({'TSLP', 'P55072', 'Q9Y4R8'})"
"frozenset({'P60369', 'TSLP', 'Q9BYQ4'})"
"frozenset({'Q8N4J0', 'TSLP', 'P24278'})"
"frozenset({'TSLP', 'Q16643', 'Q27J81'})"
"frozenset({'TSLP', 'Q96B02', 'Q9Y577'})"
"frozenset({'P62877', 'TSLP', 'P38936'})"
"frozenset({'TSLP', 'Q14103', 'P13639'})"
"frozenset({'Q9P2P5', 'TSLP', 'P23528'})"
"frozenset({'TSLP', 'Q00987', 'Q15910'})"
"frozenset({'TSLP', 'P32121', 'P58180'})"
"frozenset({'O60716', 'TSLP', 'Q13509'})"
"frozenset({'Q9UGM1', 'TSLP', 'Q9Y394'})"
"frozenset({'Q13224', 'TSLP', 'O14910'})"
"frozenset({'TSLP', 'P11387', 'P24941'})"
"frozenset({'P62873', 'Q8NGG0', 'TSLP'})"
"frozenset({'TSLP', 'Q9H0A8', 'Q8NBT0'})"
"frozenset({'TSLP', 'P28066', 'Q13561'})"
"frozenset({'Q9H6L2', 'TSLP', 'Q9NXB0'})"
"frozenset({'TSLP', 'Q92841', 'P49750'})"
"frozenset({'TSLP', 'Q9Y4K3', 'O76080'})"
"frozenset({'Q92731', 'TSLP', 'Q9BQQ3'})"
"frozenset({'Q9Y383', 'TSLP', 'Q99728'})"
"frozenset({'P17812', 'Q9BUL8', 'TSLP'})"
"frozenset({'Q86UX7', 'TSLP', 'P02751'})"
"frozenset({'Q9NW38', 'Q9UKT9', 'TSLP'})"
"frozenset({'Q9H596', 'O00159', 'TSLP'})"
"frozenset({'P10636', 'TSLP', 'P04156'})"
"frozenset({'TSLP', 'P01880', 'P11836'})"
"frozenset({'Q12849', 'TSLP', 'Q9Y2R9'})"
"frozenset({'Q13177', 'P05412', 'TSLP'})"
"frozenset({'Q13283', 'TSLP', 'Q8N122'})"
"frozenset({'Q9Y5B0', 'TSLP', 'Q15208'})"
"frozenset({'P40939', 'TSLP', 'Q86VP6'})"
"frozenset({'TSLP', 'P19438', 'Q96EY1'})"
"frozenset({'TSLP', 'Q92569', 'P42858'})"
"frozenset({'TSLP', 'P60903', 'Q5T6F2'})"
"frozenset({'P0C0S8', 'TSLP', 'P0C1H6'})"
"frozenset({'Q15388', 'P54257', 'TSLP'})"
"frozenset({'TSLP', 'Q93077', 'Q92481'})"
"frozenset({'TSLP', 'Q4G0J3', 'Q86VP6'})"
"frozenset({'Q567U6', 'TSLP', 'Q7Z3S9'})"
"frozenset({'TSLP', 'Q99728', 'P62837'})"
"frozenset({'Q5VZL5', 'TSLP', 'Q13315'})"
"frozenset({'TSLP', 'P14678', 'P25788'})"
"frozenset({'TSLP', 'P10827', 'P24385'})"
"frozenset({'Q15424', 'TSLP', 'Q16629'})"
"frozenset({'P55347', 'Q13368', 'TSLP'})"
"frozenset({'Q92784', 'TSLP', 'Q8NFD5'})"
"frozenset({'TSLP', 'P10809', 'Q8N0X7'})"
"frozenset({'TSLP', 'O00329', 'Q92569'})"
"frozenset({'P07900', 'TSLP', 'P49802'})"
"frozenset({'Q96NL6', 'TSLP', 'P30086'})"
"frozenset({'TSLP', 'Q14103', 'Q9Y2H6'})"
"frozenset({'Q9Y691', 'TSLP', 'Q13936'})"
"frozenset({'TSLP', 'Q9UGI8', 'Q9UI08'})"
"frozenset({'Q14814', 'TSLP', 'Q9Y6J0'})"
"frozenset({'Q9UBS8', 'TSLP', 'Q9H8V3'})"
"frozenset({'TSLP', 'Q86VR2', 'Q00765'})"
"frozenset({'TSLP', 'Q9NRR5', 'Q49A88'})"
"frozenset({'Q13572', 'TSLP', 'O95825'})"
"frozenset({'P41143', 'TSLP', 'P07550'})"
"frozenset({'TSLP', 'Q15572', 'O15160'})"
"frozenset({'Q9Y4K4', 'TSLP', 'Q92905'})"
"frozenset({'Q93009', 'TSLP', 'Q9UJ55'})"
"frozenset({'P23458', 'TSLP', 'P42226'})"
"frozenset({'Q9H492', 'TSLP', 'O95678'})"
"frozenset({'Q99961', 'Q08J23', 'TSLP'})"
"frozenset({'TSLP', 'P20963', 'P22681'})"
"frozenset({'TSLP', 'Q15717', 'Q68E01'})"
"frozenset({'Q06323', 'TSLP', 'P55060'})"
"frozenset({'Q7Z7J5', 'TSLP', 'Q96BY2'})"
"frozenset({'Q96IZ0', 'TSLP', 'P25445'})"
"frozenset({'Q9NRR4', 'TSLP', 'Q99717'})"
"frozenset({'Q96B97', 'TSLP', 'Q7Z6B7'})"
"frozenset({'TSLP', 'Q15006', 'Q9BV81'})"
"frozenset({'O14818', 'TSLP', 'P63098'})"
"frozenset({'Q9UII4', 'TSLP', 'P62826'})"
"frozenset({'Q9BVJ6', 'TSLP', 'P54274'})"
"frozenset({'P24468', 'TSLP', 'Q13485'})"
"frozenset({'P60370', 'TSLP', 'Q02930'})"
"frozenset({'P62701', 'TSLP', 'P31942'})"
"frozenset({'TSLP', 'P35869', 'O14980'})"
"frozenset({'P54259', 'TSLP', 'A7E2V4'})"
"frozenset({'Q93050', 'P00533', 'TSLP'})"
"frozenset({'Q15717', 'TSLP', 'Q53HL2'})"
"frozenset({'TSLP', 'Q9Y6N6', 'P56199'})"
"frozenset({'Q8N511', 'TSLP', 'O75787'})"
"frozenset({'TSLP', 'Q7L5A3', 'Q9NRD5'})"
"frozenset({'O60383', 'TSLP', 'Q12906'})"
"frozenset({'TSLP', 'Q13107', 'P62937'})"
"frozenset({'TSLP', 'Q01081', 'O43463'})"
"frozenset({'TSLP', 'Q9UKR5', 'Q96BA8'})"
"frozenset({'P55735', 'TSLP', 'Q8WTW4'})"
"frozenset({'Q15022', 'Q13242', 'TSLP'})"
"frozenset({'TSLP', 'Q02297', 'Q92990'})"
"frozenset({'Q14746', 'TSLP', 'Q8WTW3'})"
"frozenset({'P11362', 'TSLP', 'P28482'})"
"frozenset({'TSLP', 'Q5D1E8', 'Q14694'})"
