negatives
"frozenset({'P55316', 'P31276', 'TCR'})"
"frozenset({'Q13489', 'P19438', 'TCR'})"
"frozenset({'P67775', 'P22830', 'TCR'})"
"frozenset({'E9PJI5', 'Q6NT76', 'TCR'})"
"frozenset({'Q9BX10', 'Q9UBU9', 'TCR'})"
"frozenset({'TCR', 'Q9UJV3', 'Q68CQ4'})"
"frozenset({'TCR', 'Q9UBU6', 'Q6IMN6'})"
"frozenset({'O75937', 'Q01081', 'TCR'})"
"frozenset({'P55084', 'P05067', 'TCR'})"
"frozenset({'P29353', 'P06756', 'TCR'})"
"frozenset({'Q13114', 'Q96F46', 'TCR'})"
"frozenset({'P35579', 'Q86Y82', 'TCR'})"
"frozenset({'Q6PEX3', 'P32242', 'TCR'})"
"frozenset({'O15525', 'O75444', 'TCR'})"
"frozenset({'O75439', 'Q16595', 'TCR'})"
"frozenset({'P53365', 'P05067', 'TCR'})"
"frozenset({'P20290', 'P05067', 'TCR'})"
"frozenset({'TCR', 'P62888', 'Q92905'})"
"frozenset({'TCR', 'Q16181', 'P53999'})"
"frozenset({'Q9H0E7', 'Q96EL3', 'TCR'})"
"frozenset({'O43463', 'Q8TAU3', 'TCR'})"
"frozenset({'Q15029', 'Q96H20', 'TCR'})"
"frozenset({'O43240', 'Q96IK5', 'TCR'})"
"frozenset({'Q99497', 'Q09028', 'TCR'})"
"frozenset({'Q15345', 'Q9UBF6', 'TCR'})"
"frozenset({'Q92636', 'TCR', 'P19013'})"
"frozenset({'Q8NE86', 'Q9GZU5', 'TCR'})"
"frozenset({'Q9C019', 'Q05397', 'TCR'})"
"frozenset({'P02751', 'Q9Y4E8', 'TCR'})"
"frozenset({'Q6UXL0', 'P13725', 'TCR'})"
"frozenset({'TCR', 'O00763', 'Q6W2J9'})"
"frozenset({'TCR', 'P10073', 'Q92997'})"
"frozenset({'Q9Y3A3', 'Q13188', 'TCR'})"
"frozenset({'Q00987', 'P20309', 'TCR'})"
"frozenset({'TCR', 'Q92994', 'P68400'})"
"frozenset({'TCR', 'Q14525', 'Q14CN4'})"
"frozenset({'Q15047', 'TCR', 'Q15013'})"
"frozenset({'P35244', 'O00255', 'TCR'})"
"frozenset({'Q5T124', 'TCR', 'Q92558'})"
"frozenset({'Q12906', 'TCR', 'P04004'})"
"frozenset({'Q5VT25', 'P24844', 'TCR'})"
"frozenset({'Q96EP5', 'Q9H361', 'TCR'})"
"frozenset({'TCR', 'Q96KA5', 'Q9NXR1'})"
"frozenset({'Q01844', 'Q9Y676', 'TCR'})"
"frozenset({'Q13895', 'Q9NRX1', 'TCR'})"
"frozenset({'Q9BR01', 'Q8N6S4', 'TCR'})"
"frozenset({'P12277', 'Q8NI37', 'TCR'})"
"frozenset({'P39656', 'P43307', 'TCR'})"
"frozenset({'Q8N3Y1', 'Q9BQQ3', 'TCR'})"
"frozenset({'O75486', 'Q92466', 'TCR'})"
"frozenset({'O00505', 'P09429', 'TCR'})"
"frozenset({'Q9UBU9', 'Q12986', 'TCR'})"
"frozenset({'P68104', 'P62753', 'TCR'})"
"frozenset({'Q99471', 'Q9BVC4', 'TCR'})"
"frozenset({'Q9BPX1', 'P80404', 'TCR'})"
"frozenset({'P48730', 'Q6ZRV2', 'TCR'})"
"frozenset({'Q14376', 'P27361', 'TCR'})"
"frozenset({'Q13618', 'TCR', 'P32121'})"
"frozenset({'Q01831', 'P15927', 'TCR'})"
"frozenset({'P31431', 'P05230', 'TCR'})"
"frozenset({'TCR', 'P09651', 'Q13247'})"
"frozenset({'P53990', 'Q7LBR1', 'TCR'})"
"frozenset({'Q8N5I2', 'Q9P2K3', 'TCR'})"
"frozenset({'P20719', 'P20036', 'TCR'})"
"frozenset({'TCR', 'Q9UGN5', 'O76075'})"
"frozenset({'Q7Z2Z2', 'Q8N8A6', 'TCR'})"
"frozenset({'P10599', 'P52565', 'TCR'})"
"frozenset({'P17612', 'Q96EY1', 'TCR'})"
"frozenset({'TCR', 'Q14562', 'P46777'})"
"frozenset({'A7KAX9', 'O15259', 'TCR'})"
"frozenset({'TCR', 'P62314', 'Q96DI7'})"
"frozenset({'Q15633', 'Q9GZN2', 'TCR'})"
"frozenset({'TCR', 'P30281', 'P49841'})"
"frozenset({'Q8N0Z3', 'Q99871', 'TCR'})"
"frozenset({'Q9Y618', 'Q13363', 'TCR'})"
"frozenset({'Q9BVW5', 'Q96GE4', 'TCR'})"
"frozenset({'P06401', 'Q15910', 'TCR'})"
"frozenset({'TCR', 'Q5U5Q3', 'O95831'})"
"frozenset({'Q9UHF7', 'Q12888', 'TCR'})"
"frozenset({'Q92520', 'TCR', 'Q9P0U1'})"
"frozenset({'Q92731', 'P46013', 'TCR'})"
"frozenset({'Q9H6Z9', 'P38398', 'TCR'})"
"frozenset({'P47712', 'P12931', 'TCR'})"
"frozenset({'Q03518', 'O43889', 'TCR'})"
"frozenset({'TCR', 'P41182', 'Q9NYK1'})"
"frozenset({'TCR', 'Q9NYY1', 'Q6UWB1'})"
"frozenset({'Q8IUD2', 'Q13136', 'TCR'})"
"frozenset({'Q9HCE7', 'P39019', 'TCR'})"
"frozenset({'P55211', 'Q92851', 'TCR'})"
"frozenset({'Q32P51', 'P03372', 'TCR'})"
"frozenset({'TCR', 'P43243', 'O76011'})"
"frozenset({'P06748', 'P30480', 'TCR'})"
"frozenset({'P26038', 'P60568', 'TCR'})"
"frozenset({'Q6NZI2', 'TCR', 'Q8N4V1'})"
"frozenset({'TCR', 'Q8IUH5', 'P60880'})"
"frozenset({'Q8N1I0', 'P61586', 'TCR'})"
"frozenset({'Q5T751', 'Q6L8G9', 'TCR'})"
"frozenset({'Q8N5M1', 'P43360', 'TCR'})"
"frozenset({'TCR', 'P03372', 'Q9H944'})"
"frozenset({'TCR', 'P51784', 'Q6ZQN5'})"
"frozenset({'P04150', 'P51398', 'TCR'})"
"frozenset({'Q07890', 'P48736', 'TCR'})"
"frozenset({'P06748', 'Q99558', 'TCR'})"
"frozenset({'TCR', 'P13645', 'Q8TF42'})"
"frozenset({'P81274', 'Q8WUA4', 'TCR'})"
"frozenset({'P62750', 'P46782', 'TCR'})"
"frozenset({'Q9C035', 'P05129', 'TCR'})"
"frozenset({'Q14164', 'Q9Y6K9', 'TCR'})"
"frozenset({'P19320', 'P56192', 'TCR'})"
"frozenset({'Q9UQ88', 'Q96DA0', 'TCR'})"
"frozenset({'Q9P2P5', 'O00411', 'TCR'})"
"frozenset({'TCR', 'P27986', 'O95450'})"
"frozenset({'P06756', 'A8TX70', 'TCR'})"
"frozenset({'Q9Y305', 'Q9Y6X6', 'TCR'})"
"frozenset({'Q9UBU9', 'Q9NRR4', 'TCR'})"
"frozenset({'TCR', 'Q9UHI6', 'P62318'})"
"frozenset({'Q96L91', 'Q9HBJ0', 'TCR'})"
"frozenset({'Q99497', 'P07195', 'TCR'})"
"frozenset({'O95299', 'P03905', 'TCR'})"
"frozenset({'P10599', 'P78362', 'TCR'})"
"frozenset({'P01112', 'Q9Y6X8', 'TCR'})"
"frozenset({'Q13616', 'P62917', 'TCR'})"
"frozenset({'P05412', 'Q07955', 'TCR'})"
"frozenset({'O60739', 'P49903', 'TCR'})"
"frozenset({'P60410', 'P28799', 'TCR'})"
"frozenset({'Q16816', 'TCR', 'Q9H7J1'})"
"frozenset({'P38606', 'P01011', 'TCR'})"
"frozenset({'P01116', 'P59768', 'TCR'})"
"frozenset({'P31749', 'O60266', 'TCR'})"
"frozenset({'P31152', 'TCR', 'Q9H1R3'})"
"frozenset({'Q16775', 'Q10589', 'TCR'})"
"frozenset({'P29353', 'Q9H9J2', 'TCR'})"
"frozenset({'Q9UPM6', 'Q9Y484', 'TCR'})"
"frozenset({'P09661', 'P20823', 'TCR'})"
"frozenset({'Q9UKV3', 'P34947', 'TCR'})"
"frozenset({'TCR', 'Q09666', 'P12755'})"
"frozenset({'O95758', 'TCR', 'P19474'})"
"frozenset({'Q9H5K3', 'Q06136', 'TCR'})"
"frozenset({'TCR', 'Q9NYP9', 'Q9BX82'})"
"frozenset({'Q5T4S7', 'P00533', 'TCR'})"
"frozenset({'Q9Y5W3', 'P61289', 'TCR'})"
"frozenset({'Q96CS3', 'Q71U36', 'TCR'})"
"frozenset({'TCR', 'Q9P0N5', 'Q8TCJ2'})"
"frozenset({'TCR', 'P61927', 'P47914'})"
"frozenset({'P01106', 'Q8IY33', 'TCR'})"
"frozenset({'Q16594', 'P06899', 'TCR'})"
"frozenset({'P31629', 'Q9UKB1', 'TCR'})"
"frozenset({'Q02078', 'Q14934', 'TCR'})"
"frozenset({'P30101', 'P08582', 'TCR'})"
"frozenset({'Q8WXF0', 'Q9P244', 'TCR'})"
"frozenset({'Q14093', 'P04626', 'TCR'})"
"frozenset({'TCR', 'O15428', 'P10636'})"
"frozenset({'Q9Y6H1', 'O43172', 'TCR'})"
"frozenset({'Q8N0V3', 'O95070', 'TCR'})"
"frozenset({'Q03933', 'O95429', 'TCR'})"
"frozenset({'P35462', 'P59768', 'TCR'})"
"frozenset({'P04114', 'Q96CS3', 'TCR'})"
"frozenset({'TCR', 'O60832', 'Q8TAF3'})"
"frozenset({'Q16643', 'P36873', 'TCR'})"
"frozenset({'Q9NX58', 'Q2NL82', 'TCR'})"
"frozenset({'P14678', 'Q9GZQ8', 'TCR'})"
"frozenset({'Q9NYG5', 'Q13042', 'TCR'})"
"frozenset({'O00716', 'P43246', 'TCR'})"
"frozenset({'Q12905', 'P62917', 'TCR'})"
"frozenset({'Q8IX04', 'Q6UWE0', 'TCR'})"
"frozenset({'P35637', 'Q12986', 'TCR'})"
"frozenset({'P01567', 'P15509', 'TCR'})"
"frozenset({'TCR', 'Q96FW1', 'Q53GQ0'})"
"frozenset({'P22102', 'Q01105', 'TCR'})"
"frozenset({'Q9UHD2', 'O15455', 'TCR'})"
"frozenset({'Q15014', 'Q96HT8', 'TCR'})"
"frozenset({'O43186', 'Q02446', 'TCR'})"
"frozenset({'Q14790', 'O15111', 'TCR'})"
"frozenset({'O60869', 'P01100', 'TCR'})"
"frozenset({'Q6IQ23', 'TCR', 'O14965'})"
"frozenset({'Q9NPJ6', 'TCR', 'Q9ULV4'})"
"frozenset({'P46781', 'Q14999', 'TCR'})"
"frozenset({'Q9NX08', 'P19838', 'TCR'})"
"frozenset({'Q7Z7G1', 'Q9UHJ3', 'TCR'})"
"frozenset({'Q969D9', 'P40189', 'TCR'})"
"frozenset({'P63167', 'Q92956', 'TCR'})"
"frozenset({'Q01995', 'P42765', 'TCR'})"
"frozenset({'P19387', 'Q00403', 'TCR'})"
"frozenset({'P45973', 'TCR', 'O00629'})"
"frozenset({'Q9NZJ0', 'Q8N4J0', 'TCR'})"
"frozenset({'Q8WZ94', 'O60262', 'TCR'})"
"frozenset({'P48023', 'P51884', 'TCR'})"
"frozenset({'Q8NDZ2', 'Q9H4A3', 'TCR'})"
"frozenset({'P40763', 'Q9UBX0', 'TCR'})"
"frozenset({'Q8IUC2', 'P31273', 'TCR'})"
"frozenset({'Q00987', 'P49789', 'TCR'})"
"frozenset({'Q13045', 'P61353', 'TCR'})"
"frozenset({'Q9UHB4', 'Q5JST6', 'TCR'})"
"frozenset({'P24522', 'TCR', 'Q01085'})"
"frozenset({'Q9UN36', 'P05026', 'TCR'})"
"frozenset({'P63313', 'P01100', 'TCR'})"
"frozenset({'TCR', 'Q9UKW4', 'Q16695'})"
"frozenset({'P07954', 'Q9Y376', 'TCR'})"
"frozenset({'Q13616', 'TCR', 'Q8IXB1'})"
"frozenset({'Q9UBU7', 'P33992', 'TCR'})"
"frozenset({'P21675', 'P04637', 'TCR'})"
"frozenset({'P46108', 'P08047', 'TCR'})"
"frozenset({'Q8IVT5', 'Q00536', 'TCR'})"
"frozenset({'Q8IWL3', 'Q68CZ6', 'TCR'})"
"frozenset({'Q9NW38', 'Q00597', 'TCR'})"
"frozenset({'TCR', 'P42858', 'Q93034'})"
"frozenset({'Q8IWZ8', 'P35226', 'TCR'})"
"frozenset({'Q6N063', 'Q92993', 'TCR'})"
"frozenset({'O43463', 'Q68EA5', 'TCR'})"
"frozenset({'Q9NXV2', 'Q504Q3', 'TCR'})"
"frozenset({'P04629', 'P16435', 'TCR'})"
"frozenset({'Q96CW9', 'Q9HCJ2', 'TCR'})"
"frozenset({'P05019', 'P08833', 'TCR'})"
"frozenset({'TCR', 'Q9UPQ9', 'Q9Y2D8'})"
"frozenset({'Q06187', 'P51813', 'TCR'})"
"frozenset({'P15927', 'Q9P2N5', 'TCR'})"
"frozenset({'TCR', 'P68400', 'O14965'})"
"frozenset({'P50914', 'O00767', 'TCR'})"
"frozenset({'O95371', 'P22694', 'TCR'})"
"frozenset({'P30939', 'O14610', 'TCR'})"
"frozenset({'O75037', 'P33240', 'TCR'})"
"frozenset({'Q13619', 'Q14457', 'TCR'})"
"frozenset({'Q6WCQ1', 'TCR', 'Q9P0K7'})"
"frozenset({'P05412', 'P60900', 'TCR'})"
"frozenset({'P07550', 'TCR', 'Q9UJZ1'})"
"frozenset({'Q8N448', 'Q12933', 'TCR'})"
"frozenset({'TCR', 'Q8TBE0', 'Q9BUH8'})"
"frozenset({'Q8NHW5', 'P62847', 'TCR'})"
"frozenset({'Q05195', 'Q9HAJ7', 'TCR'})"
"frozenset({'Q13617', 'Q8TES7', 'TCR'})"
"frozenset({'Q6NTE8', 'P20618', 'TCR'})"
"frozenset({'O75360', 'P01589', 'TCR'})"
"frozenset({'O14735', 'Q9NR20', 'TCR'})"
"frozenset({'P09919', 'P00533', 'TCR'})"
"frozenset({'Q9BVP2', 'P04637', 'TCR'})"
"frozenset({'Q8IYA8', 'Q9NV39', 'TCR'})"
"frozenset({'P23508', 'P62873', 'TCR'})"
"frozenset({'P11717', 'Q96BR5', 'TCR'})"
"frozenset({'P78386', 'Q9Y4E8', 'TCR'})"
"frozenset({'O60602', 'P04637', 'TCR'})"
"frozenset({'TCR', 'P25098', 'Q8NGG2'})"
"frozenset({'Q9H2G9', 'Q9NX63', 'TCR'})"
"frozenset({'Q92569', 'Q99619', 'TCR'})"
"frozenset({'Q92599', 'Q99961', 'TCR'})"
"frozenset({'TCR', 'Q14957', 'P78352'})"
"frozenset({'P06737', 'Q8TD86', 'TCR'})"
"frozenset({'P40763', 'P53365', 'TCR'})"
"frozenset({'O14530', 'Q8TAP6', 'TCR'})"
"frozenset({'Q9Y4X5', 'O60573', 'TCR'})"
"frozenset({'P31943', 'Q92841', 'TCR'})"
"frozenset({'TCR', 'P40937', 'Q5VWN6'})"
"frozenset({'Q7Z3S9', 'P62952', 'TCR'})"
"frozenset({'Q15910', 'Q96JN0', 'TCR'})"
"frozenset({'TCR', 'P51610', 'O15245'})"
"frozenset({'Q13895', 'P22087', 'TCR'})"
"frozenset({'Q13064', 'Q9Y2V7', 'TCR'})"
"frozenset({'TCR', 'Q8IUQ4', 'P61086'})"
"frozenset({'TCR', 'O75586', 'P51532'})"
"frozenset({'TCR', 'Q9Y2V7', 'Q9NU19'})"
"frozenset({'Q9NWX6', 'Q96C55', 'TCR'})"
"frozenset({'P34897', 'Q6GMV3', 'TCR'})"
"frozenset({'O95429', 'Q96GG9', 'TCR'})"
"frozenset({'P32302', 'P51671', 'TCR'})"
"frozenset({'Q8NER5', 'P27037', 'TCR'})"
"frozenset({'P43360', 'O60477', 'TCR'})"
"frozenset({'P46108', 'Q9UPX8', 'TCR'})"
"frozenset({'Q9NZN8', 'P30050', 'TCR'})"
"frozenset({'TCR', 'Q08211', 'Q13247'})"
"frozenset({'O60729', 'Q8IXJ6', 'TCR'})"
"frozenset({'Q9H3D4', 'P11766', 'TCR'})"
"frozenset({'Q9BTT6', 'P59047', 'TCR'})"
"frozenset({'Q9H0W5', 'A0AVT1', 'TCR'})"
"frozenset({'Q02556', 'P23497', 'TCR'})"
"frozenset({'Q9H0Y0', 'P78386', 'TCR'})"
"frozenset({'TCR', 'O75581', 'P41212'})"
"frozenset({'P35579', 'P23528', 'TCR'})"
"frozenset({'Q8WVT3', 'P04629', 'TCR'})"
"frozenset({'Q15006', 'Q86UK5', 'TCR'})"
"frozenset({'Q13488', 'P36543', 'TCR'})"
"frozenset({'Q7L590', 'Q15025', 'TCR'})"
"frozenset({'TCR', 'Q9UJX5', 'P31350'})"
"frozenset({'Q16584', 'Q9P2E2', 'TCR'})"
"frozenset({'Q9P2Y4', 'Q14839', 'TCR'})"
"frozenset({'P53779', 'P04899', 'TCR'})"
"frozenset({'O00459', 'P62873', 'TCR'})"
"frozenset({'P05412', 'O15297', 'TCR'})"
"frozenset({'P53680', 'P05787', 'TCR'})"
"frozenset({'O00358', 'Q9H2P0', 'TCR'})"
"frozenset({'Q7Z417', 'Q9BYQ6', 'TCR'})"
"frozenset({'O15031', 'Q6DKI7', 'TCR'})"
"frozenset({'P08575', 'TCR', 'P48357'})"
"frozenset({'Q5BKZ1', 'P57678', 'TCR'})"
"frozenset({'Q9BYV2', 'P63279', 'TCR'})"
"frozenset({'P49848', 'P27361', 'TCR'})"
"frozenset({'Q99459', 'P45985', 'TCR'})"
"frozenset({'TCR', 'Q8NHQ1', 'Q96JC9'})"
"frozenset({'TCR', 'Q8TAD8', 'O75925'})"
"frozenset({'P61964', 'P51858', 'TCR'})"
"frozenset({'Q9NV31', 'TCR', 'O75147'})"
"frozenset({'O60939', 'Q9UIA9', 'TCR'})"
"frozenset({'Q86V42', 'Q13464', 'TCR'})"
"frozenset({'Q8NGR6', 'P38405', 'TCR'})"
"frozenset({'Q96RD7', 'Q8WVX3', 'TCR'})"
"frozenset({'P12004', 'O94782', 'TCR'})"
"frozenset({'Q12905', 'Q9BYN8', 'TCR'})"
"frozenset({'Q01167', 'TCR', 'Q8NB46'})"
"frozenset({'Q13769', 'TCR', 'Q9NYF8'})"
"frozenset({'P30793', 'Q9Y5L0', 'TCR'})"
"frozenset({'P18084', 'TCR', 'P53420'})"
"frozenset({'P52435', 'P0CAP2', 'TCR'})"
"frozenset({'O95644', 'P35249', 'TCR'})"
"frozenset({'Q9Y297', 'TCR', 'Q63HQ2'})"
"frozenset({'Q02641', 'Q13554', 'TCR'})"
"frozenset({'Q7Z3Y8', 'P17036', 'TCR'})"
"frozenset({'Q02556', 'Q92793', 'TCR'})"
"frozenset({'P19387', 'O00308', 'TCR'})"
"frozenset({'P49720', 'P61289', 'TCR'})"
"frozenset({'Q01130', 'TCR', 'Q9H492'})"
"frozenset({'TCR', 'Q9UHW5', 'Q93034'})"
"frozenset({'O95900', 'Q13011', 'TCR'})"
"frozenset({'P15927', 'Q8N684', 'TCR'})"
"frozenset({'Q96QF0', 'Q5EBL8', 'TCR'})"
"frozenset({'Q9UKX5', 'O43707', 'TCR'})"
"frozenset({'Q86WB0', 'P27361', 'TCR'})"
"frozenset({'Q12913', 'P09630', 'TCR'})"
"frozenset({'Q8NEX9', 'Q9NYY3', 'TCR'})"
"frozenset({'O95758', 'O14908', 'TCR'})"
"frozenset({'P40337', 'P62263', 'TCR'})"
"frozenset({'Q99741', 'O00257', 'TCR'})"
"frozenset({'TCR', 'Q99848', 'O95478'})"
"frozenset({'Q6EMK4', 'Q9UNF0', 'TCR'})"
"frozenset({'Q5VYK3', 'Q9H7D7', 'TCR'})"
"frozenset({'P42356', 'P30466', 'TCR'})"
"frozenset({'TCR', 'O14786', 'Q9NV96'})"
"frozenset({'Q6UXN9', 'P34947', 'TCR'})"
"frozenset({'P84022', 'Q7Z3B3', 'TCR'})"
"frozenset({'P57105', 'Q5VYS4', 'TCR'})"
"frozenset({'P43405', 'Q9GZY6', 'TCR'})"
"frozenset({'P31749', 'Q9BWD1', 'TCR'})"
"frozenset({'TCR', 'Q9Y277', 'Q9H3N1'})"
"frozenset({'O75530', 'O00716', 'TCR'})"
"frozenset({'Q9H0J9', 'P15927', 'TCR'})"
"frozenset({'TCR', 'P26368', 'O00422'})"
"frozenset({'P62140', 'Q9BY89', 'TCR'})"
"frozenset({'Q8TBB1', 'Q8NHQ1', 'TCR'})"
"frozenset({'Q92769', 'Q8TDI0', 'TCR'})"
"frozenset({'TCR', 'Q01844', 'Q96D59'})"
"frozenset({'O60262', 'A6NF89', 'TCR'})"
"frozenset({'TCR', 'Q92542', 'Q53GS9'})"
"frozenset({'P29350', 'P42229', 'TCR'})"
"frozenset({'Q9ULK4', 'Q92793', 'TCR'})"
"frozenset({'Q15843', 'O00571', 'TCR'})"
"frozenset({'Q9NYU2', 'Q2MV58', 'TCR'})"
"frozenset({'O75592', 'TCR', 'Q8TAF3'})"
"frozenset({'P35269', 'P38432', 'TCR'})"
"frozenset({'P50616', 'O75175', 'TCR'})"
"frozenset({'Q9BUW7', 'P49441', 'TCR'})"
"frozenset({'TCR', 'Q504Q3', 'Q9Y6Y0'})"
"frozenset({'P36873', 'Q9Y3D0', 'TCR'})"
"frozenset({'P05129', 'Q96BA8', 'TCR'})"
"frozenset({'TCR', 'O43148', 'Q02241'})"
"frozenset({'Q9H4P4', 'Q9H832', 'TCR'})"
"frozenset({'O00193', 'Q01844', 'TCR'})"
"frozenset({'Q13286', 'TCR', 'Q14257'})"
"frozenset({'Q9Y6F9', 'P51654', 'TCR'})"
"frozenset({'Q02447', 'P20702', 'TCR'})"
"frozenset({'Q9BYV2', 'TCR', 'Q15052'})"
"frozenset({'P31152', 'P35354', 'TCR'})"
"frozenset({'TCR', 'Q71UM5', 'P62906'})"
"frozenset({'Q8WZ19', 'Q96HA8', 'TCR'})"
"frozenset({'P07992', 'P32780', 'TCR'})"
"frozenset({'P09914', 'TCR', 'P09012'})"
"frozenset({'P04818', 'Q8NA72', 'TCR'})"
"frozenset({'O95837', 'P21452', 'TCR'})"
"frozenset({'Q7Z3K3', 'P0C853', 'TCR'})"
"frozenset({'O75791', 'P10721', 'TCR'})"
"frozenset({'P12830', 'Q9NSV4', 'TCR'})"
"frozenset({'P60484', 'P06213', 'TCR'})"
"frozenset({'TCR', 'P40227', 'O75147'})"
"frozenset({'TCR', 'Q9BZE1', 'Q16637'})"
"frozenset({'P23297', 'P14136', 'TCR'})"
"frozenset({'Q6P0N0', 'O43482', 'TCR'})"
"frozenset({'Q9Y3D2', 'Q12933', 'TCR'})"
"frozenset({'P19320', 'P14598', 'TCR'})"
"frozenset({'TCR', 'P20823', 'P0DP25'})"
"frozenset({'Q13111', 'TCR', 'Q14191'})"
"frozenset({'O14904', 'Q9Y5W5', 'TCR'})"
"frozenset({'O43237', 'P63172', 'TCR'})"
"frozenset({'P22681', 'P42336', 'TCR'})"
"frozenset({'Q5T5U3', 'P08047', 'TCR'})"
"frozenset({'TCR', 'P02768', 'P35368'})"
"frozenset({'Q9UBN7', 'Q8IWC1', 'TCR'})"
"frozenset({'P09493', 'Q86YM7', 'TCR'})"
"frozenset({'Q14181', 'Q9H4G0', 'TCR'})"
"frozenset({'O60674', 'P42702', 'TCR'})"
"frozenset({'P23763', 'O95292', 'TCR'})"
"frozenset({'Q99759', 'Q9UBC5', 'TCR'})"
"frozenset({'P61218', 'Q8N9Z2', 'TCR'})"
"frozenset({'Q13190', 'P46379', 'TCR'})"
"frozenset({'O95456', 'O95817', 'TCR'})"
"frozenset({'TCR', 'Q6DD88', 'Q13247'})"
"frozenset({'P60520', 'P31483', 'TCR'})"
"frozenset({'Q15528', 'Q93074', 'TCR'})"
"frozenset({'Q9UBX1', 'P10415', 'TCR'})"
"frozenset({'P25098', 'Q8NGU2', 'TCR'})"
"frozenset({'Q96LR9', 'P02751', 'TCR'})"
"frozenset({'TCR', 'P61970', 'P18669'})"
"frozenset({'Q9H2G2', 'Q14315', 'TCR'})"
"frozenset({'Q99471', 'Q5JUK2', 'TCR'})"
"frozenset({'Q9Y467', 'P16473', 'TCR'})"
"frozenset({'P48506', 'Q6UWP2', 'TCR'})"
"frozenset({'TCR', 'Q96QP1', 'O14980'})"
"frozenset({'P01106', 'Q3L8U1', 'TCR'})"
"frozenset({'Q9UBY5', 'P63092', 'TCR'})"
"frozenset({'Q9NSB4', 'Q9H0R8', 'TCR'})"
"frozenset({'Q96HB5', 'Q08379', 'TCR'})"
"frozenset({'P30153', 'P07900', 'TCR'})"
"frozenset({'TCR', 'Q6UX06', 'Q6P087'})"
"frozenset({'TCR', 'P46778', 'P42677'})"
"frozenset({'Q8WU90', 'Q6I9Y2', 'TCR'})"
"frozenset({'P53779', 'P30793', 'TCR'})"
"frozenset({'TCR', 'P06400', 'Q92922'})"
"frozenset({'TCR', 'Q13057', 'Q9Y570'})"
"frozenset({'Q15019', 'Q16181', 'TCR'})"
"frozenset({'Q15637', 'Q15006', 'TCR'})"
"frozenset({'Q9BX70', 'TCR', 'P04406'})"
"frozenset({'Q8IWL3', 'Q8N1F8', 'TCR'})"
