negatives
"frozenset({'O43390', 'Q6PJ61', 'Leptin'})"
"frozenset({'Leptin', 'P42229', 'P03372'})"
"frozenset({'Leptin', 'P08069', 'O95467'})"
"frozenset({'Leptin', 'Q15843', 'Q7L5N1'})"
"frozenset({'Leptin', 'Q9NU19', 'Q9Y2V7'})"
"frozenset({'Q8NE35', 'Leptin', 'Q9UIV1'})"
"frozenset({'Leptin', 'P20020', 'P08240'})"
"frozenset({'Leptin', 'Q3LI70', 'Q96M29'})"
"frozenset({'Q9H2Y7', 'P62140', 'Leptin'})"
"frozenset({'Leptin', 'Q9NZM5', 'P27635'})"
"frozenset({'Leptin', 'Q9NWB1', 'Q8WUU5'})"
"frozenset({'P30153', 'Leptin', 'Q6NZY4'})"
"frozenset({'Leptin', 'Q06124', 'P52333'})"
"frozenset({'Q76FK4', 'Leptin', 'Q9NQL2'})"
"frozenset({'Leptin', 'Q9UBI4', 'P24941'})"
"frozenset({'Leptin', 'Q9GZU8', 'P54132'})"
"frozenset({'Leptin', 'Q9GZS3', 'Q02539'})"
"frozenset({'Q96KG7', 'Leptin', 'Q6VN20'})"
"frozenset({'Q9H0F5', 'Leptin', 'P62837'})"
"frozenset({'Leptin', 'Q02763', 'P01308'})"
"frozenset({'O14653', 'Leptin', 'Q8N6Q1'})"
"frozenset({'Q13683', 'Leptin', 'P13612'})"
"frozenset({'Leptin', 'Q9H1D0', 'Q8ND90'})"
"frozenset({'Q9H4L5', 'Leptin', 'Q6ZNH5'})"
"frozenset({'Leptin', 'Q96QG7', 'Q15717'})"
"frozenset({'Leptin', 'Q14573', 'Q9H9S0'})"
"frozenset({'P56199', 'Leptin', 'Q9Y490'})"
"frozenset({'Leptin', 'Q14CS0', 'O60506'})"
"frozenset({'P23284', 'Leptin', 'Q96E11'})"
"frozenset({'Q12872', 'Leptin', 'Q15287'})"
"frozenset({'P11362', 'Leptin', 'Q9NRA1'})"
"frozenset({'O95166', 'Leptin', 'P61457'})"
"frozenset({'Leptin', 'P62280', 'P46778'})"
"frozenset({'Q9NY93', 'Leptin', 'P62273'})"
"frozenset({'Q14416', 'Leptin', 'P61952'})"
"frozenset({'Leptin', 'Q9UMR2', 'P36952'})"
"frozenset({'P17252', 'Leptin', 'Q04206'})"
"frozenset({'Leptin', 'O15182', 'Q9Y6K9'})"
"frozenset({'Leptin', 'O14813', 'P17612'})"
"frozenset({'Leptin', 'Q9Y2Q3', 'P19320'})"
"frozenset({'O95817', 'Leptin', 'P08754'})"
"frozenset({'P29992', 'Leptin', 'Q9BZM1'})"
"frozenset({'Q969J5', 'Leptin', 'P05015'})"
"frozenset({'Q08379', 'Leptin', 'Q96H20'})"
"frozenset({'Q14738', 'Leptin', 'Q9UBN1'})"
"frozenset({'Leptin', 'Q969P0', 'Q9Y2T7'})"
"frozenset({'Leptin', 'Q13823', 'P27635'})"
"frozenset({'Q14896', 'Leptin', 'Q16082'})"
"frozenset({'Leptin', 'P28715', 'Q01844'})"
"frozenset({'Leptin', 'Q96KP1', 'O75385'})"
"frozenset({'Leptin', 'P06239', 'P41240'})"
"frozenset({'P36969', 'Leptin', 'O15392'})"
"frozenset({'Q9Y678', 'Leptin', 'Q9Y4K3'})"
"frozenset({'Leptin', 'P04629', 'Q9NRW7'})"
"frozenset({'Leptin', 'P40306', 'Q04206'})"
"frozenset({'P61586', 'Leptin', 'O60890'})"
"frozenset({'Q08050', 'Leptin', 'Q9NQB0'})"
"frozenset({'P29474', 'Leptin', 'Q13555'})"
"frozenset({'Leptin', 'Q8N1G4', 'Q6ZU80'})"
"frozenset({'O00217', 'Leptin', 'Q14197'})"
"frozenset({'Leptin', 'Q5T653', 'Q9BYD1'})"
"frozenset({'Leptin', 'Q8IWV8', 'P54886'})"
"frozenset({'Leptin', 'P60520', 'P0DMV8'})"
"frozenset({'Leptin', 'O00571', 'P15880'})"
"frozenset({'P51116', 'Leptin', 'Q9Y2J4'})"
"frozenset({'O43559', 'Leptin', 'Q9H079'})"
"frozenset({'Leptin', 'Q9NR12', 'Q9BT88'})"
"frozenset({'Leptin', 'Q9UPV0', 'Q7Z494'})"
"frozenset({'P51692', 'Leptin', 'P06401'})"
"frozenset({'P62701', 'Leptin', 'P11441'})"
"frozenset({'Q9UBN7', 'Leptin', 'Q86XR8'})"
"frozenset({'Leptin', 'P13987', 'P05783'})"
"frozenset({'Q7Z6Z7', 'Leptin', 'O60573'})"
"frozenset({'Leptin', 'P09466', 'Q5UIP0'})"
"frozenset({'Q9H3S5', 'Leptin', 'Q8WXA8'})"
"frozenset({'Leptin', 'P20073', 'Q9H324'})"
"frozenset({'Leptin', 'Q969T4', 'O43791'})"
"frozenset({'Leptin', 'Q9NVU7', 'P11279'})"
"frozenset({'Q92837', 'Leptin', 'O75197'})"
"frozenset({'Leptin', 'O75530', 'Q02543'})"
"frozenset({'P08514', 'Leptin', 'P50552'})"
"frozenset({'Leptin', 'P56524', 'P41182'})"
"frozenset({'Leptin', 'P51148', 'Q9Y2K7'})"
"frozenset({'Leptin', 'Q5JU00', 'Q5VUA4'})"
"frozenset({'P41236', 'Leptin', 'P62258'})"
"frozenset({'P05771', 'P63244', 'Leptin'})"
"frozenset({'Leptin', 'P11142', 'O95819'})"
"frozenset({'Q63HK5', 'Leptin', 'P56545'})"
"frozenset({'Q15149', 'Leptin', 'Q9Y4G8'})"
"frozenset({'Leptin', 'P49715', 'O75469'})"
"frozenset({'Leptin', 'Q8NI22', 'P08237'})"
"frozenset({'Q9Y5B8', 'Leptin', 'O60308'})"
"frozenset({'Leptin', 'P48431', 'O95983'})"
"frozenset({'Q92993', 'Leptin', 'Q92731'})"
"frozenset({'Leptin', 'Q99638', 'Q99615'})"
"frozenset({'P31040', 'Q49AN0', 'Leptin'})"
"frozenset({'P50897', 'Leptin', 'P11182'})"
"frozenset({'P29401', 'Leptin', 'Q16658'})"
"frozenset({'Leptin', 'Q9UM11', 'Q96J88'})"
"frozenset({'Leptin', 'Q9BYD3', 'Q9BYD1'})"
"frozenset({'Leptin', 'O95674', 'O15126'})"
"frozenset({'P20366', 'P07199', 'Leptin'})"
"frozenset({'Leptin', 'Q8WWY3', 'P15622'})"
"frozenset({'Leptin', 'P51504', 'P60328'})"
"frozenset({'Leptin', 'O94966', 'Q99497'})"
"frozenset({'Leptin', 'Q9Y6K9', 'O00267'})"
"frozenset({'Q9NY27', 'Leptin', 'O15357'})"
"frozenset({'Leptin', 'Q9BUF5', 'Q9BW62'})"
"frozenset({'Leptin', 'P62277', 'P25398'})"
"frozenset({'O95817', 'Leptin', 'P62072'})"
"frozenset({'Leptin', 'Q16543', 'Q9BYV2'})"
"frozenset({'O95816', 'Leptin', 'Q9P2K8'})"
"frozenset({'Leptin', 'P20073', 'P01023'})"
"frozenset({'Leptin', 'Q13309', 'Q13415'})"
"frozenset({'Leptin', 'O15083', 'O75335'})"
"frozenset({'Leptin', 'P29350', 'P06213'})"
"frozenset({'Q13137', 'Leptin', 'P17482'})"
"frozenset({'Leptin', 'Q14978', 'P27348'})"
"frozenset({'Leptin', 'Q9GZZ8', 'Q8IVT5'})"
"frozenset({'Q14207', 'Q9UKL3', 'Leptin'})"
"frozenset({'Q96T76', 'Leptin', 'P54277'})"
"frozenset({'Leptin', 'Q5BJF6', 'O14641'})"
"frozenset({'Leptin', 'O94826', 'P07550'})"
"frozenset({'Leptin', 'Q92747', 'Q9BXV9'})"
"frozenset({'Leptin', 'P23396', 'P03372'})"
"frozenset({'Leptin', 'P35659', 'P31947'})"
"frozenset({'Q9UHB6', 'Leptin', 'P09382'})"
"frozenset({'Leptin', 'Q9H340', 'P49407'})"
"frozenset({'Leptin', 'P13667', 'O95257'})"
"frozenset({'Leptin', 'Q9NZC7', 'Q9H910'})"
"frozenset({'Q86WN2', 'Leptin', 'Q8IU57'})"
"frozenset({'Q9NPJ6', 'Q9Y5B9', 'Leptin'})"
"frozenset({'Q7Z5J4', 'Leptin', 'Q6K0P9'})"
"frozenset({'Leptin', 'Q6FHJ7', 'Q96JK2'})"
"frozenset({'Leptin', 'Q5HYI8', 'O75787'})"
"frozenset({'P61586', 'Leptin', 'O00459'})"
"frozenset({'Leptin', 'P12268', 'P03372'})"
"frozenset({'Leptin', 'P43363', 'P43358'})"
"frozenset({'Q8WXG1', 'Leptin', 'Q14653'})"
"frozenset({'P00533', 'Leptin', 'Q9NXH8'})"
"frozenset({'Q8WXH6', 'Leptin', 'Q96NW4'})"
"frozenset({'Leptin', 'Q9BUN8', 'P25786'})"
"frozenset({'P49736', 'Leptin', 'Q2TAA2'})"
"frozenset({'Q9Y297', 'Leptin', 'Q86UZ6'})"
"frozenset({'Leptin', 'Q9HB71', 'Q9UKE5'})"
"frozenset({'Leptin', 'Q8N1B3', 'P06493'})"
"frozenset({'P36888', 'P20783', 'Leptin'})"
"frozenset({'O95259', 'P0DP25', 'Leptin'})"
"frozenset({'Leptin', 'Q96JP5', 'P78362'})"
"frozenset({'Q96AT9', 'Q12882', 'Leptin'})"
"frozenset({'Leptin', 'Q9NRA8', 'Q8N4C6'})"
"frozenset({'Leptin', 'A6NGK3', 'Q8NEA9'})"
"frozenset({'P04632', 'Leptin', 'P31785'})"
"frozenset({'P07711', 'Leptin', 'O76096'})"
"frozenset({'Leptin', 'Q9BVG4', 'Q05639'})"
"frozenset({'Leptin', 'P02751', 'O15265'})"
"frozenset({'Q9BRT3', 'Leptin', 'Q03989'})"
"frozenset({'Leptin', 'O14544', 'Q9UJT1'})"
"frozenset({'P45983', 'Q13387', 'Leptin'})"
"frozenset({'P27694', 'Leptin', 'O75128'})"
"frozenset({'Leptin', 'P11766', 'Q9H3D4'})"
"frozenset({'Leptin', 'Q8TAU3', 'Q9Y2T1'})"
"frozenset({'Q9H568', 'Leptin', 'Q14134'})"
"frozenset({'Leptin', 'Q07817', 'P51451'})"
"frozenset({'Leptin', 'O14980', 'P41743'})"
"frozenset({'Leptin', 'Q5SY68', 'Q86SG5'})"
"frozenset({'P35626', 'Leptin', 'Q8NGW1'})"
"frozenset({'P17483', 'P25208', 'Leptin'})"
"frozenset({'P08047', 'Leptin', 'Q8NI51'})"
"frozenset({'O75364', 'Leptin', 'Q13103'})"
"frozenset({'P19838', 'Leptin', 'Q9Y6K9'})"
"frozenset({'Q9UJ70', 'Leptin', 'P10809'})"
"frozenset({'P35372', 'Leptin', 'Q9P104'})"
"frozenset({'Leptin', 'Q9Y2H1', 'P68431'})"
"frozenset({'Leptin', 'Q01860', 'Q6UVJ0'})"
"frozenset({'O00560', 'Leptin', 'P55273'})"
"frozenset({'Leptin', 'P38646', 'A6NFY7'})"
"frozenset({'Leptin', 'Q9NXC5', 'Q9H6Z9'})"
"frozenset({'Q9UKY7', 'Leptin', 'P55769'})"
"frozenset({'Leptin', 'Q9ULK4', 'Q09161'})"
"frozenset({'Leptin', 'P06241', 'Q00535'})"
"frozenset({'Leptin', 'P09012', 'P24941'})"
"frozenset({'Leptin', 'P18146', 'Q00796'})"
"frozenset({'P06756', 'Q15389', 'Leptin'})"
"frozenset({'Q9UBK2', 'Leptin', 'P22415'})"
"frozenset({'Q5JTZ9', 'Leptin', 'Q5BKU9'})"
"frozenset({'P12755', 'Leptin', 'P08238'})"
"frozenset({'Leptin', 'Q99683', 'P54646'})"
"frozenset({'Leptin', 'P29353', 'P08779'})"
"frozenset({'Leptin', 'Q92841', 'Q9NRD1'})"
"frozenset({'P50395', 'Leptin', 'P48147'})"
"frozenset({'Q9NQX3', 'Leptin', 'P42345'})"
"frozenset({'Q9P0T7', 'Leptin', 'Q8NCL4'})"
"frozenset({'Leptin', 'Q9UL18', 'Q9Y4W2'})"
"frozenset({'P58876', 'Leptin', 'Q9BTM1'})"
"frozenset({'P27694', 'Leptin', 'Q14676'})"
"frozenset({'Leptin', 'Q99750', 'Q8WWB5'})"
"frozenset({'Q9NUX5', 'P23246', 'Leptin'})"
"frozenset({'Leptin', 'P28331', 'P61353'})"
"frozenset({'Leptin', 'O15442', 'O75153'})"
"frozenset({'P46527', 'Leptin', 'Q9HC52'})"
"frozenset({'Leptin', 'Q9Y4K3', 'P31949'})"
"frozenset({'O14746', 'Leptin', 'P00519'})"
"frozenset({'Leptin', 'Q12888', 'Q96SB8'})"
"frozenset({'Leptin', 'P43116', 'P49407'})"
"frozenset({'P10767', 'Leptin', 'P08581'})"
"frozenset({'P83881', 'P61313', 'Leptin'})"
"frozenset({'Leptin', 'Q9NT22', 'Q9H4A9'})"
"frozenset({'O00268', 'Leptin', 'Q9UJX3'})"
"frozenset({'P05187', 'Leptin', 'Q5T752'})"
"frozenset({'Leptin', 'Q00537', 'Q9NPE3'})"
"frozenset({'P11387', 'Leptin', 'O75530'})"
"frozenset({'Leptin', 'O95201', 'Q15834'})"
"frozenset({'Leptin', 'Q14204', 'P68366'})"
"frozenset({'Q14324', 'Leptin', 'Q00872'})"
"frozenset({'Leptin', 'P11441', 'P61254'})"
"frozenset({'Leptin', 'P61981', 'Q9UQB8'})"
"frozenset({'Leptin', 'Q92900', 'P51532'})"
"frozenset({'P00558', 'Leptin', 'Q14999'})"
"frozenset({'Q15714', 'Leptin', 'Q12852'})"
"frozenset({'Leptin', 'O43865', 'Q8IY92'})"
"frozenset({'Leptin', 'Q96SU4', 'Q96CS2'})"
"frozenset({'Q99460', 'Leptin', 'Q99459'})"
"frozenset({'Leptin', 'P16383', 'O94906'})"
"frozenset({'Leptin', 'O75821', 'Q8IZU0'})"
"frozenset({'Leptin', 'P12035', 'P46108'})"
"frozenset({'Leptin', 'P25963', 'P49642'})"
"frozenset({'Leptin', 'O75603', 'P49639'})"
"frozenset({'Leptin', 'Q86WA8', 'P07585'})"
"frozenset({'Q92887', 'P60842', 'Leptin'})"
"frozenset({'Q8N878', 'Leptin', 'P61019'})"
"frozenset({'Leptin', 'Q3B820', 'Q86WP2'})"
"frozenset({'Leptin', 'Q10589', 'O14964'})"
"frozenset({'P43360', 'Q5SYB0', 'Leptin'})"
"frozenset({'Leptin', 'P13612', 'Q92841'})"
"frozenset({'Leptin', 'Q99873', 'Q03933'})"
"frozenset({'P20930', 'Leptin', 'P20794'})"
"frozenset({'O95259', 'Leptin', 'Q7L8L6'})"
"frozenset({'Leptin', 'P62891', 'Q07021'})"
"frozenset({'Leptin', 'Q92622', 'Q14119'})"
"frozenset({'Leptin', 'Q9UJ41', 'Q9UJY5'})"
"frozenset({'P42345', 'Q6IAA8', 'Leptin'})"
"frozenset({'P31749', 'Leptin', 'Q92879'})"
"frozenset({'Leptin', 'P22736', 'Q14802'})"
"frozenset({'Leptin', 'Q9NSK0', 'P05067'})"
"frozenset({'Q9GZR7', 'Leptin', 'Q8IZH2'})"
"frozenset({'Q14839', 'Leptin', 'Q13422'})"
"frozenset({'Leptin', 'O60308', 'Q9Y587'})"
"frozenset({'Q13107', 'Leptin', 'Q96F86'})"
"frozenset({'Leptin', 'Q00653', 'Q15029'})"
"frozenset({'Q14164', 'Leptin', 'P35579'})"
"frozenset({'Q9GZZ9', 'Leptin', 'P51659'})"
"frozenset({'P42566', 'Leptin', 'Q00610'})"
"frozenset({'Leptin', 'Q9UJY1', 'P27361'})"
"frozenset({'Leptin', 'P46060', 'P26368'})"
"frozenset({'Leptin', 'Q13618', 'P62899'})"
"frozenset({'Leptin', 'Q16829', 'P45984'})"
"frozenset({'Leptin', 'Q8WUM4', 'Q9ULC4'})"
"frozenset({'Leptin', 'Q8WTV0', 'Q15262'})"
"frozenset({'Q96K21', 'Leptin', 'P49459'})"
"frozenset({'Leptin', 'P41229', 'Q8N228'})"
"frozenset({'Leptin', 'Q16659', 'P27635'})"
"frozenset({'Q92600', 'Leptin', 'O14965'})"
"frozenset({'Leptin', 'P61981', 'Q13427'})"
"frozenset({'Q01433', 'Leptin', 'Q9NY27'})"
"frozenset({'Q9HD33', 'Leptin', 'Q9UHA4'})"
"frozenset({'Leptin', 'Q969U6', 'P07900'})"
"frozenset({'Leptin', 'Q13315', 'O75150'})"
"frozenset({'Leptin', 'P62508', 'Q9UJW3'})"
"frozenset({'Leptin', 'Q6PL24', 'Q99525'})"
"frozenset({'P08648', 'Leptin', 'P46108'})"
"frozenset({'O43291', 'Leptin', 'Q13433'})"
"frozenset({'Q9UKV0', 'Q96PK6', 'Leptin'})"
"frozenset({'Leptin', 'P62837', 'Q13064'})"
"frozenset({'P46776', 'P62701', 'Leptin'})"
"frozenset({'O14775', 'Leptin', 'P01111'})"
"frozenset({'Leptin', 'Q5JST6', 'O14964'})"
"frozenset({'P27694', 'Leptin', 'P35244'})"
"frozenset({'Q8NG76', 'Leptin', 'Q9P2W3'})"
"frozenset({'Leptin', 'O75348', 'O43521'})"
"frozenset({'Leptin', 'Q14999', 'P04637'})"
"frozenset({'Leptin', 'P34897', 'Q969T7'})"
"frozenset({'Leptin', 'Q8IZF6', 'Q9P209'})"
"frozenset({'P28356', 'Leptin', 'O00470'})"
"frozenset({'Leptin', 'A2RRH5', 'P34897'})"
"frozenset({'P62316', 'Leptin', 'P62312'})"
"frozenset({'Leptin', 'O00400', 'P30825'})"
"frozenset({'Q4VC05', 'Leptin', 'Q92922'})"
"frozenset({'Leptin', 'Q15797', 'Q15796'})"
"frozenset({'Q9UKY7', 'Leptin', 'Q9UNZ2'})"
"frozenset({'P11362', 'Leptin', 'P07900'})"
"frozenset({'Leptin', 'O14980', 'Q9HD67'})"
"frozenset({'Leptin', 'Q6RW13', 'Q96LZ7'})"
"frozenset({'P27694', 'Leptin', 'P51530'})"
"frozenset({'Leptin', 'P52737', 'P49760'})"
"frozenset({'Leptin', 'Q7Z5P4', 'Q9H1Z9'})"
"frozenset({'Q9P126', 'Leptin', 'Q9Y2I6'})"
"frozenset({'Q96G01', 'Leptin', 'Q9NRI5'})"
"frozenset({'Q9UHR6', 'Leptin', 'P41214'})"
"frozenset({'Leptin', 'O95747', 'Q9Y376'})"
"frozenset({'P31749', 'Leptin', 'P19838'})"
"frozenset({'Q9UHF4', 'Leptin', 'O15524'})"
"frozenset({'Leptin', 'Q14974', 'Q9H211'})"
"frozenset({'Leptin', 'Q96HQ2', 'Q6PGN9'})"
"frozenset({'Leptin', 'Q9BZE4', 'Q9Y6K5'})"
"frozenset({'Leptin', 'Q12772', 'P36956'})"
"frozenset({'Leptin', 'Q8N2I9', 'P01100'})"
"frozenset({'Q8WXI9', 'Leptin', 'Q9H3N8'})"
"frozenset({'Leptin', 'P50990', 'P19320'})"
"frozenset({'Leptin', 'P49336', 'Q15648'})"
"frozenset({'Leptin', 'Q92620', 'Q15291'})"
"frozenset({'Leptin', 'Q9UKN8', 'Q9P0K8'})"
"frozenset({'O14561', 'Leptin', 'Q6IPR1'})"
"frozenset({'Leptin', 'Q15022', 'Q9Y483'})"
"frozenset({'Q8IXM3', 'Leptin', 'P04637'})"
"frozenset({'O15533', 'Leptin', 'P04439'})"
"frozenset({'Leptin', 'Q13131', 'O60307'})"
"frozenset({'P34931', 'Leptin', 'Q6ZMN8'})"
"frozenset({'Leptin', 'P04629', 'Q9UEG4'})"
"frozenset({'Leptin', 'P46734', 'Q12852'})"
"frozenset({'Q86VD7', 'Leptin', 'O76011'})"
"frozenset({'Q15836', 'Leptin', 'P40337'})"
"frozenset({'P61218', 'P32970', 'Leptin'})"
"frozenset({'Leptin', 'Q8NA61', 'Q8TAP4'})"
"frozenset({'Leptin', 'Q99567', 'P25205'})"
"frozenset({'Q8N9Z2', 'Leptin', 'Q13185'})"
"frozenset({'Leptin', 'P53672', 'Q5SWW7'})"
"frozenset({'Leptin', 'P01106', 'P20749'})"
"frozenset({'Q9NPE6', 'Leptin', 'Q5J8X5'})"
"frozenset({'Leptin', 'P63279', 'Q15022'})"
"frozenset({'P78371', 'Q9UBU9', 'Leptin'})"
"frozenset({'O75496', 'Leptin', 'Q7KZ85'})"
"frozenset({'Q02742', 'Q13635', 'Leptin'})"
"frozenset({'Q9P2K3', 'Leptin', 'P05230'})"
"frozenset({'Leptin', 'Q16385', 'Q9Y2D8'})"
"frozenset({'Q96SB4', 'Leptin', 'Q9HCS5'})"
"frozenset({'Leptin', 'Q5JUK2', 'Q08043'})"
"frozenset({'P37802', 'Leptin', 'Q92598'})"
"frozenset({'Q16891', 'Leptin', 'P25705'})"
"frozenset({'Leptin', 'Q13370', 'Q9Y5M8'})"
"frozenset({'Leptin', 'Q15323', 'Q96MM6'})"
"frozenset({'P00533', 'Leptin', 'P62879'})"
"frozenset({'Leptin', 'O95602', 'Q96MX6'})"
"frozenset({'O00308', 'Leptin', 'Q9BUZ4'})"
"frozenset({'O43709', 'Leptin', 'Q9UI30'})"
"frozenset({'Leptin', 'P62424', 'P20618'})"
"frozenset({'Leptin', 'P62888', 'P19320'})"
"frozenset({'Q16666', 'Leptin', 'Q92615'})"
"frozenset({'Leptin', 'P16383', 'Q8IWV8'})"
"frozenset({'Q9H1B5', 'Q9H5K3', 'Leptin'})"
"frozenset({'Q9UBC3', 'O75530', 'Leptin'})"
"frozenset({'Leptin', 'Q15475', 'P56178'})"
"frozenset({'Q13233', 'Leptin', 'Q8NHW5'})"
"frozenset({'P10606', 'Leptin', 'P19012'})"
"frozenset({'Q01826', 'Leptin', 'Q99958'})"
"frozenset({'Leptin', 'Q15642', 'Q15459'})"
"frozenset({'Leptin', 'P05556', 'Q9C0B0'})"
"frozenset({'P38919', 'Leptin', 'O95793'})"
"frozenset({'Leptin', 'O15116', 'Q9Y4Y9'})"
"frozenset({'Leptin', 'P68400', 'P36955'})"
"frozenset({'Leptin', 'O60832', 'P49321'})"
"frozenset({'Leptin', 'Q8N806', 'Q8TE12'})"
"frozenset({'Leptin', 'Q9HCS7', 'P62487'})"
"frozenset({'Q07157', 'Leptin', 'P07437'})"
"frozenset({'Leptin', 'Q14004', 'Q13509'})"
"frozenset({'Leptin', 'Q9UBS5', 'P61952'})"
"frozenset({'P17600', 'Leptin', 'Q8IV48'})"
"frozenset({'Leptin', 'P10809', 'P30101'})"
"frozenset({'Leptin', 'Q96EZ8', 'Q86SE5'})"
"frozenset({'Leptin', 'Q13573', 'Q8WYA6'})"
"frozenset({'O95758', 'Leptin', 'Q9UHX1'})"
"frozenset({'Leptin', 'P82650', 'Q96EY7'})"
"frozenset({'Leptin', 'Q9Y5P8', 'P01106'})"
"frozenset({'Leptin', 'P07942', 'P26010'})"
"frozenset({'Leptin', 'O14641', 'Q8IYF1'})"
"frozenset({'Leptin', 'P40126', 'Q9UJU2'})"
"frozenset({'P35749', 'Leptin', 'P04003'})"
"frozenset({'P63162', 'Leptin', 'P31947'})"
"frozenset({'Leptin', 'Q92630', 'P84243'})"
"frozenset({'Leptin', 'P17096', 'Q14999'})"
"frozenset({'Leptin', 'Q9P2D0', 'Q9C0F1'})"
"frozenset({'Leptin', 'P53365', 'Q96MT8'})"
"frozenset({'P15884', 'Leptin', 'Q9NYB9'})"
"frozenset({'Leptin', 'Q8NBJ9', 'Q15884'})"
"frozenset({'P49736', 'Leptin', 'Q15437'})"
"frozenset({'Leptin', 'O00425', 'P09651'})"
"frozenset({'Leptin', 'Q00653', 'P29459'})"
"frozenset({'Leptin', 'Q7KZF4', 'P05412'})"
"frozenset({'Leptin', 'O95229', 'Q99081'})"
"frozenset({'O60262', 'Leptin', 'Q8NGF3'})"
"frozenset({'Q96HA1', 'Leptin', 'P42262'})"
"frozenset({'Q16644', 'Leptin', 'P05067'})"
"frozenset({'Leptin', 'Q96JB2', 'Q8WTW3'})"
"frozenset({'P62273', 'Leptin', 'P62263'})"
"frozenset({'Q8N668', 'Q14186', 'Leptin'})"
"frozenset({'Leptin', 'P61981', 'Q3LI72'})"
"frozenset({'Leptin', 'Q13315', 'Q9UGP5'})"
"frozenset({'Leptin', 'Q9UDX3', 'Q04864'})"
"frozenset({'Leptin', 'P47712', 'P42574'})"
"frozenset({'P83731', 'Leptin', 'P08865'})"
"frozenset({'P33076', 'Leptin', 'P28482'})"
"frozenset({'Leptin', 'Q9Y535', 'O15160'})"
"frozenset({'Leptin', 'Q8ND76', 'P20226'})"
"frozenset({'Leptin', 'Q9Y266', 'Q9HBG6'})"
"frozenset({'Q9NQ75', 'Leptin', 'P46108'})"
"frozenset({'P26640', 'Leptin', 'Q9NRD1'})"
"frozenset({'P08047', 'Leptin', 'P35580'})"
"frozenset({'Leptin', 'Q9UIW2', 'O00182'})"
"frozenset({'Leptin', 'P52434', 'Q9P1U0'})"
"frozenset({'Leptin', 'P62913', 'Q5S007'})"
"frozenset({'Leptin', 'Q96C01', 'Q13011'})"
"frozenset({'Leptin', 'Q9ULV3', 'Q14999'})"
"frozenset({'Q96BR9', 'Leptin', 'Q6ZSB9'})"
"frozenset({'P60900', 'Q06265', 'Leptin'})"
"frozenset({'Leptin', 'P63000', 'O14986'})"
"frozenset({'Leptin', 'O14776', 'P23246'})"
"frozenset({'Leptin', 'Q99873', 'P34897'})"
"frozenset({'Q9UBC9', 'Leptin', 'P12830'})"
