negatives
"frozenset({'Q9BPW8', 'TSH', 'P41220'})"
"frozenset({'TSH', 'P60520', 'P31689'})"
"frozenset({'Q9Y265', 'Q9BZV1', 'TSH'})"
"frozenset({'Q9NRD5', 'TSH', 'Q8NHY3'})"
"frozenset({'TSH', 'Q09472', 'Q04864'})"
"frozenset({'P43365', 'Q9UGP5', 'TSH'})"
"frozenset({'TSH', 'Q9UKP3', 'O60701'})"
"frozenset({'TSH', 'P39019', 'P60709'})"
"frozenset({'TSH', 'O14656', 'Q9H496'})"
"frozenset({'P48643', 'Q14186', 'TSH'})"
"frozenset({'TSH', 'Q15019', 'Q9Y343'})"
"frozenset({'TSH', 'O95819', 'P63261'})"
"frozenset({'TSH', 'P24821', 'P08648'})"
"frozenset({'TSH', 'P41594', 'Q03113'})"
"frozenset({'TSH', 'P0DJI9', 'P02647'})"
"frozenset({'P38936', 'Q7L590', 'TSH'})"
"frozenset({'TSH', 'Q9Y572', 'P62158'})"
"frozenset({'Q96L94', 'Q15554', 'TSH'})"
"frozenset({'TSH', 'P21359', 'P24928'})"
"frozenset({'TSH', 'Q9BQG0', 'Q99459'})"
"frozenset({'P20823', 'O95996', 'TSH'})"
"frozenset({'TSH', 'P17612', 'P58182'})"
"frozenset({'TSH', 'P50542', 'Q6ZTU2'})"
"frozenset({'TSH', 'Q9Y6Q5', 'Q9ULT8'})"
"frozenset({'TSH', 'P20226', 'Q9P0K8'})"
"frozenset({'TSH', 'P54849', 'P43657'})"
"frozenset({'TSH', 'O14786', 'Q14103'})"
"frozenset({'TSH', 'Q16635', 'Q6UVY6'})"
"frozenset({'TSH', 'P48023', 'Q15654'})"
"frozenset({'TSH', 'Q8IYI6', 'Q9H992'})"
"frozenset({'TSH', 'Q6NZI2', 'Q5R372'})"
"frozenset({'TSH', 'P62979', 'O95786'})"
"frozenset({'TSH', 'Q15545', 'P15976'})"
"frozenset({'TSH', 'Q8IXL6', 'O14791'})"
"frozenset({'O75503', 'Q96L12', 'TSH'})"
"frozenset({'Q9UKY1', 'TSH', 'P00491'})"
"frozenset({'TSH', 'Q13492', 'Q9Y2M5'})"
"frozenset({'TSH', 'Q96MX6', 'O95352'})"
"frozenset({'P17987', 'Q9BRX9', 'TSH'})"
"frozenset({'P62068', 'P60660', 'TSH'})"
"frozenset({'TSH', 'Q6K0P9', 'Q6NT76'})"
"frozenset({'TSH', 'Q13188', 'Q15678'})"
"frozenset({'TSH', 'P67775', 'Q9P2X7'})"
"frozenset({'TSH', 'P05067', 'P08118'})"
"frozenset({'TSH', 'Q9UM11', 'Q00535'})"
"frozenset({'TSH', 'P05556', 'Q02763'})"
"frozenset({'TSH', 'Q9Y4K3', 'P27695'})"
"frozenset({'TSH', 'Q9Y5B0', 'Q9UL03'})"
"frozenset({'TSH', 'Q13685', 'Q92858'})"
"frozenset({'TSH', 'P61158', 'Q96H55'})"
"frozenset({'TSH', 'Q8TEW0', 'P31947'})"
"frozenset({'TSH', 'P01562', 'Q13261'})"
"frozenset({'TSH', 'P05067', 'Q92688'})"
"frozenset({'O75569', 'Q16637', 'TSH'})"
"frozenset({'TSH', 'Q96JB5', 'P61960'})"
"frozenset({'TSH', 'Q9H270', 'Q86VX9'})"
"frozenset({'Q86VP6', 'Q15365', 'TSH'})"
"frozenset({'Q15717', 'Q8N2R0', 'TSH'})"
"frozenset({'TSH', 'P31948', 'P26038'})"
"frozenset({'TSH', 'Q86YQ8', 'Q9UBU9'})"
"frozenset({'TSH', 'Q96CS2', 'O15078'})"
"frozenset({'TSH', 'Q12788', 'Q13601'})"
"frozenset({'Q9UK80', 'O95630', 'TSH'})"
"frozenset({'TSH', 'Q03135', 'P04150'})"
"frozenset({'P84022', 'Q9UM63', 'TSH'})"
"frozenset({'TSH', 'Q6P4I2', 'P22314'})"
"frozenset({'TSH', 'P26038', 'P54274'})"
"frozenset({'Q96L42', 'TSH', 'P16220'})"
"frozenset({'TSH', 'P01023', 'Q16659'})"
"frozenset({'TSH', 'Q8WXG8', 'P25815'})"
"frozenset({'TSH', 'P62987', 'Q8TF42'})"
"frozenset({'TSH', 'Q12933', 'Q86WV6'})"
"frozenset({'TSH', 'Q8IYB3', 'O75643'})"
"frozenset({'TSH', 'P63096', 'O75916'})"
"frozenset({'TSH', 'P60409', 'Q96NT3'})"
"frozenset({'P80188', 'O14595', 'TSH'})"
"frozenset({'TSH', 'Q14807', 'O75970'})"
"frozenset({'TSH', 'Q3MJ16', 'P29992'})"
"frozenset({'Q13451', 'Q9Y2Z0', 'TSH'})"
"frozenset({'TSH', 'Q32MZ4', 'Q99836'})"
"frozenset({'TSH', 'Q5TA81', 'Q5T753'})"
"frozenset({'TSH', 'P20618', 'Q58EX7'})"
"frozenset({'TSH', 'Q9UL18', 'P62829'})"
"frozenset({'Q96A73', 'P11142', 'TSH'})"
"frozenset({'TSH', 'O95376', 'P52789'})"
"frozenset({'TSH', 'Q8IZJ0', 'Q969J5'})"
"frozenset({'TSH', 'Q14160', 'Q6UXZ0'})"
"frozenset({'TSH', 'P29692', 'Q70Z53'})"
"frozenset({'TSH', 'O14717', 'P58107'})"
"frozenset({'TSH', 'Q9H9S0', 'P31483'})"
"frozenset({'TSH', 'Q9UBV2', 'Q96DZ1'})"
"frozenset({'TSH', 'Q99958', 'P30153'})"
"frozenset({'TSH', 'Q92783', 'P29597'})"
"frozenset({'TSH', 'P49736', 'P07900'})"
"frozenset({'TSH', 'O95470', 'O14498'})"
"frozenset({'TSH', 'Q8NEV4', 'O75970'})"
"frozenset({'TSH', 'Q15119', 'Q9Y243'})"
"frozenset({'TSH', 'Q14999', 'Q5SSJ5'})"
"frozenset({'Q13619', 'TSH', 'P07900'})"
"frozenset({'Q15653', 'TSH', 'Q14161'})"
"frozenset({'TSH', 'P78386', 'P18146'})"
"frozenset({'TSH', 'Q92736', 'Q16537'})"
"frozenset({'TSH', 'P05067', 'A5D8V6'})"
"frozenset({'TSH', 'Q6PIY7', 'P48431'})"
"frozenset({'TSH', 'P42338', 'P40197'})"
"frozenset({'TSH', 'P07900', 'Q01974'})"
"frozenset({'P04141', 'P14784', 'TSH'})"
"frozenset({'TSH', 'P61019', 'Q9UGI8'})"
"frozenset({'TSH', 'P50991', 'P61160'})"
"frozenset({'TSH', 'O43309', 'Q96IT1'})"
"frozenset({'Q15717', 'Q03252', 'TSH'})"
"frozenset({'Q9UKB1', 'P49642', 'TSH'})"
"frozenset({'TSH', 'Q13085', 'P04629'})"
"frozenset({'TSH', 'Q96NY9', 'Q9H816'})"
"frozenset({'TSH', 'P12268', 'P30504'})"
"frozenset({'TSH', 'O14757', 'P28482'})"
"frozenset({'P35226', 'Q2KJY2', 'TSH'})"
"frozenset({'TSH', 'P62158', 'Q13562'})"
"frozenset({'Q8TBB1', 'O75679', 'TSH'})"
"frozenset({'TSH', 'O14827', 'P27986'})"
"frozenset({'TSH', 'P38919', 'P38159'})"
"frozenset({'TSH', 'P04406', 'Q8N257'})"
"frozenset({'TSH', 'Q02750', 'P00540'})"
"frozenset({'TSH', 'P49790', 'P33240'})"
"frozenset({'Q96KG9', 'O14965', 'TSH'})"
"frozenset({'TSH', 'P08865', 'P11021'})"
"frozenset({'TSH', 'Q6ZQN5', 'P52789'})"
"frozenset({'TSH', 'Q9UGM1', 'Q6UWP7'})"
"frozenset({'TSH', 'P51149', 'P50570'})"
"frozenset({'TSH', 'Q15796', 'Q8NFD5'})"
"frozenset({'P57060', 'O95257', 'TSH'})"
"frozenset({'P46379', 'TSH', 'P55055'})"
"frozenset({'TSH', 'Q15052', 'Q9NQU5'})"
"frozenset({'TSH', 'Q6NW34', 'P08047'})"
"frozenset({'TSH', 'Q7Z3S9', 'O60573'})"
"frozenset({'Q13191', 'P78552', 'TSH'})"
"frozenset({'TSH', 'Q53HC9', 'Q99471'})"
"frozenset({'TSH', 'Q92736', 'Q99717'})"
"frozenset({'TSH', 'P36941', 'Q13490'})"
"frozenset({'TSH', 'O14544', 'Q15149'})"
"frozenset({'TSH', 'Q96P71', 'Q99767'})"
"frozenset({'TSH', 'O14727', 'P04637'})"
"frozenset({'TSH', 'P18848', 'Q16566'})"
"frozenset({'P14174', 'P28838', 'TSH'})"
"frozenset({'TSH', 'Q9H6Z9', 'Q8NC74'})"
"frozenset({'P13598', 'P41273', 'TSH'})"
"frozenset({'TSH', 'Q9UQL6', 'O14654'})"
"frozenset({'TSH', 'Q99614', 'Q5JWF2'})"
"frozenset({'TSH', 'P27361', 'Q15121'})"
"frozenset({'TSH', 'Q13427', 'Q16637'})"
"frozenset({'TSH', 'P60953', 'O43295'})"
"frozenset({'TSH', 'P07996', 'Q05397'})"
"frozenset({'TSH', 'Q96GX1', 'Q9Y4L1'})"
"frozenset({'TSH', 'Q9Y6B2', 'P68431'})"
"frozenset({'Q8NG31', 'Q9Y253', 'TSH'})"
"frozenset({'TSH', 'Q9NYL2', 'P01106'})"
"frozenset({'TSH', 'P31689', 'O00308'})"
"frozenset({'TSH', 'P60520', 'Q00610'})"
"frozenset({'TSH', 'Q86Y56', 'Q9UBU9'})"
"frozenset({'TSH', 'Q9P2S5', 'O14832'})"
"frozenset({'TSH', 'P04899', 'Q16539'})"
"frozenset({'Q9H9G7', 'P98175', 'TSH'})"
"frozenset({'TSH', 'Q99496', 'P28340'})"
"frozenset({'TSH', 'P42575', 'Q9Y239'})"
"frozenset({'TSH', 'Q9UM11', 'O00429'})"
"frozenset({'TSH', 'Q8N205', 'Q07866'})"
"frozenset({'TSH', 'P31749', 'Q00987'})"
"frozenset({'TSH', 'P46781', 'P61927'})"
"frozenset({'TSH', 'Q9H8Y5', 'P46108'})"
"frozenset({'TSH', 'P26373', 'P19320'})"
"frozenset({'TSH', 'Q8IXZ2', 'Q8NDF8'})"
"frozenset({'P43360', 'Q8TAE8', 'TSH'})"
"frozenset({'TSH', 'P63165', 'Q96RI1'})"
"frozenset({'TSH', 'P14373', 'P06730'})"
"frozenset({'TSH', 'P57076', 'Q16610'})"
"frozenset({'Q14457', 'TSH', 'P00533'})"
"frozenset({'TSH', 'Q15750', 'Q8WUK0'})"
"frozenset({'TSH', 'Q9BTW9', 'P49321'})"
"frozenset({'P49959', 'P54132', 'TSH'})"
"frozenset({'TSH', 'Q9Y4R8', 'Q9Y678'})"
"frozenset({'TSH', 'Q9UER7', 'P14672'})"
"frozenset({'Q13257', 'Q92504', 'TSH'})"
"frozenset({'TSH', 'P29474', 'P60709'})"
"frozenset({'Q96JH8', 'TSH', 'Q15323'})"
"frozenset({'TSH', 'Q9NT62', 'O15519'})"
"frozenset({'P52333', 'Q96PU4', 'TSH'})"
"frozenset({'TSH', 'P32242', 'Q3SY46'})"
"frozenset({'TSH', 'P49736', 'P46781'})"
"frozenset({'TSH', 'Q9BWU1', 'Q9NX70'})"
"frozenset({'TSH', 'P03952', 'P05154'})"
"frozenset({'TSH', 'Q15637', 'P52597'})"
"frozenset({'TSH', 'P63173', 'P46782'})"
"frozenset({'TSH', 'Q92529', 'P24863'})"
"frozenset({'TSH', 'P19875', 'Q8WYR1'})"
"frozenset({'TSH', 'Q7L7L0', 'P33992'})"
"frozenset({'TSH', 'Q9Y2X7', 'P51955'})"
"frozenset({'Q9H492', 'P12270', 'TSH'})"
"frozenset({'Q6UY14', 'A5D8T8', 'TSH'})"
"frozenset({'TSH', 'Q96JM3', 'P45973'})"
"frozenset({'P42229', 'P06213', 'TSH'})"
"frozenset({'TSH', 'O95793', 'Q10570'})"
"frozenset({'TSH', 'Q9UBP0', 'Q9P2P5'})"
"frozenset({'TSH', 'P62195', 'Q96DT6'})"
"frozenset({'TSH', 'Q15744', 'Q9UNN4'})"
"frozenset({'O75083', 'Q9BY32', 'TSH'})"
"frozenset({'TSH', 'P05412', 'Q9Y291'})"
"frozenset({'P39023', 'Q93034', 'TSH'})"
"frozenset({'TSH', 'P01137', 'Q14689'})"
"frozenset({'Q92545', 'Q96S52', 'TSH'})"
"frozenset({'TSH', 'Q16082', 'P42574'})"
"frozenset({'TSH', 'P18887', 'P63279'})"
"frozenset({'P23258', 'P62753', 'TSH'})"
"frozenset({'TSH', 'P84098', 'P61326'})"
"frozenset({'TSH', 'Q13618', 'P62081'})"
"frozenset({'Q96I34', 'TSH', 'P14902'})"
"frozenset({'Q9UL26', 'Q9UI14', 'TSH'})"
"frozenset({'TSH', 'O43395', 'Q9HCM9'})"
"frozenset({'TSH', 'P53567', 'P0CAP2'})"
"frozenset({'TSH', 'O43813', 'Q66K14'})"
"frozenset({'TSH', 'P12111', 'P53708'})"
"frozenset({'Q12792', 'O00159', 'TSH'})"
"frozenset({'Q15653', 'P38646', 'TSH'})"
"frozenset({'Q9Y3S2', 'Q8IYI8', 'TSH'})"
"frozenset({'TSH', 'O14980', 'Q99447'})"
"frozenset({'Q2MV58', 'Q01130', 'TSH'})"
"frozenset({'TSH', 'Q9UIY3', 'O95166'})"
"frozenset({'TSH', 'P27695', 'O60671'})"
"frozenset({'TSH', 'P24522', 'P07199'})"
"frozenset({'Q9H2W6', 'P09651', 'TSH'})"
"frozenset({'TSH', 'Q9UQL6', 'P38919'})"
"frozenset({'TSH', 'Q01844', 'Q13114'})"
"frozenset({'P35221', 'Q9UKB1', 'TSH'})"
"frozenset({'P09874', 'Q5TC82', 'TSH'})"
"frozenset({'Q8NI37', 'TSH', 'Q9Y3D5'})"
"frozenset({'TSH', 'P43115', 'P17480'})"
"frozenset({'TSH', 'Q01844', 'Q01082'})"
"frozenset({'TSH', 'Q8TAE8', 'Q9Y3E5'})"
"frozenset({'TSH', 'Q12906', 'O60783'})"
"frozenset({'TSH', 'Q8NFD5', 'P46937'})"
"frozenset({'TSH', 'P25098', 'Q8NGG7'})"
"frozenset({'TSH', 'P07711', 'Q99969'})"
"frozenset({'TSH', 'Q8WVK7', 'Q9H410'})"
"frozenset({'TSH', 'P62318', 'Q9Y6A4'})"
"frozenset({'TSH', 'P62955', 'Q14738'})"
"frozenset({'Q8NI36', 'P17812', 'TSH'})"
"frozenset({'P00505', 'Q9UQL6', 'TSH'})"
"frozenset({'TSH', 'A0AVT1', 'Q9H0W5'})"
"frozenset({'TSH', 'Q9BZL6', 'P16220'})"
"frozenset({'TSH', 'P62318', 'Q5TC82'})"
"frozenset({'TSH', 'P32121', 'Q8NGG7'})"
"frozenset({'TSH', 'O95817', 'Q3B7T3'})"
"frozenset({'TSH', 'Q9NZC7', 'Q96F07'})"
"frozenset({'Q06330', 'Q96RU3', 'TSH'})"
"frozenset({'TSH', 'Q8TDH9', 'Q99598'})"
"frozenset({'P26368', 'TSH', 'Q15428'})"
"frozenset({'TSH', 'P39687', 'O15131'})"
"frozenset({'Q06210', 'TSH', 'P10155'})"
"frozenset({'TSH', 'P17275', 'P45984'})"
"frozenset({'TSH', 'Q12809', 'Q5I7T1'})"
"frozenset({'TSH', 'O60506', 'P10599'})"
"frozenset({'TSH', 'Q5TKA1', 'Q16254'})"
"frozenset({'TSH', 'P26927', 'O75360'})"
"frozenset({'P62841', 'Q13530', 'TSH'})"
"frozenset({'O96001', 'P62714', 'TSH'})"
"frozenset({'TSH', 'Q13133', 'P12814'})"
"frozenset({'TSH', 'P08237', 'Q9NWT6'})"
"frozenset({'TSH', 'O75530', 'Q8NE71'})"
"frozenset({'P33076', 'P62195', 'TSH'})"
"frozenset({'Q01130', 'Q9BRK4', 'TSH'})"
"frozenset({'TSH', 'Q9BY27', 'Q15742'})"
"frozenset({'TSH', 'Q16629', 'Q8IX12'})"
"frozenset({'Q9H2L4', 'Q6UXB8', 'TSH'})"
"frozenset({'TSH', 'Q9UM00', 'Q9H0U4'})"
"frozenset({'Q9BT92', 'Q96MT8', 'TSH'})"
"frozenset({'TSH', 'Q92831', 'P06400'})"
"frozenset({'TSH', 'P61254', 'P02751'})"
"frozenset({'TSH', 'P62873', 'Q8NH54'})"
"frozenset({'Q53G59', 'Q8N5L8', 'TSH'})"
"frozenset({'TSH', 'O95139', 'O75438'})"
"frozenset({'TSH', 'Q9NX14', 'Q9UBS9'})"
"frozenset({'TSH', 'P00533', 'Q15758'})"
"frozenset({'TSH', 'O95400', 'P84103'})"
"frozenset({'Q96KG9', 'P04629', 'TSH'})"
"frozenset({'TSH', 'Q8N143', 'Q9BZW7'})"
"frozenset({'TSH', 'Q8IWV7', 'Q08830'})"
"frozenset({'TSH', 'Q9NR45', 'Q3LXA3'})"
"frozenset({'P19532', 'P55072', 'TSH'})"
"frozenset({'TSH', 'Q6RW13', 'Q12789'})"
"frozenset({'Q9BQ67', 'TSH', 'Q9H0R8'})"
"frozenset({'Q9Y6M1', 'P01106', 'TSH'})"
"frozenset({'TSH', 'Q7L5D6', 'Q92993'})"
"frozenset({'TSH', 'P04629', 'O96013'})"
"frozenset({'TSH', 'Q96FV2', 'Q5QP82'})"
"frozenset({'TSH', 'Q9P0N5', 'Q9NW15'})"
"frozenset({'TSH', 'Q99873', 'P63172'})"
"frozenset({'TSH', 'Q99459', 'Q5UIP0'})"
"frozenset({'TSH', 'O14980', 'Q9H446'})"
"frozenset({'TSH', 'P62851', 'Q9H2G4'})"
"frozenset({'TSH', 'O00625', 'Q9Y2M5'})"
"frozenset({'Q15717', 'Q9UGJ0', 'TSH'})"
"frozenset({'TSH', 'P22314', 'P24941'})"
"frozenset({'TSH', 'P50539', 'Q9Y6D9'})"
"frozenset({'TSH', 'P49750', 'Q9NZC7'})"
"frozenset({'Q13616', 'TSH', 'Q9BXB5'})"
"frozenset({'Q5T1M5', 'Q9NXC5', 'TSH'})"
"frozenset({'TSH', 'O43542', 'Q9BVQ7'})"
"frozenset({'TSH', 'P27635', 'Q96T88'})"
"frozenset({'TSH', 'P62807', 'Q562F6'})"
"frozenset({'TSH', 'Q6IAA8', 'P68104'})"
"frozenset({'TSH', 'Q99459', 'A6NHR9'})"
"frozenset({'TSH', 'Q9BWU1', 'P12273'})"
"frozenset({'TSH', 'O60563', 'P29590'})"
"frozenset({'TSH', 'O95793', 'P10809'})"
"frozenset({'TSH', 'P09619', 'P19525'})"
"frozenset({'TSH', 'Q8NGD3', 'P38405'})"
"frozenset({'TSH', 'P78310', 'Q86YT9'})"
"frozenset({'TSH', 'Q8WVX9', 'P14672'})"
"frozenset({'P84022', 'Q99836', 'TSH'})"
"frozenset({'TSH', 'P01344', 'Q6UW60'})"
"frozenset({'TSH', 'P07585', 'P08581'})"
"frozenset({'TSH', 'Q9UD71', 'Q12972'})"
"frozenset({'TSH', 'Q96T76', 'Q06203'})"
"frozenset({'P46379', 'TSH', 'Q8WW22'})"
"frozenset({'TSH', 'Q8IXL6', 'Q6UX39'})"
"frozenset({'TSH', 'Q14D33', 'Q3LI66'})"
"frozenset({'TSH', 'Q13395', 'O43681'})"
"frozenset({'TSH', 'Q9UI14', 'P20340'})"
"frozenset({'Q6IQ23', 'P09923', 'TSH'})"
"frozenset({'TSH', 'O95484', 'Q9Y5I7'})"
"frozenset({'TSH', 'P15374', 'P14555'})"
"frozenset({'TSH', 'P86478', 'Q93062'})"
"frozenset({'O43353', 'P54652', 'TSH'})"
"frozenset({'TSH', 'P05106', 'O14924'})"
"frozenset({'P58546', 'P28482', 'TSH'})"
