negatives
"frozenset({'Q9UKB1', 'Q14671', 'Wnt'})"
"frozenset({'Wnt', 'Q9UBT2', 'O95817'})"
"frozenset({'Q96GE4', 'Q9HCE1', 'Wnt'})"
"frozenset({'Q15717', 'Wnt', 'P39687'})"
"frozenset({'Wnt', 'Q9UIJ7', 'Q1KMD3'})"
"frozenset({'Wnt', 'P16220', 'O43766'})"
"frozenset({'Q8IY84', 'Wnt', 'P05067'})"
"frozenset({'Q9UGP4', 'Wnt', 'P78318'})"
"frozenset({'Q8N163', 'Wnt', 'O75935'})"
"frozenset({'P38405', 'Q8NFM4', 'Wnt'})"
"frozenset({'P11908', 'Q96HA8', 'Wnt'})"
"frozenset({'Wnt', 'P19838', 'O75526'})"
"frozenset({'Q7L5L3', 'Q13617', 'Wnt'})"
"frozenset({'Q86VD1', 'Wnt', 'Q8NG27'})"
"frozenset({'Q9BVK8', 'P01106', 'Wnt'})"
"frozenset({'Q8WVB6', 'Wnt', 'Q13535'})"
"frozenset({'O76094', 'Wnt', 'Q9P2D0'})"
"frozenset({'P30153', 'Wnt', 'Q9H0R8'})"
"frozenset({'Q9UM47', 'Q9NWT6', 'Wnt'})"
"frozenset({'Wnt', 'P12830', 'Q99959'})"
"frozenset({'P32121', 'Wnt', 'A6NCV1'})"
"frozenset({'Q9UDY6', 'Wnt', 'Q9UPQ4'})"
"frozenset({'Q9BQ48', 'Wnt', 'P62241'})"
"frozenset({'Wnt', 'O75691', 'Q9BZI7'})"
"frozenset({'P30273', 'Wnt', 'Q92569'})"
"frozenset({'Wnt', 'Q9BZF9', 'P46379'})"
"frozenset({'Q9BS18', 'Wnt', 'Q13257'})"
"frozenset({'Wnt', 'Q9BVI4', 'Q68CZ1'})"
"frozenset({'P36542', 'Wnt', 'Q96D53'})"
"frozenset({'Wnt', 'P12830', 'P35613'})"
"frozenset({'P14784', 'P29597', 'Wnt'})"
"frozenset({'Q9H3F6', 'Q16643', 'Wnt'})"
"frozenset({'P35232', 'Q9UQD0', 'Wnt'})"
"frozenset({'Q9H6Y5', 'Q9BTE3', 'Wnt'})"
"frozenset({'Q8TAQ2', 'P15927', 'Wnt'})"
"frozenset({'Wnt', 'Q13177', 'P07947'})"
"frozenset({'Wnt', 'O43638', 'Q9H497'})"
"frozenset({'Wnt', 'P04264', 'O95166'})"
"frozenset({'Q14807', 'Wnt', 'Q8NG27'})"
"frozenset({'Q14974', 'Q16637', 'Wnt'})"
"frozenset({'Q96KP4', 'Wnt', 'Q8IUH5'})"
"frozenset({'P25098', 'Wnt', 'O60403'})"
"frozenset({'P39023', 'Wnt', 'Q504Q3'})"
"frozenset({'Q9Y2I1', 'Q15075', 'Wnt'})"
"frozenset({'Wnt', 'Q96AA8', 'Q15742'})"
"frozenset({'P18084', 'P50552', 'Wnt'})"
"frozenset({'Q9ULM3', 'Wnt', 'Q9Y2G2'})"
"frozenset({'Wnt', 'Q12899', 'Q8WUB8'})"
"frozenset({'Wnt', 'P27694', 'Q12888'})"
"frozenset({'Wnt', 'Q96S94', 'Q9Y3Z3'})"
"frozenset({'P18146', 'Wnt', 'Q9NQ25'})"
"frozenset({'Q15560', 'Wnt', 'O75031'})"
"frozenset({'Q9UL18', 'Wnt', 'Q6GQQ9'})"
"frozenset({'O75439', 'Wnt', 'Q9UBU9'})"
"frozenset({'Wnt', 'O75323', 'O60341'})"
"frozenset({'Q03154', 'Q66PJ3', 'Wnt'})"
"frozenset({'Q12962', 'Wnt', 'Q8WWY3'})"
"frozenset({'Q00839', 'Wnt', 'Q9H0A0'})"
"frozenset({'O43889', 'Wnt', 'Q14773'})"
"frozenset({'P61586', 'Wnt', 'Q53QZ3'})"
"frozenset({'Wnt', 'P05231', 'Q9BYH8'})"
"frozenset({'Q96LJ8', 'Wnt', 'P07237'})"
"frozenset({'Wnt', 'P11310', 'P30154'})"
"frozenset({'Wnt', 'P62847', 'P62750'})"
"frozenset({'Wnt', 'Q15051', 'A6NKN8'})"
"frozenset({'P29992', 'Wnt', 'Q68DD2'})"
"frozenset({'Wnt', 'P19438', 'Q9Y6K9'})"
"frozenset({'Q9NVP1', 'Q9H0S4', 'Wnt'})"
"frozenset({'Q86WH2', 'Wnt', 'O95166'})"
"frozenset({'Wnt', 'Q9H4A6', 'Q96D53'})"
"frozenset({'Wnt', 'P09914', 'P62304'})"
"frozenset({'Q8N122', 'Wnt', 'Q9UBS0'})"
"frozenset({'Q15283', 'Wnt', 'Q14C86'})"
"frozenset({'Wnt', 'Q96ST3', 'P07900'})"
"frozenset({'Wnt', 'Q02978', 'Q9H7S9'})"
"frozenset({'O43504', 'Wnt', 'Q14152'})"
"frozenset({'Q9UP95', 'Q8N9M5', 'Wnt'})"
"frozenset({'Wnt', 'Q5RI15', 'O00483'})"
"frozenset({'Q4G0F5', 'Q9NP92', 'Wnt'})"
"frozenset({'P63261', 'Wnt', 'P60981'})"
"frozenset({'Wnt', 'P82909', 'P08621'})"
"frozenset({'O60306', 'O60828', 'Wnt'})"
"frozenset({'Q9UK08', 'Wnt', 'Q9H1C0'})"
"frozenset({'O43852', 'Wnt', 'O14744'})"
"frozenset({'Q96PM5', 'Wnt', 'Q92871'})"
"frozenset({'Wnt', 'P01730', 'P18124'})"
"frozenset({'O96006', 'Wnt', 'Q8IYE1'})"
"frozenset({'Q9Y3C5', 'Wnt', 'Q9UNM6'})"
"frozenset({'Wnt', 'O95644', 'Q96A08'})"
"frozenset({'Wnt', 'P12074', 'A1L188'})"
"frozenset({'Wnt', 'Q9UBW8', 'Q5QP82'})"
"frozenset({'Q9NS15', 'O00555', 'Wnt'})"
"frozenset({'Wnt', 'P17066', 'Q9BZ68'})"
"frozenset({'Wnt', 'Q6IQ23', 'Q9Y295'})"
"frozenset({'Wnt', 'Q10567', 'Q9H1H9'})"
"frozenset({'O75420', 'Q9NW64', 'Wnt'})"
"frozenset({'P36888', 'Wnt', 'Q06124'})"
"frozenset({'Q96JP2', 'P37198', 'Wnt'})"
"frozenset({'Wnt', 'Q96DD0', 'P41208'})"
"frozenset({'Q93100', 'Wnt', 'Q8TEW6'})"
"frozenset({'Q8NEG7', 'P01106', 'Wnt'})"
"frozenset({'P26373', 'Wnt', 'P62249'})"
"frozenset({'Q9NYF3', 'Wnt', 'Q9P244'})"
"frozenset({'Q14999', 'O43290', 'Wnt'})"
"frozenset({'P17612', 'O60359', 'Wnt'})"
"frozenset({'Q9NUQ3', 'P61244', 'Wnt'})"
"frozenset({'Wnt', 'Q01850', 'O75069'})"
"frozenset({'O43795', 'Wnt', 'Q9NQW6'})"
"frozenset({'Q9NPI1', 'Wnt', 'Q6STE5'})"
"frozenset({'Wnt', 'O15205', 'A0AVT1'})"
"frozenset({'P35579', 'Wnt', 'P20333'})"
"frozenset({'Q04771', 'Q13501', 'Wnt'})"
"frozenset({'O15162', 'Wnt', 'Q13563'})"
"frozenset({'Wnt', 'Q8WVQ1', 'Q99941'})"
"frozenset({'Q9HC73', 'P01241', 'Wnt'})"
"frozenset({'Q05655', 'Wnt', 'P53004'})"
"frozenset({'Wnt', 'Q12824', 'Q86U86'})"
"frozenset({'P31146', 'Wnt', 'P25791'})"
"frozenset({'Q9Y6H1', 'Wnt', 'Q96HJ9'})"
"frozenset({'Wnt', 'Q12905', 'P0DMV8'})"
"frozenset({'P16520', 'P42336', 'Wnt'})"
"frozenset({'O15524', 'Wnt', 'O75553'})"
"frozenset({'P62136', 'P14618', 'Wnt'})"
"frozenset({'Q8NGT9', 'P17612', 'Wnt'})"
"frozenset({'P22234', 'Wnt', 'Q5JWF2'})"
"frozenset({'P28482', 'P01100', 'Wnt'})"
"frozenset({'Wnt', 'P38936', 'Q5SZQ8'})"
"frozenset({'Wnt', 'O75943', 'Q9UBW8'})"
"frozenset({'Wnt', 'Q8NFM4', 'P31751'})"
"frozenset({'Q9BQ89', 'O76011', 'Wnt'})"
"frozenset({'Q15022', 'Wnt', 'Q07666'})"
"frozenset({'Q8TDD1', 'Q9BYG3', 'Wnt'})"
"frozenset({'O00231', 'Q9Y2M0', 'Wnt'})"
"frozenset({'Q13009', 'Wnt', 'Q9P244'})"
"frozenset({'Q92572', 'Wnt', 'O14617'})"
"frozenset({'Q8WYQ5', 'P17844', 'Wnt'})"
"frozenset({'Q8IX90', 'Wnt', 'O00203'})"
"frozenset({'Wnt', 'P13646', 'Q15843'})"
"frozenset({'O95429', 'Wnt', 'Q9UBU9'})"
"frozenset({'Wnt', 'O43296', 'A6NEM1'})"
"frozenset({'Wnt', 'O95352', 'Q9UIY3'})"
"frozenset({'P26951', 'Wnt', 'P32927'})"
"frozenset({'Wnt', 'Q7Z3K3', 'Q14192'})"
"frozenset({'P16471', 'P60568', 'Wnt'})"
"frozenset({'Wnt', 'Q8TAQ2', 'Q01664'})"
"frozenset({'P55072', 'Wnt', 'P09327'})"
"frozenset({'O43678', 'Wnt', 'O95167'})"
"frozenset({'O15520', 'Q07889', 'Wnt'})"
"frozenset({'Q8N1F8', 'Wnt', 'Q9UKB1'})"
"frozenset({'Wnt', 'Q13315', 'Q9Y6J9'})"
"frozenset({'Wnt', 'Q9BY67', 'Q6VMQ6'})"
"frozenset({'O75604', 'Wnt', 'Q15834'})"
"frozenset({'Q14330', 'Q6ZVX7', 'Wnt'})"
"frozenset({'P42285', 'Wnt', 'P37840'})"
"frozenset({'P02724', 'P02730', 'Wnt'})"
"frozenset({'P52597', 'Q92734', 'Wnt'})"
"frozenset({'P29558', 'Wnt', 'Q9UMX0'})"
"frozenset({'Q8ND24', 'Q9NVH1', 'Wnt'})"
"frozenset({'Wnt', 'P47755', 'O75146'})"
"frozenset({'Q4AC94', 'Wnt', 'Q15154'})"
"frozenset({'Q96KB5', 'Wnt', 'P04049'})"
"frozenset({'Q9Y247', 'Wnt', 'Q14142'})"
"frozenset({'P31944', 'O60260', 'Wnt'})"
"frozenset({'O95754', 'Wnt', 'Q13635'})"
"frozenset({'Q5VV41', 'Wnt', 'Q9Y5V3'})"
"frozenset({'P17812', 'Q9NW13', 'Wnt'})"
"frozenset({'Q13303', 'Wnt', 'Q14722'})"
"frozenset({'P18847', 'Wnt', 'O43463'})"
"frozenset({'Wnt', 'P43250', 'P49407'})"
"frozenset({'P51784', 'Wnt', 'Q15831'})"
"frozenset({'P22612', 'Wnt', 'Q8NGI6'})"
"frozenset({'O43707', 'Wnt', 'O60294'})"
"frozenset({'Q8NGX0', 'Wnt', 'O60262'})"
"frozenset({'Wnt', 'Q9BVQ7', 'P57078'})"
"frozenset({'O75360', 'Wnt', 'Q6ISB3'})"
"frozenset({'Q9UQ35', 'Wnt', 'Q16181'})"
"frozenset({'Q06187', 'Wnt', 'Q99836'})"
"frozenset({'Q92905', 'Q14541', 'Wnt'})"
"frozenset({'Wnt', 'Q86SG5', 'Q5SY68'})"
"frozenset({'Q9UBE0', 'Wnt', 'P63279'})"
"frozenset({'Wnt', 'P61952', 'Q9HBW0'})"
"frozenset({'Wnt', 'P05113', 'P42701'})"
"frozenset({'Q03111', 'Wnt', 'Q96EB6'})"
"frozenset({'Q2TAY7', 'Wnt', 'Q9H0H5'})"
"frozenset({'Wnt', 'O75027', 'Q7Z7H8'})"
"frozenset({'Q659A1', 'Wnt', 'P01859'})"
"frozenset({'P28482', 'Wnt', 'Q13202'})"
"frozenset({'Wnt', 'Q99607', 'Q9Y6X2'})"
"frozenset({'Wnt', 'P10415', 'Q01094'})"
"frozenset({'O75369', 'Q99496', 'Wnt'})"
"frozenset({'Q9NXR1', 'Wnt', 'Q9UMX0'})"
"frozenset({'Q9HB90', 'Wnt', 'Q8N122'})"
"frozenset({'Wnt', 'P63010', 'Q6ZU52'})"
"frozenset({'P32121', 'Q8NH90', 'Wnt'})"
"frozenset({'Q9Y6G3', 'P24539', 'Wnt'})"
"frozenset({'Wnt', 'Q9UNW1', 'Q86Y78'})"
"frozenset({'Wnt', 'P10415', 'Q7L3V2'})"
"frozenset({'P07737', 'Wnt', 'Q9H0R8'})"
"frozenset({'Q9GZV8', 'Wnt', 'Q9P2K3'})"
"frozenset({'Wnt', 'P12814', 'O60244'})"
"frozenset({'P12004', 'Q96BJ8', 'Wnt'})"
"frozenset({'Q12933', 'Wnt', 'Q2TAL8'})"
"frozenset({'P51784', 'P29590', 'Wnt'})"
"frozenset({'P62873', 'Wnt', 'Q8NH72'})"
"frozenset({'Wnt', 'P18124', 'P62841'})"
"frozenset({'Wnt', 'P60896', 'P20618'})"
"frozenset({'Q9H773', 'Wnt', 'O00560'})"
"frozenset({'Q13009', 'Wnt', 'P62834'})"
"frozenset({'Q5JR59', 'Wnt', 'P25791'})"
"frozenset({'Q96A84', 'Q8IYK4', 'Wnt'})"
"frozenset({'Wnt', 'Q7Z2W4', 'O14980'})"
"frozenset({'P35222', 'O00182', 'Wnt'})"
"frozenset({'P10809', 'Wnt', 'Q14CZ7'})"
"frozenset({'Wnt', 'P09038', 'P98160'})"
"frozenset({'O96020', 'Wnt', 'Q00526'})"
"frozenset({'P17612', 'Wnt', 'P10276'})"
"frozenset({'Wnt', 'P61604', 'O95757'})"
"frozenset({'Wnt', 'Q15056', 'P55210'})"
"frozenset({'Q8IUQ4', 'Wnt', 'P10276'})"
"frozenset({'P84095', 'Wnt', 'Q14185'})"
"frozenset({'P23246', 'Wnt', 'O75554'})"
"frozenset({'Wnt', 'Q09472', 'Q14790'})"
"frozenset({'Q8N0Z3', 'Wnt', 'P20290'})"
"frozenset({'Q9NU22', 'Q9UET6', 'Wnt'})"
"frozenset({'Wnt', 'O75884', 'O95199'})"
"frozenset({'O75448', 'Wnt', 'P05067'})"
"frozenset({'Q96BA8', 'Wnt', 'Q9NZG7'})"
"frozenset({'Wnt', 'Q16777', 'O75317'})"
"frozenset({'Wnt', 'Q9NQC7', 'Q8N137'})"
"frozenset({'O75925', 'P12757', 'Wnt'})"
"frozenset({'Wnt', 'Q96PN7', 'Q9UBU9'})"
"frozenset({'Wnt', 'P19174', 'P22681'})"
"frozenset({'O75439', 'Q96I51', 'Wnt'})"
"frozenset({'Wnt', 'O14610', 'P41586'})"
"frozenset({'Q9BYZ6', 'Wnt', 'P18031'})"
"frozenset({'Q14974', 'Q13485', 'Wnt'})"
"frozenset({'P31431', 'Wnt', 'Q9BRJ7'})"
"frozenset({'Wnt', 'Q8N474', 'P56703'})"
"frozenset({'Q8TD17', 'Wnt', 'Q9H8W4'})"
"frozenset({'Wnt', 'P00533', 'P49411'})"
"frozenset({'Q04837', 'O75603', 'Wnt'})"
"frozenset({'P27987', 'Wnt', 'Q13099'})"
"frozenset({'Wnt', 'P26583', 'Q96LK0'})"
"frozenset({'Wnt', 'Q13330', 'A8MQ03'})"
"frozenset({'Wnt', 'P60900', 'P02751'})"
"frozenset({'Q9UJY5', 'Wnt', 'P84077'})"
"frozenset({'Q9UHD2', 'P11021', 'Wnt'})"
"frozenset({'O14974', 'Wnt', 'O60285'})"
"frozenset({'Q06330', 'P20023', 'Wnt'})"
"frozenset({'Wnt', 'Q9NPJ6', 'P24928'})"
"frozenset({'P17931', 'Wnt', 'P13473'})"
"frozenset({'P56381', 'Wnt', 'P30042'})"
"frozenset({'Q9HC29', 'Wnt', 'Q99558'})"
"frozenset({'Wnt', 'P63167', 'P60520'})"
"frozenset({'Q3ZLR7', 'Wnt', 'Q13616'})"
"frozenset({'Wnt', 'P35573', 'P28072'})"
"frozenset({'Wnt', 'P12956', 'Q9H0R6'})"
"frozenset({'Q16558', 'Wnt', 'Q16665'})"
"frozenset({'Wnt', 'P62310', 'Q9UBB9'})"
"frozenset({'Q15022', 'Wnt', 'P42345'})"
"frozenset({'A0JLT2', 'Q86YW9', 'Wnt'})"
"frozenset({'Wnt', 'Q8NC51', 'Q9H492'})"
"frozenset({'Wnt', 'Q15843', 'Q9UBT2'})"
"frozenset({'Wnt', 'Q00613', 'O95757'})"
"frozenset({'Q96EV8', 'Wnt', 'O14617'})"
"frozenset({'P51684', 'Wnt', 'P10720'})"
"frozenset({'Wnt', 'P54105', 'Q9Y333'})"
"frozenset({'P63172', 'Q8WUQ7', 'Wnt'})"
"frozenset({'P07737', 'Wnt', 'P13612'})"
"frozenset({'Q9BT81', 'Wnt', 'P05067'})"
"frozenset({'Wnt', 'Q9NRG4', 'P06730'})"
"frozenset({'Wnt', 'Q86VP6', 'Q9BZI7'})"
"frozenset({'Q9UBU9', 'Wnt', 'Q9BWL3'})"
"frozenset({'O75420', 'Q6Y7W6', 'Wnt'})"
"frozenset({'P14923', 'P35579', 'Wnt'})"
"frozenset({'Q8TAV4', 'Q8N5M9', 'Wnt'})"
"frozenset({'Q9H173', 'Q9UET6', 'Wnt'})"
"frozenset({'Wnt', 'P09104', 'P37802'})"
"frozenset({'Wnt', 'P26641', 'Q9H0W5'})"
"frozenset({'Q09019', 'Q14160', 'Wnt'})"
"frozenset({'Q96DB2', 'Wnt', 'Q8WUM0'})"
"frozenset({'Q9BZZ5', 'Wnt', 'Q9UKV3'})"
"frozenset({'Wnt', 'Q9H8H0', 'O95292'})"
"frozenset({'Q05BQ5', 'Wnt', 'P60709'})"
"frozenset({'Q12962', 'Wnt', 'P49848'})"
"frozenset({'Q9BRS2', 'Wnt', 'P38919'})"
"frozenset({'P00519', 'Wnt', 'Q99933'})"
"frozenset({'O00410', 'Wnt', 'Q16790'})"
"frozenset({'P36402', 'Wnt', 'Q15562'})"
"frozenset({'Wnt', 'P19235', 'P20809'})"
"frozenset({'Q14807', 'Q8WWK9', 'Wnt'})"
"frozenset({'P54852', 'Wnt', 'Q5T700'})"
"frozenset({'O95989', 'P56182', 'Wnt'})"
"frozenset({'Q9UPU5', 'Wnt', 'Q92797'})"
"frozenset({'P21926', 'Wnt', 'Q14005'})"
"frozenset({'P61962', 'Q86SE9', 'Wnt'})"
"frozenset({'Wnt', 'Q16775', 'Q9NYB0'})"
"frozenset({'P42025', 'P47755', 'Wnt'})"
"frozenset({'Wnt', 'Q15645', 'Q14689'})"
"frozenset({'O43167', 'Q96EG3', 'Wnt'})"
"frozenset({'P01344', 'Wnt', 'P48745'})"
"frozenset({'Wnt', 'Q96GX1', 'Q3ZAQ7'})"
"frozenset({'O75116', 'Wnt', 'P78527'})"
"frozenset({'P84090', 'P11142', 'Wnt'})"
"frozenset({'P08134', 'Wnt', 'Q53QZ3'})"
"frozenset({'P53708', 'Wnt', 'P06756'})"
"frozenset({'Q9UNN5', 'Wnt', 'P04083'})"
"frozenset({'Q9Y487', 'Q99418', 'Wnt'})"
"frozenset({'Wnt', 'Q14134', 'Q8NC51'})"
"frozenset({'Q13526', 'Wnt', 'O15156'})"
"frozenset({'Wnt', 'P36969', 'Q9NS18'})"
"frozenset({'O75173', 'Wnt', 'Q05516'})"
"frozenset({'Wnt', 'P07948', 'P32519'})"
"frozenset({'Q8IYA8', 'Wnt', 'Q96HB5'})"
"frozenset({'O94782', 'Q96EQ0', 'Wnt'})"
"frozenset({'Q8TBB1', 'Wnt', 'Q495X7'})"
"frozenset({'P61326', 'Wnt', 'P52272'})"
"frozenset({'Q15139', 'P27348', 'Wnt'})"
"frozenset({'Q9BXP5', 'Wnt', 'Q01844'})"
"frozenset({'P62070', 'Wnt', 'Q9NS23'})"
"frozenset({'Q5PSV4', 'Q9HCU9', 'Wnt'})"
"frozenset({'P62879', 'Wnt', 'Q02078'})"
"frozenset({'Q92887', 'Wnt', 'O14977'})"
"frozenset({'Wnt', 'P0DPB5', 'P52815'})"
"frozenset({'P02647', 'Wnt', 'Q86VQ3'})"
"frozenset({'Q9P2W3', 'Wnt', 'Q02548'})"
"frozenset({'Q8N122', 'Wnt', 'P31946'})"
"frozenset({'Q9NSD9', 'Q9Y285', 'Wnt'})"
"frozenset({'P0C862', 'P68032', 'Wnt'})"
"frozenset({'O14862', 'Wnt', 'Q9HB71'})"
"frozenset({'Wnt', 'P31943', 'P07910'})"
"frozenset({'Q15797', 'P04626', 'Wnt'})"
"frozenset({'Q96FW1', 'Wnt', 'Q9HAC8'})"
"frozenset({'Wnt', 'P52630', 'P19525'})"
"frozenset({'Wnt', 'Q8N5P1', 'Q96P20'})"
"frozenset({'Wnt', 'Q9NTW7', 'Q13432'})"
"frozenset({'P11142', 'Q01860', 'Wnt'})"
"frozenset({'P23528', 'Wnt', 'P62993'})"
"frozenset({'Wnt', 'P49959', 'P05412'})"
"frozenset({'Wnt', 'P05187', 'A8MQ03'})"
"frozenset({'Wnt', 'P17252', 'Q08828'})"
"frozenset({'Wnt', 'Q9UKX2', 'P35609'})"
"frozenset({'Wnt', 'O60359', 'P30153'})"
"frozenset({'Q13087', 'Wnt', 'Q13177'})"
"frozenset({'Wnt', 'O75937', 'Q13242'})"
"frozenset({'Wnt', 'Q00987', 'Q16778'})"
"frozenset({'O60496', 'Wnt', 'Q8N6M8'})"
"frozenset({'P24941', 'Wnt', 'P84077'})"
"frozenset({'Wnt', 'O60260', 'P60866'})"
"frozenset({'Q01082', 'Wnt', 'P27694'})"
"frozenset({'Q9UQ35', 'Wnt', 'Q9NR30'})"
"frozenset({'Wnt', 'P17612', 'O43665'})"
"frozenset({'Q8NEW0', 'Q15717', 'Wnt'})"
"frozenset({'P14859', 'Wnt', 'P09017'})"
"frozenset({'Q8N5N7', 'Wnt', 'Q14197'})"
"frozenset({'Wnt', 'Q96NL3', 'Q9UGI0'})"
"frozenset({'Wnt', 'Q99784', 'Q8TDR0'})"
"frozenset({'Wnt', 'P01375', 'P0DP24'})"
"frozenset({'Q8NGS4', 'Wnt', 'P22694'})"
"frozenset({'Q9NR12', 'P38606', 'Wnt'})"
"frozenset({'P68431', 'Wnt', 'Q96HA7'})"
"frozenset({'O15400', 'Q08379', 'Wnt'})"
"frozenset({'Q13151', 'Wnt', 'Q01130'})"
"frozenset({'Q8IXW5', 'Wnt', 'P50570'})"
"frozenset({'Q9UI95', 'Wnt', 'P30260'})"
"frozenset({'Q15904', 'Q9Y3E0', 'Wnt'})"
"frozenset({'Q96SW2', 'Q13131', 'Wnt'})"
"frozenset({'P08047', 'Wnt', 'P21453'})"
"frozenset({'P52597', 'Wnt', 'Q13620'})"
"frozenset({'Q5VT06', 'P30291', 'Wnt'})"
"frozenset({'Wnt', 'Q9H208', 'P49407'})"
"frozenset({'Wnt', 'P10415', 'Q96LC9'})"
"frozenset({'P62072', 'Q9Y5J7', 'Wnt'})"
"frozenset({'P42858', 'Wnt', 'Q96NC0'})"
"frozenset({'O60231', 'Wnt', 'Q9NRC8'})"
"frozenset({'P62942', 'Wnt', 'Q9H4Y5'})"
"frozenset({'Wnt', 'Q9Y496', 'P49792'})"
"frozenset({'P27348', 'Wnt', 'P07437'})"
"frozenset({'O43524', 'Q96RT1', 'Wnt'})"
"frozenset({'Q15517', 'Wnt', 'Q9Y5K5'})"
"frozenset({'Wnt', 'Q96C55', 'Q08379'})"
"frozenset({'Wnt', 'Q92985', 'P01574'})"
"frozenset({'Wnt', 'P41279', 'P15924'})"
"frozenset({'Q8N3J5', 'Wnt', 'P98170'})"
"frozenset({'Wnt', 'P35244', 'Q9H0D6'})"
"frozenset({'P82663', 'Wnt', 'Q92845'})"
"frozenset({'Wnt', 'Q99459', 'O14733'})"
"frozenset({'Q13829', 'Wnt', 'Q96GG9'})"
"frozenset({'Wnt', 'Q12905', 'P18124'})"
"frozenset({'Wnt', 'Q96LK0', 'Q9H3U1'})"
"frozenset({'O43147', 'Wnt', 'P21246'})"
"frozenset({'Q13247', 'Wnt', 'Q8TAD8'})"
"frozenset({'P38398', 'Wnt', 'Q86X24'})"
"frozenset({'Q04941', 'Wnt', 'Q14657'})"
"frozenset({'Q5UIP0', 'Wnt', 'P32119'})"
"frozenset({'Q9UBN7', 'Wnt', 'Q01813'})"
"frozenset({'O95758', 'Wnt', 'Q8WWY3'})"
"frozenset({'Q13363', 'P01106', 'Wnt'})"
"frozenset({'Wnt', 'Q68D85', 'O00214'})"
"frozenset({'P49771', 'Wnt', 'P10721'})"
"frozenset({'Q9HB63', 'Wnt', 'Q92859'})"
"frozenset({'Wnt', 'Q15884', 'O15270'})"
"frozenset({'Q13625', 'Wnt', 'Q66GS9'})"
"frozenset({'P40189', 'Wnt', 'P62993'})"
"frozenset({'O95758', 'Q8IX90', 'Wnt'})"
"frozenset({'Wnt', 'P19235', 'P01574'})"
"frozenset({'P04085', 'Wnt', 'P07333'})"
"frozenset({'Q6ZSG2', 'Wnt', 'O75031'})"
"frozenset({'Q8IXQ9', 'Q9BVL4', 'Wnt'})"
"frozenset({'O00233', 'Wnt', 'Q567U6'})"
"frozenset({'Wnt', 'O94986', 'Q68CZ1'})"
"frozenset({'P14923', 'Q12905', 'Wnt'})"
"frozenset({'P62253', 'Wnt', 'Q92781'})"
"frozenset({'Q9P286', 'Wnt', 'P53667'})"
"frozenset({'Wnt', 'Q05397', 'Q9UNA1'})"
"frozenset({'P30519', 'Wnt', 'P04150'})"
"frozenset({'Wnt', 'P55210', 'P49768'})"
"frozenset({'Q13885', 'Q9UBN7', 'Wnt'})"
