negatives
"frozenset({'Q9Y624', 'TNFalpha', 'P12830'})"
"frozenset({'O95785', 'TNFalpha', 'P61244'})"
"frozenset({'Q9Y2R0', 'P09669', 'TNFalpha'})"
"frozenset({'P67936', 'Q13200', 'TNFalpha'})"
"frozenset({'Q9UPQ4', 'Q96B02', 'TNFalpha'})"
"frozenset({'Q9BXB1', 'P02538', 'TNFalpha'})"
"frozenset({'Q9Y2D8', 'Q9P2S5', 'TNFalpha'})"
"frozenset({'Q6P1J9', 'P62987', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q16543', 'Q8NEY8'})"
"frozenset({'Q6ZMK1', 'TNFalpha', 'Q96QK1'})"
"frozenset({'P61925', 'TNFalpha', 'P63167'})"
"frozenset({'Q92841', 'Q14558', 'TNFalpha'})"
"frozenset({'Q92973', 'TNFalpha', 'P35637'})"
"frozenset({'Q96A37', 'TNFalpha', 'P52948'})"
"frozenset({'P62993', 'Q8TEW0', 'TNFalpha'})"
"frozenset({'Q9NX70', 'TNFalpha', 'Q93074'})"
"frozenset({'Q08AD1', 'Q9BPZ7', 'TNFalpha'})"
"frozenset({'Q15797', 'TNFalpha', 'Q969H0'})"
"frozenset({'P24941', 'P21333', 'TNFalpha'})"
"frozenset({'P15923', 'Q9Y265', 'TNFalpha'})"
"frozenset({'Q96HR9', 'Q99732', 'TNFalpha'})"
"frozenset({'P30443', 'P78334', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q5T751', 'P59990'})"
"frozenset({'Q9UHL9', 'TNFalpha', 'Q15796'})"
"frozenset({'Q9P2S2', 'Q8N2Q7', 'TNFalpha'})"
"frozenset({'P46108', 'TNFalpha', 'P19013'})"
"frozenset({'Q99873', 'Q9NWQ4', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13740', 'P09382'})"
"frozenset({'P05412', 'TNFalpha', 'P31040'})"
"frozenset({'P11362', 'TNFalpha', 'P07900'})"
"frozenset({'P62987', 'TNFalpha', 'P46934'})"
"frozenset({'TNFalpha', 'P38117', 'Q9H1B7'})"
"frozenset({'Q05086', 'Q99583', 'TNFalpha'})"
"frozenset({'P22694', 'A6NND4', 'TNFalpha'})"
"frozenset({'Q9ULJ6', 'Q9Y6X2', 'TNFalpha'})"
"frozenset({'Q9UQM7', 'TNFalpha', 'P08514'})"
"frozenset({'P13747', 'TNFalpha', 'P30511'})"
"frozenset({'Q17RB8', 'TNFalpha', 'P38398'})"
"frozenset({'Q14155', 'P00533', 'TNFalpha'})"
"frozenset({'P17693', 'TNFalpha', 'Q14954'})"
"frozenset({'Q5T8P6', 'Q8WVZ9', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9BZE4', 'P56537'})"
"frozenset({'P57081', 'TNFalpha', 'O95671'})"
"frozenset({'P62318', 'TNFalpha', 'P52739'})"
"frozenset({'Q04206', 'Q07817', 'TNFalpha'})"
"frozenset({'P19012', 'Q8N3L3', 'TNFalpha'})"
"frozenset({'Q7L0J3', 'TNFalpha', 'P04629'})"
"frozenset({'TNFalpha', 'P50148', 'Q9ULW2'})"
"frozenset({'Q9Y4G8', 'P52732', 'TNFalpha'})"
"frozenset({'Q8NHQ1', 'P13682', 'TNFalpha'})"
"frozenset({'P28749', 'TNFalpha', 'Q7L2E3'})"
"frozenset({'Q9BXB1', 'Q92621', 'TNFalpha'})"
"frozenset({'P06400', 'P38936', 'TNFalpha'})"
"frozenset({'P61964', 'P40227', 'TNFalpha'})"
"frozenset({'P50990', 'TNFalpha', 'Q9BUR4'})"
"frozenset({'Q86Y26', 'TNFalpha', 'Q8NDC4'})"
"frozenset({'P56545', 'Q9NQ66', 'TNFalpha'})"
"frozenset({'P51668', 'Q8IUQ4', 'TNFalpha'})"
"frozenset({'Q13077', 'Q5JUK2', 'TNFalpha'})"
"frozenset({'O14757', 'P05067', 'TNFalpha'})"
"frozenset({'P63104', 'P49815', 'TNFalpha'})"
"frozenset({'Q86UL8', 'Q5TCY1', 'TNFalpha'})"
"frozenset({'P25098', 'TNFalpha', 'Q8NGX1'})"
"frozenset({'P0DMV8', 'P31946', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8IVT5', 'P52209'})"
"frozenset({'P15954', 'TNFalpha', 'Q16740'})"
"frozenset({'P38936', 'TNFalpha', 'Q9NPI1'})"
"frozenset({'O43741', 'Q9BYR9', 'TNFalpha'})"
"frozenset({'Q63ZY3', 'TNFalpha', 'P63167'})"
"frozenset({'P40425', 'P49639', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P84098', 'Q9Y3U8'})"
"frozenset({'A8MW95', 'Q07817', 'TNFalpha'})"
"frozenset({'Q8WWW0', 'TNFalpha', 'P36873'})"
"frozenset({'Q5BJF6', 'Q6ZRV2', 'TNFalpha'})"
"frozenset({'Q16659', 'TNFalpha', 'Q96A49'})"
"frozenset({'Q14315', 'TNFalpha', 'Q9BYV6'})"
"frozenset({'P41597', 'P09341', 'TNFalpha'})"
"frozenset({'Q15717', 'TNFalpha', 'Q14139'})"
"frozenset({'Q01860', 'TNFalpha', 'Q8IUD2'})"
"frozenset({'TNFalpha', 'Q7Z2G1', 'P04908'})"
"frozenset({'P04792', 'Q9UJY1', 'TNFalpha'})"
"frozenset({'O15084', 'TNFalpha', 'Q9BT49'})"
"frozenset({'P04792', 'Q9Y448', 'TNFalpha'})"
"frozenset({'P58317', 'Q99728', 'TNFalpha'})"
"frozenset({'Q7Z434', 'P62987', 'TNFalpha'})"
"frozenset({'P04083', 'TNFalpha', 'Q93009'})"
"frozenset({'TNFalpha', 'Q96JN0', 'Q5T6S3'})"
"frozenset({'TNFalpha', 'P22612', 'Q8NGX1'})"
"frozenset({'Q06787', 'P23443', 'TNFalpha'})"
"frozenset({'Q9UHC1', 'Q9Y2M0', 'TNFalpha'})"
"frozenset({'P42684', 'Q13671', 'TNFalpha'})"
"frozenset({'Q9BRI3', 'Q96IW7', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8IXM6', 'Q8IWR1'})"
"frozenset({'P06493', 'Q01581', 'TNFalpha'})"
"frozenset({'O75935', 'Q96NL6', 'TNFalpha'})"
"frozenset({'Q02750', 'P00533', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O60885', 'Q9Y2T2'})"
"frozenset({'Q9Y291', 'Q8IXZ2', 'TNFalpha'})"
"frozenset({'P35579', 'Q16643', 'TNFalpha'})"
"frozenset({'P05412', 'TNFalpha', 'Q9NWU5'})"
"frozenset({'P58181', 'P35626', 'TNFalpha'})"
"frozenset({'Q92905', 'P84098', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O14980', 'Q99871'})"
"frozenset({'Q7Z4I7', 'Q5S007', 'TNFalpha'})"
"frozenset({'O75665', 'P61019', 'TNFalpha'})"
"frozenset({'P10144', 'Q03252', 'TNFalpha'})"
"frozenset({'P47756', 'Q96H55', 'TNFalpha'})"
"frozenset({'P01106', 'P58107', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q99750', 'Q15973'})"
"frozenset({'Q15418', 'P13639', 'TNFalpha'})"
"frozenset({'P11473', 'TNFalpha', 'Q9Y2W1'})"
"frozenset({'TNFalpha', 'Q13813', 'Q15393'})"
"frozenset({'TNFalpha', 'Q9UKV8', 'Q13451'})"
"frozenset({'TNFalpha', 'O95393', 'Q13323'})"
"frozenset({'Q9Y266', 'TNFalpha', 'P04626'})"
"frozenset({'Q9H2W6', 'TNFalpha', 'P09651'})"
"frozenset({'Q5S007', 'TNFalpha', 'P61158'})"
"frozenset({'P12931', 'TNFalpha', 'P25445'})"
"frozenset({'Q96G25', 'Q8TB05', 'TNFalpha'})"
"frozenset({'P62805', 'TNFalpha', 'P04406'})"
"frozenset({'P15927', 'Q00839', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NYJ8', 'Q13489'})"
"frozenset({'P05161', 'Q9UMW8', 'TNFalpha'})"
"frozenset({'Q9UN81', 'Q92995', 'TNFalpha'})"
"frozenset({'Q01954', 'P17252', 'TNFalpha'})"
"frozenset({'Q13129', 'Q8WXI2', 'TNFalpha'})"
"frozenset({'O60343', 'TNFalpha', 'P51970'})"
"frozenset({'P52798', 'P09619', 'TNFalpha'})"
"frozenset({'Q9Y277', 'P56385', 'TNFalpha'})"
"frozenset({'P01011', 'P05067', 'TNFalpha'})"
"frozenset({'P35222', 'TNFalpha', 'Q9HCE7'})"
"frozenset({'Q99459', 'Q9UHD8', 'TNFalpha'})"
"frozenset({'O75970', 'TNFalpha', 'O75436'})"
"frozenset({'Q8IWL3', 'P52789', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13233', 'Q9NS91'})"
"frozenset({'TNFalpha', 'O75351', 'Q9NWV8'})"
"frozenset({'Q96ME1', 'TNFalpha', 'P04629'})"
"frozenset({'Q9NPJ6', 'Q9NWA0', 'TNFalpha'})"
"frozenset({'Q9GZV5', 'TNFalpha', 'P62140'})"
"frozenset({'TNFalpha', 'P15927', 'Q8IYD8'})"
"frozenset({'Q6NUJ2', 'TNFalpha', 'Q15654'})"
"frozenset({'Q9P2E3', 'TNFalpha', 'Q9BQE3'})"
"frozenset({'Q9NPF5', 'TNFalpha', 'Q99496'})"
"frozenset({'Q13630', 'TNFalpha', 'O76003'})"
"frozenset({'Q10589', 'TNFalpha', 'Q99836'})"
"frozenset({'TNFalpha', 'Q9UBU9', 'O43765'})"
"frozenset({'P09234', 'Q3LI66', 'TNFalpha'})"
"frozenset({'P62993', 'P09622', 'TNFalpha'})"
"frozenset({'O14641', 'TNFalpha', 'Q7Z3G6'})"
"frozenset({'TNFalpha', 'P13010', 'Q9UQL6'})"
"frozenset({'O14786', 'P19784', 'TNFalpha'})"
"frozenset({'Q96PM5', 'TNFalpha', 'Q92993'})"
"frozenset({'Q8IXB1', 'Q8NBP7', 'TNFalpha'})"
"frozenset({'P59991', 'O95872', 'TNFalpha'})"
"frozenset({'O95251', 'TNFalpha', 'O00533'})"
"frozenset({'Q16576', 'Q9Y4K3', 'TNFalpha'})"
"frozenset({'P80162', 'P51679', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q96PY6', 'O14980'})"
"frozenset({'Q53FD0', 'P31947', 'TNFalpha'})"
"frozenset({'Q12800', 'TNFalpha', 'A0MZ66'})"
"frozenset({'Q96A35', 'Q7Z2W9', 'TNFalpha'})"
"frozenset({'Q86T24', 'TNFalpha', 'O75533'})"
"frozenset({'Q13435', 'P35244', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8N0Z6', 'Q9NYA3'})"
"frozenset({'P56192', 'Q9NRD1', 'TNFalpha'})"
"frozenset({'Q8IUH5', 'Q9NUB4', 'TNFalpha'})"
"frozenset({'P35222', 'Q9UBS8', 'TNFalpha'})"
"frozenset({'Q9UPT5', 'O60939', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P80370', 'O60779'})"
"frozenset({'P23528', 'TNFalpha', 'P63167'})"
"frozenset({'Q8IWL3', 'Q15006', 'TNFalpha'})"
"frozenset({'P41252', 'P23508', 'TNFalpha'})"
"frozenset({'P11233', 'P45984', 'TNFalpha'})"
"frozenset({'P35968', 'P52797', 'TNFalpha'})"
"frozenset({'P54920', 'TNFalpha', 'P55072'})"
"frozenset({'Q8IY81', 'TNFalpha', 'Q9Y3T9'})"
"frozenset({'Q86TM6', 'TNFalpha', 'P54252'})"
"frozenset({'Q02297', 'O94955', 'TNFalpha'})"
"frozenset({'Q96CS3', 'Q9Y679', 'TNFalpha'})"
"frozenset({'Q8N1F7', 'Q92621', 'TNFalpha'})"
"frozenset({'P60880', 'Q13190', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9UIF7', 'O60671'})"
"frozenset({'Q9UMN6', 'TNFalpha', 'Q8NI27'})"
"frozenset({'P36941', 'Q9BR77', 'TNFalpha'})"
"frozenset({'P20340', 'Q9Y5M8', 'TNFalpha'})"
"frozenset({'O14777', 'P33981', 'TNFalpha'})"
"frozenset({'Q86T24', 'Q13315', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P35749', 'Q15311'})"
"frozenset({'Q9NTJ3', 'TNFalpha', 'Q15149'})"
"frozenset({'Q5JSZ5', 'Q8TCT0', 'TNFalpha'})"
"frozenset({'Q07021', 'P16989', 'TNFalpha'})"
"frozenset({'Q8N5S1', 'TNFalpha', 'Q86VN1'})"
"frozenset({'Q15286', 'TNFalpha', 'O95835'})"
"frozenset({'P68032', 'TNFalpha', 'Q9Y5K6'})"
"frozenset({'TNFalpha', 'Q14318', 'P17980'})"
"frozenset({'P35813', 'Q9Y4K4', 'TNFalpha'})"
"frozenset({'P45985', 'Q13043', 'TNFalpha'})"
"frozenset({'P51679', 'TNFalpha', 'P13501'})"
"frozenset({'Q6ZU80', 'TNFalpha', 'Q86SQ0'})"
"frozenset({'P41229', 'TNFalpha', 'P12814'})"
"frozenset({'Q04206', 'TNFalpha', 'O14640'})"
"frozenset({'P19012', 'P40222', 'TNFalpha'})"
"frozenset({'Q96B77', 'Q9NXF8', 'TNFalpha'})"
"frozenset({'Q9UHG3', 'TNFalpha', 'Q9H6X2'})"
"frozenset({'P08621', 'Q13573', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O94966', 'Q9H0D6'})"
"frozenset({'Q9BXT2', 'TNFalpha', 'Q13557'})"
"frozenset({'Q8IUH5', 'Q9UKA8', 'TNFalpha'})"
"frozenset({'Q9HCC0', 'P35914', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P40855', 'Q92845'})"
"frozenset({'TNFalpha', 'P29474', 'Q96EB6'})"
"frozenset({'Q68D86', 'P31947', 'TNFalpha'})"
"frozenset({'P05067', 'TNFalpha', 'P17096'})"
"frozenset({'Q8IWL3', 'Q92685', 'TNFalpha'})"
"frozenset({'Q9Y333', 'Q13435', 'TNFalpha'})"
"frozenset({'Q15005', 'Q9P1W8', 'TNFalpha'})"
"frozenset({'Q92988', 'P46108', 'TNFalpha'})"
"frozenset({'P54725', 'Q9BQ95', 'TNFalpha'})"
"frozenset({'Q03181', 'Q8WUI4', 'TNFalpha'})"
"frozenset({'Q9BUL8', 'Q9NVK5', 'TNFalpha'})"
"frozenset({'Q8IWL3', 'Q5U5X0', 'TNFalpha'})"
"frozenset({'P27708', 'O00273', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9H1C7', 'P04899'})"
"frozenset({'P18031', 'P06493', 'TNFalpha'})"
"frozenset({'P35222', 'P42336', 'TNFalpha'})"
"frozenset({'P43627', 'P29350', 'TNFalpha'})"
"frozenset({'P00738', 'TNFalpha', 'Q06265'})"
"frozenset({'Q14994', 'O60244', 'TNFalpha'})"
"frozenset({'P35269', 'Q00403', 'TNFalpha'})"
"frozenset({'Q6EEV4', 'P19387', 'TNFalpha'})"
"frozenset({'Q8N8R3', 'Q5VT66', 'TNFalpha'})"
"frozenset({'Q13243', 'TNFalpha', 'Q07912'})"
"frozenset({'Q9NQV8', 'P16220', 'TNFalpha'})"
"frozenset({'P10276', 'P01100', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NUP9', 'P47755'})"
"frozenset({'P11413', 'Q92597', 'TNFalpha'})"
"frozenset({'P68104', 'TNFalpha', 'Q8WYK2'})"
"frozenset({'O00487', 'Q96CS7', 'TNFalpha'})"
"frozenset({'P62701', 'P62081', 'TNFalpha'})"
"frozenset({'Q96PK6', 'TNFalpha', 'Q14686'})"
"frozenset({'P14649', 'Q86YV6', 'TNFalpha'})"
"frozenset({'P60033', 'TNFalpha', 'O00453'})"
"frozenset({'Q9NTI5', 'TNFalpha', 'P04629'})"
"frozenset({'P01106', 'Q9NRX6', 'TNFalpha'})"
"frozenset({'Q9Y3A5', 'TNFalpha', 'Q9NP81'})"
"frozenset({'Q9GZX7', 'P52272', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q86YD7', 'Q08043'})"
"frozenset({'P61956', 'TNFalpha', 'Q8IYW5'})"
"frozenset({'P03372', 'TNFalpha', 'P53778'})"
"frozenset({'O15084', 'Q9UM47', 'TNFalpha'})"
"frozenset({'Q9GZQ8', 'P78371', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NSY1', 'Q9NQW6'})"
"frozenset({'Q15466', 'TNFalpha', 'P10275'})"
"frozenset({'P07947', 'P16671', 'TNFalpha'})"
"frozenset({'Q5R372', 'Q9BZG1', 'TNFalpha'})"
"frozenset({'Q9UJ70', 'O75791', 'TNFalpha'})"
"frozenset({'Q5T160', 'TNFalpha', 'Q4J6C6'})"
"frozenset({'TNFalpha', 'O43151', 'O43765'})"
"frozenset({'P55157', 'TNFalpha', 'P30260'})"
"frozenset({'Q92994', 'Q13315', 'TNFalpha'})"
"frozenset({'Q92597', 'P35606', 'TNFalpha'})"
"frozenset({'P15407', 'TNFalpha', 'Q13547'})"
"frozenset({'O43615', 'TNFalpha', 'P04629'})"
"frozenset({'P11498', 'TNFalpha', 'P17174'})"
"frozenset({'O75899', 'TNFalpha', 'P63211'})"
"frozenset({'O00159', 'TNFalpha', 'P52756'})"
"frozenset({'TNFalpha', 'Q9Y6I9', 'Q14689'})"
"frozenset({'Q9UK73', 'Q15843', 'TNFalpha'})"
"frozenset({'Q9BYQ3', 'P49901', 'TNFalpha'})"
"frozenset({'P03372', 'TNFalpha', 'P09651'})"
"frozenset({'P60409', 'TNFalpha', 'P55040'})"
"frozenset({'O75365', 'Q29RF7', 'TNFalpha'})"
"frozenset({'Q3LI70', 'Q0VD86', 'TNFalpha'})"
"frozenset({'O43676', 'O95299', 'TNFalpha'})"
"frozenset({'Q9BY84', 'TNFalpha', 'P61981'})"
"frozenset({'TNFalpha', 'P11142', 'Q71U36'})"
"frozenset({'TNFalpha', 'Q02410', 'P49768'})"
"frozenset({'P25098', 'TNFalpha', 'Q8NH03'})"
"frozenset({'TNFalpha', 'P84103', 'P47985'})"
"frozenset({'Q13002', 'O43292', 'TNFalpha'})"
"frozenset({'P53611', 'TNFalpha', 'Q6UWZ7'})"
"frozenset({'O14579', 'Q15019', 'TNFalpha'})"
"frozenset({'Q86X19', 'TNFalpha', 'Q9ULC3'})"
"frozenset({'P17612', 'TNFalpha', 'Q15648'})"
"frozenset({'O00459', 'P19438', 'TNFalpha'})"
"frozenset({'P63279', 'TNFalpha', 'Q13064'})"
"frozenset({'TNFalpha', 'P60709', 'P78362'})"
"frozenset({'TNFalpha', 'P27986', 'Q99704'})"
"frozenset({'TNFalpha', 'Q05519', 'Q86VP6'})"
"frozenset({'TNFalpha', 'Q96AN5', 'Q6P5W5'})"
"frozenset({'P49589', 'P23246', 'TNFalpha'})"
"frozenset({'Q9H8S9', 'Q8N8A2', 'TNFalpha'})"
"frozenset({'Q9NXR7', 'TNFalpha', 'Q96AY4'})"
"frozenset({'P46734', 'O95382', 'TNFalpha'})"
"frozenset({'Q96QH2', 'Q9HC98', 'TNFalpha'})"
"frozenset({'Q9UBY5', 'TNFalpha', 'Q86VR2'})"
"frozenset({'P00734', 'P05160', 'TNFalpha'})"
"frozenset({'Q9NVN8', 'TNFalpha', 'Q08379'})"
"frozenset({'P09913', 'TNFalpha', 'P61218'})"
"frozenset({'Q9BZV1', 'Q9UGR2', 'TNFalpha'})"
"frozenset({'Q15019', 'Q9BTE6', 'TNFalpha'})"
"frozenset({'O95872', 'Q99750', 'TNFalpha'})"
"frozenset({'P45973', 'O75461', 'TNFalpha'})"
"frozenset({'P78539', 'P63279', 'TNFalpha'})"
"frozenset({'P46459', 'TNFalpha', 'P31749'})"
"frozenset({'Q5T3F8', 'P25705', 'TNFalpha'})"
"frozenset({'O75899', 'TNFalpha', 'P50151'})"
"frozenset({'P62993', 'TNFalpha', 'Q04759'})"
"frozenset({'P40426', 'Q13394', 'TNFalpha'})"
"frozenset({'Q08170', 'TNFalpha', 'Q9H492'})"
"frozenset({'Q9Y4K3', 'Q6UWE0', 'TNFalpha'})"
"frozenset({'P35520', 'Q9Y6X2', 'TNFalpha'})"
"frozenset({'Q92769', 'O00410', 'TNFalpha'})"
"frozenset({'Q15365', 'Q9Y265', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P04629', 'P18206'})"
"frozenset({'O00217', 'Q14197', 'TNFalpha'})"
"frozenset({'P51159', 'Q9UNE2', 'TNFalpha'})"
"frozenset({'Q8NFT6', 'P22314', 'TNFalpha'})"
"frozenset({'P50990', 'TNFalpha', 'Q71U36'})"
"frozenset({'TNFalpha', 'Q9H0W5', 'P36542'})"
