negatives
"frozenset({'P61960', 'Q96EK5', 'IL4'})"
"frozenset({'Q6ZUT1', 'Q5HYN5', 'IL4'})"
"frozenset({'Q63HR2', 'IL4', 'P49639'})"
"frozenset({'IL4', 'Q03405', 'Q9BY14'})"
"frozenset({'P61086', 'Q00987', 'IL4'})"
"frozenset({'IL4', 'Q10589', 'Q15750'})"
"frozenset({'Q12770', 'Q6UX41', 'IL4'})"
"frozenset({'P35916', 'IL4', 'P07900'})"
"frozenset({'P42858', 'O96000', 'IL4'})"
"frozenset({'O15260', 'IL4', 'Q07955'})"
"frozenset({'IL4', 'Q9UPV0', 'O75494'})"
"frozenset({'Q13155', 'IL4', 'Q9P2H0'})"
"frozenset({'P03886', 'O95182', 'IL4'})"
"frozenset({'P36578', 'O95793', 'IL4'})"
"frozenset({'P11234', 'Q9ULZ3', 'IL4'})"
"frozenset({'Q13950', 'Q969H0', 'IL4'})"
"frozenset({'Q96HJ9', 'IL4', 'P48047'})"
"frozenset({'P61964', 'Q13573', 'IL4'})"
"frozenset({'P51692', 'P42224', 'IL4'})"
"frozenset({'P18754', 'O00358', 'IL4'})"
"frozenset({'Q15796', 'O14576', 'IL4'})"
"frozenset({'P51991', 'P11387', 'IL4'})"
"frozenset({'P78386', 'P61981', 'IL4'})"
"frozenset({'Q9UKE5', 'IL4', 'Q8IX03'})"
"frozenset({'P32322', 'Q96A33', 'IL4'})"
"frozenset({'Q01081', 'Q9UBU9', 'IL4'})"
"frozenset({'Q9UHC7', 'P54727', 'IL4'})"
"frozenset({'P40879', 'Q13315', 'IL4'})"
"frozenset({'Q15717', 'IL4', 'O75909'})"
"frozenset({'Q92845', 'O15066', 'IL4'})"
"frozenset({'P04629', 'IL4', 'Q9P2B4'})"
"frozenset({'P06400', 'Q92966', 'IL4'})"
"frozenset({'Q08379', 'Q6UWV6', 'IL4'})"
"frozenset({'P43358', 'P43362', 'IL4'})"
"frozenset({'P52292', 'Q92793', 'IL4'})"
"frozenset({'Q13107', 'Q9Y3D0', 'IL4'})"
"frozenset({'Q9UJX4', 'IL4', 'Q9UJX2'})"
"frozenset({'P21860', 'IL4', 'P27824'})"
"frozenset({'O95257', 'IL4', 'Q8TAE8'})"
"frozenset({'Q92752', 'P05556', 'IL4'})"
"frozenset({'Q68J44', 'IL4', 'Q8TBB1'})"
"frozenset({'Q96LZ7', 'Q96TC7', 'IL4'})"
"frozenset({'Q13501', 'Q15370', 'IL4'})"
"frozenset({'P62937', 'P49736', 'IL4'})"
"frozenset({'Q9Y6B7', 'IL4', 'Q86X19'})"
"frozenset({'P04083', 'P13612', 'IL4'})"
"frozenset({'Q14627', 'Q8IZI9', 'IL4'})"
"frozenset({'Q8TD16', 'IL4', 'Q15154'})"
"frozenset({'O14775', 'IL4', 'Q92569'})"
"frozenset({'P46776', 'IL4', 'P27635'})"
"frozenset({'P39656', 'IL4', 'Q9H223'})"
"frozenset({'Q9H0E3', 'P29590', 'IL4'})"
"frozenset({'P04637', 'IL4', 'Q8TDN4'})"
"frozenset({'P62937', 'IL4', 'Q6P5Z2'})"
"frozenset({'P18850', 'IL4', 'Q99941'})"
"frozenset({'P50222', 'IL4', 'Q86Y39'})"
"frozenset({'Q9NRC8', 'IL4', 'Q8NI27'})"
"frozenset({'Q8WXG1', 'IL4', 'P61218'})"
"frozenset({'P07550', 'IL4', 'Q9Y2K6'})"
"frozenset({'Q9NS71', 'Q8IY26', 'IL4'})"
"frozenset({'Q15717', 'IL4', 'Q86YQ8'})"
"frozenset({'P11171', 'IL4', 'Q9NPJ6'})"
"frozenset({'Q9UJV3', 'Q9NUL5', 'IL4'})"
"frozenset({'P15336', 'P28562', 'IL4'})"
"frozenset({'IL4', 'Q9C0C6', 'O15516'})"
"frozenset({'IL4', 'Q9BRK4', 'Q9Y247'})"
"frozenset({'Q14164', 'Q14152', 'IL4'})"
"frozenset({'Q5BKZ1', 'IL4', 'Q15022'})"
"frozenset({'Q15811', 'IL4', 'P09172'})"
"frozenset({'Q14145', 'Q6UVJ0', 'IL4'})"
"frozenset({'P62263', 'P62280', 'IL4'})"
"frozenset({'P62195', 'O95163', 'IL4'})"
"frozenset({'P61978', 'Q96PK6', 'IL4'})"
"frozenset({'Q8N6G5', 'Q8NBL1', 'IL4'})"
"frozenset({'IL4', 'P49286', 'P55287'})"
"frozenset({'Q96KR1', 'IL4', 'O75147'})"
"frozenset({'Q13370', 'IL4', 'O43300'})"
"frozenset({'Q8IZ07', 'P61088', 'IL4'})"
"frozenset({'Q16623', 'Q9Y228', 'IL4'})"
"frozenset({'Q15006', 'IL4', 'Q8NBM4'})"
"frozenset({'Q6IQ23', 'IL4', 'P11166'})"
"frozenset({'Q9H2F5', 'Q9Y230', 'IL4'})"
"frozenset({'P31947', 'IL4', 'Q9H8W4'})"
"frozenset({'P10515', 'IL4', 'Q9NRC8'})"
"frozenset({'P78559', 'IL4', 'O43747'})"
"frozenset({'P83436', 'Q14746', 'IL4'})"
"frozenset({'Q9NQC8', 'Q6ZU80', 'IL4'})"
"frozenset({'O95782', 'P52735', 'IL4'})"
"frozenset({'Q96GE6', 'Q14028', 'IL4'})"
"frozenset({'Q04206', 'Q9Y618', 'IL4'})"
"frozenset({'Q5T6F2', 'O43251', 'IL4'})"
"frozenset({'P30505', 'IL4', 'P43627'})"
"frozenset({'O14579', 'IL4', 'Q96EV8'})"
"frozenset({'Q96G23', 'IL4', 'Q9NXB9'})"
"frozenset({'Q9UL18', 'IL4', 'Q9NQC7'})"
"frozenset({'Q496Y0', 'IL4', 'P17661'})"
"frozenset({'P15336', 'P35232', 'IL4'})"
"frozenset({'Q9C0C7', 'O95816', 'IL4'})"
"frozenset({'Q96EQ0', 'Q01524', 'IL4'})"
"frozenset({'Q96MH7', 'IL4', 'O14980'})"
"frozenset({'Q9UHG3', 'IL4', 'P80370'})"
"frozenset({'P61604', 'IL4', 'P31948'})"
"frozenset({'P04150', 'IL4', 'P05026'})"
"frozenset({'O43734', 'Q15654', 'IL4'})"
"frozenset({'Q68CZ1', 'O75665', 'IL4'})"
"frozenset({'P52758', 'O95182', 'IL4'})"
"frozenset({'P60709', 'P18206', 'IL4'})"
"frozenset({'O60216', 'P78371', 'IL4'})"
"frozenset({'Q7Z4H7', 'IL4', 'O00233'})"
"frozenset({'P62847', 'Q8NC51', 'IL4'})"
"frozenset({'Q00005', 'Q02878', 'IL4'})"
"frozenset({'P08069', 'O95208', 'IL4'})"
"frozenset({'Q96R30', 'P25098', 'IL4'})"
"frozenset({'Q86VU5', 'Q13433', 'IL4'})"
"frozenset({'Q9P2W1', 'IL4', 'P10275'})"
"frozenset({'Q8TAA9', 'IL4', 'Q7Z3G6'})"
"frozenset({'P46100', 'IL4', 'P63165'})"
"frozenset({'Q6Q0C0', 'IL4', 'Q9H400'})"
"frozenset({'Q9NPJ1', 'IL4', 'P07900'})"
"frozenset({'P49736', 'O95793', 'IL4'})"
"frozenset({'Q9BSM1', 'IL4', 'Q96QH2'})"
"frozenset({'P17482', 'Q9BPY8', 'IL4'})"
"frozenset({'P62191', 'Q00987', 'IL4'})"
"frozenset({'P42830', 'P49682', 'IL4'})"
"frozenset({'Q99689', 'O43719', 'IL4'})"
"frozenset({'O75153', 'Q9UKG1', 'IL4'})"
"frozenset({'P63151', 'IL4', 'Q8N157'})"
"frozenset({'P51003', 'Q05519', 'IL4'})"
"frozenset({'P31751', 'IL4', 'P48736'})"
"frozenset({'Q5T749', 'IL4', 'Q8IUB9'})"
"frozenset({'Q9Y6N9', 'Q9BYE9', 'IL4'})"
"frozenset({'Q9HC52', 'IL4', 'Q9NQ55'})"
"frozenset({'Q8IYD8', 'Q0VG06', 'IL4'})"
"frozenset({'Q9UI95', 'Q13257', 'IL4'})"
"frozenset({'P49454', 'IL4', 'Q9UM73'})"
"frozenset({'IL4', 'O94973', 'P09497'})"
"frozenset({'Q8N9I0', 'O43493', 'IL4'})"
"frozenset({'P05067', 'IL4', 'Q96HR3'})"
"frozenset({'O75360', 'Q9NWC5', 'IL4'})"
"frozenset({'P49841', 'P98170', 'IL4'})"
"frozenset({'Q9BQG1', 'O60506', 'IL4'})"
"frozenset({'Q6A162', 'Q15274', 'IL4'})"
"frozenset({'Q9H0D6', 'P49459', 'IL4'})"
"frozenset({'Q9NWT6', 'Q9Y3T9', 'IL4'})"
"frozenset({'P61981', 'IL4', 'Q6ZN04'})"
"frozenset({'Q05048', 'IL4', 'Q16254'})"
"frozenset({'Q15788', 'IL4', 'P11473'})"
"frozenset({'P54136', 'Q16526', 'IL4'})"
"frozenset({'Q6NUN9', 'Q92558', 'IL4'})"
"frozenset({'P13984', 'Q13315', 'IL4'})"
"frozenset({'Q5BJF6', 'Q8WX93', 'IL4'})"
"frozenset({'O75208', 'Q6PI78', 'IL4'})"
"frozenset({'O60939', 'O60763', 'IL4'})"
"frozenset({'O60353', 'IL4', 'P50148'})"
"frozenset({'Q13485', 'P05161', 'IL4'})"
"frozenset({'P68431', 'IL4', 'Q15059'})"
"frozenset({'P62244', 'IL4', 'P32969'})"
"frozenset({'Q9Y4K3', 'IL4', 'Q9Y2X8'})"
"frozenset({'P33778', 'P60033', 'IL4'})"
"frozenset({'P37840', 'IL4', 'P41252'})"
"frozenset({'Q8NC44', 'IL4', 'P18859'})"
"frozenset({'IL4', 'P55774', 'Q9UKR5'})"
"frozenset({'Q15717', 'Q8NEW0', 'IL4'})"
"frozenset({'P40227', 'P78371', 'IL4'})"
"frozenset({'O95466', 'IL4', 'Q01518'})"
"frozenset({'P62873', 'Q8NHC8', 'IL4'})"
"frozenset({'Q92734', 'Q13772', 'IL4'})"
"frozenset({'P20671', 'Q13111', 'IL4'})"
"frozenset({'Q15124', 'P46976', 'IL4'})"
"frozenset({'O95989', 'IL4', 'Q9HCE1'})"
"frozenset({'Q15717', 'O75940', 'IL4'})"
"frozenset({'IL4', 'Q9H492', 'P17252'})"
"frozenset({'Q9Y4K3', 'Q13233', 'IL4'})"
"frozenset({'Q05513', 'Q16612', 'IL4'})"
"frozenset({'P52594', 'Q9Y371', 'IL4'})"
"frozenset({'P51671', 'IL4', 'P51679'})"
"frozenset({'IL4', 'P46063', 'Q99880'})"
"frozenset({'Q8N257', 'Q5VVJ2', 'IL4'})"
"frozenset({'P05362', 'IL4', 'P06748'})"
"frozenset({'P12931', 'IL4', 'P46013'})"
"frozenset({'IL4', 'Q14974', 'O75694'})"
"frozenset({'O60663', 'Q13394', 'IL4'})"
"frozenset({'P16333', 'P47928', 'IL4'})"
"frozenset({'Q9NYP9', 'Q5SW79', 'IL4'})"
"frozenset({'O14775', 'IL4', 'Q9UHV9'})"
"frozenset({'O43290', 'IL4', 'P63279'})"
"frozenset({'P49736', 'P11216', 'IL4'})"
"frozenset({'P12931', 'P62993', 'IL4'})"
"frozenset({'P62753', 'Q49AN0', 'IL4'})"
"frozenset({'Q13131', 'IL4', 'Q14694'})"
"frozenset({'P21333', 'P29728', 'IL4'})"
"frozenset({'Q96HA1', 'O00505', 'IL4'})"
"frozenset({'A0AVI4', 'IL4', 'Q96QB1'})"
"frozenset({'Q9P2J5', 'O43324', 'IL4'})"
"frozenset({'P30450', 'P55072', 'IL4'})"
"frozenset({'Q9H269', 'IL4', 'Q96A73'})"
"frozenset({'P58062', 'P69905', 'IL4'})"
"frozenset({'O75461', 'IL4', 'Q9UBK9'})"
"frozenset({'Q15238', 'P35590', 'IL4'})"
"frozenset({'Q8TAV4', 'Q6UX98', 'IL4'})"
"frozenset({'Q9H9E1', 'IL4', 'Q99623'})"
"frozenset({'P31483', 'P24522', 'IL4'})"
"frozenset({'Q9H496', 'Q13619', 'IL4'})"
"frozenset({'Q9Y2W1', 'IL4', 'Q9Y3B4'})"
"frozenset({'Q13315', 'Q8N4C6', 'IL4'})"
"frozenset({'Q05397', 'Q14457', 'IL4'})"
"frozenset({'Q93062', 'IL4', 'Q8N9N5'})"
"frozenset({'Q07627', 'P37235', 'IL4'})"
"frozenset({'Q8IWZ5', 'IL4', 'P36406'})"
"frozenset({'Q9H171', 'Q9UL18', 'IL4'})"
"frozenset({'Q96SB4', 'Q96B23', 'IL4'})"
"frozenset({'Q13895', 'IL4', 'Q9Y2T1'})"
"frozenset({'Q96CS3', 'IL4', 'P45880'})"
"frozenset({'O43290', 'IL4', 'O95400'})"
"frozenset({'P33778', 'P83916', 'IL4'})"
"frozenset({'Q96RG2', 'Q5THK1', 'IL4'})"
"frozenset({'O75629', 'Q9NRD1', 'IL4'})"
"frozenset({'O60292', 'Q9Y463', 'IL4'})"
"frozenset({'P41218', 'IL4', 'Q7L2E3'})"
"frozenset({'Q6IQ23', 'Q15717', 'IL4'})"
"frozenset({'Q8TAB5', 'Q99750', 'IL4'})"
"frozenset({'P61978', 'P06241', 'IL4'})"
"frozenset({'Q6IQ23', 'O60870', 'IL4'})"
"frozenset({'IL4', 'P56134', 'Q9BQE3'})"
"frozenset({'O75376', 'IL4', 'P52294'})"
"frozenset({'Q01860', 'Q00577', 'IL4'})"
"frozenset({'Q96RL1', 'Q9UL15', 'IL4'})"
"frozenset({'P51681', 'P52333', 'IL4'})"
"frozenset({'Q00536', 'P62258', 'IL4'})"
"frozenset({'Q9Y4H2', 'P61981', 'IL4'})"
"frozenset({'Q13158', 'IL4', 'O60936'})"
"frozenset({'Q05516', 'IL4', 'Q99684'})"
"frozenset({'P61956', 'Q7Z3J3', 'IL4'})"
"frozenset({'P01562', 'IL4', 'Q14653'})"
"frozenset({'Q96C57', 'IL4', 'O14980'})"
"frozenset({'Q9H0A6', 'Q14576', 'IL4'})"
"frozenset({'P25686', 'IL4', 'P04626'})"
"frozenset({'P61086', 'Q86Y13', 'IL4'})"
"frozenset({'Q5TD97', 'O00560', 'IL4'})"
"frozenset({'O94992', 'IL4', 'Q16665'})"
"frozenset({'P56537', 'IL4', 'P08559'})"
"frozenset({'Q08462', 'P04899', 'IL4'})"
"frozenset({'IL4', 'Q9H492', 'Q08211'})"
"frozenset({'A0AVF1', 'Q9H7X7', 'IL4'})"
"frozenset({'Q9H5I1', 'P00519', 'IL4'})"
"frozenset({'Q9H0U3', 'IL4', 'P13073'})"
"frozenset({'Q15046', 'O75665', 'IL4'})"
"frozenset({'O00222', 'P61952', 'IL4'})"
"frozenset({'Q9UNS1', 'Q9BRT9', 'IL4'})"
"frozenset({'Q9HCM9', 'IL4', 'O15197'})"
"frozenset({'Q9BZJ0', 'Q86SE5', 'IL4'})"
"frozenset({'Q15717', 'IL4', 'Q9C0H2'})"
"frozenset({'P01133', 'IL4', 'P20700'})"
"frozenset({'P68371', 'IL4', 'Q12834'})"
"frozenset({'Q9UPN6', 'O00159', 'IL4'})"
"frozenset({'Q99700', 'Q96B97', 'IL4'})"
"frozenset({'P22455', 'Q01970', 'IL4'})"
"frozenset({'Q9UBC3', 'IL4', 'Q8N7H5'})"
"frozenset({'P60660', 'Q8NFC6', 'IL4'})"
"frozenset({'Q99729', 'Q9Y2R9', 'IL4'})"
"frozenset({'Q7Z4I7', 'Q13137', 'IL4'})"
"frozenset({'IL4', 'Q08378', 'Q13077'})"
"frozenset({'IL4', 'Q06323', 'O00232'})"
"frozenset({'Q05D60', 'IL4', 'Q8N3L3'})"
"frozenset({'Q6P5W5', 'Q96AN5', 'IL4'})"
"frozenset({'O15360', 'P07384', 'IL4'})"
"frozenset({'Q9H4L4', 'Q09472', 'IL4'})"
"frozenset({'Q86YM7', 'Q13255', 'IL4'})"
"frozenset({'Q9NYL4', 'P01106', 'IL4'})"
"frozenset({'IL4', 'Q9GZN1', 'Q16658'})"
"frozenset({'O60921', 'Q99615', 'IL4'})"
"frozenset({'Q96CV9', 'P02786', 'IL4'})"
"frozenset({'P14778', 'IL4', 'P18510'})"
"frozenset({'Q9H0H5', 'IL4', 'O75154'})"
"frozenset({'O75365', 'Q9P035', 'IL4'})"
"frozenset({'Q13007', 'P16471', 'IL4'})"
"frozenset({'P17612', 'Q13607', 'IL4'})"
"frozenset({'P58340', 'P62258', 'IL4'})"
"frozenset({'Q9Y2Q9', 'Q96CW5', 'IL4'})"
"frozenset({'IL4', 'Q9BRK4', 'Q5VTD9'})"
"frozenset({'P58340', 'IL4', 'Q9P2D3'})"
"frozenset({'Q9H7C9', 'P05067', 'IL4'})"
"frozenset({'P06576', 'IL4', 'P56134'})"
"frozenset({'P45984', 'IL4', 'P49674'})"
"frozenset({'Q9P253', 'Q9H8T0', 'IL4'})"
"frozenset({'O75360', 'Q96K62', 'IL4'})"
"frozenset({'Q13064', 'Q6ZRY4', 'IL4'})"
"frozenset({'Q9NPF0', 'IL4', 'P32119'})"
"frozenset({'Q5VWX1', 'IL4', 'Q92841'})"
"frozenset({'Q9H211', 'P52292', 'IL4'})"
"frozenset({'Q9Y3F4', 'Q9UKE5', 'IL4'})"
"frozenset({'P51965', 'Q96F44', 'IL4'})"
"frozenset({'P25786', 'Q8WZ19', 'IL4'})"
"frozenset({'Q92900', 'Q09161', 'IL4'})"
"frozenset({'Q96GD4', 'Q71DI3', 'IL4'})"
"frozenset({'Q9H0A0', 'Q96SB4', 'IL4'})"
"frozenset({'Q92614', 'IL4', 'P46060'})"
"frozenset({'P03372', 'P06401', 'IL4'})"
"frozenset({'Q6MZP7', 'IL4', 'P52747'})"
"frozenset({'P60709', 'P38919', 'IL4'})"
"frozenset({'P27918', 'O95231', 'IL4'})"
"frozenset({'Q8TEX9', 'Q13043', 'IL4'})"
"frozenset({'Q5T7W0', 'IL4', 'P49674'})"
"frozenset({'Q08830', 'IL4', 'P19447'})"
"frozenset({'O60341', 'IL4', 'P07288'})"
"frozenset({'Q92542', 'P35249', 'IL4'})"
"frozenset({'Q8NEA9', 'IL4', 'Q4V326'})"
"frozenset({'P78362', 'IL4', 'Q8IZF4'})"
"frozenset({'Q14181', 'IL4', 'Q9GZR7'})"
"frozenset({'P78344', 'IL4', 'P15927'})"
"frozenset({'P07996', 'P02671', 'IL4'})"
"frozenset({'Q9Y263', 'IL4', 'P04054'})"
"frozenset({'Q9ULV5', 'Q9UKN7', 'IL4'})"
"frozenset({'O75360', 'Q96GM5', 'IL4'})"
"frozenset({'Q13573', 'O96019', 'IL4'})"
"frozenset({'Q9Y2T5', 'IL4', 'Q5BKT4'})"
"frozenset({'P10114', 'Q15717', 'IL4'})"
"frozenset({'P22087', 'Q9UEG4', 'IL4'})"
"frozenset({'P35249', 'IL4', 'Q14676'})"
"frozenset({'P22061', 'O60739', 'IL4'})"
"frozenset({'P78345', 'IL4', 'Q9Y279'})"
"frozenset({'P56945', 'IL4', 'P49023'})"
"frozenset({'P50222', 'Q96MM3', 'IL4'})"
"frozenset({'Q9NVV4', 'Q96FJ2', 'IL4'})"
"frozenset({'P34932', 'IL4', 'Q8N1V2'})"
"frozenset({'O43707', 'P04792', 'IL4'})"
"frozenset({'Q9H9S0', 'Q14781', 'IL4'})"
"frozenset({'P51991', 'IL4', 'O94817'})"
"frozenset({'P60484', 'O00159', 'IL4'})"
"frozenset({'Q92542', 'IL4', 'O75494'})"
"frozenset({'P42575', 'Q15717', 'IL4'})"
"frozenset({'Q9H6S1', 'IL4', 'O96018'})"
"frozenset({'Q9BRX5', 'Q9UNS1', 'IL4'})"
"frozenset({'O15155', 'P61218', 'IL4'})"
"frozenset({'P0DP24', 'P25105', 'IL4'})"
"frozenset({'P48431', 'IL4', 'O95777'})"
"frozenset({'Q9H2H8', 'P46379', 'IL4'})"
"frozenset({'Q9UBX7', 'IL4', 'Q8WUD6'})"
"frozenset({'Q14164', 'Q86VP1', 'IL4'})"
"frozenset({'P16860', 'P25788', 'IL4'})"
"frozenset({'Q8TCJ0', 'P25705', 'IL4'})"
"frozenset({'P22681', 'P04259', 'IL4'})"
"frozenset({'Q494R4', 'IL4', 'Q7Z6G3'})"
"frozenset({'Q9Y5P6', 'Q9NWY4', 'IL4'})"
"frozenset({'Q96JN0', 'IL4', 'P10275'})"
"frozenset({'Q8TD10', 'Q8WWY3', 'IL4'})"
"frozenset({'P60880', 'Q16623', 'IL4'})"
"frozenset({'Q9HBH0', 'Q9NY12', 'IL4'})"
"frozenset({'Q9UNE7', 'O00141', 'IL4'})"
"frozenset({'Q9Y5B9', 'Q9BVW5', 'IL4'})"
"frozenset({'Q15057', 'P31150', 'IL4'})"
"frozenset({'Q5T619', 'IL4', 'Q3KQV3'})"
"frozenset({'Q4LEZ3', 'Q16623', 'IL4'})"
"frozenset({'P01116', 'P20936', 'IL4'})"
"frozenset({'IL4', 'P00533', 'Q13561'})"
"frozenset({'P50454', 'O96008', 'IL4'})"
"frozenset({'Q14103', 'P26368', 'IL4'})"
"frozenset({'P78347', 'Q16633', 'IL4'})"
"frozenset({'P27815', 'Q09472', 'IL4'})"
"frozenset({'P12273', 'Q9UHP3', 'IL4'})"
"frozenset({'P50222', 'Q8IYS8', 'IL4'})"
"frozenset({'Q9BTZ2', 'Q9BZE1', 'IL4'})"
"frozenset({'P36894', 'IL4', 'P08238'})"
"frozenset({'Q96DB2', 'IL4', 'Q8WXH0'})"
"frozenset({'P11142', 'Q70EL3', 'IL4'})"
"frozenset({'Q92997', 'IL4', 'P46531'})"
"frozenset({'P35548', 'IL4', 'Q9UNP9'})"
"frozenset({'P16104', 'IL4', 'Q99986'})"
"frozenset({'P23258', 'IL4', 'P61254'})"
"frozenset({'P09455', 'P01106', 'IL4'})"
"frozenset({'IL4', 'Q6S8J3', 'Q9UJM3'})"
"frozenset({'IL4', 'P00533', 'Q5T7W7'})"
"frozenset({'P43686', 'IL4', 'Q9HCE7'})"
"frozenset({'Q9UGN5', 'P54652', 'IL4'})"
"frozenset({'P45984', 'P35236', 'IL4'})"
"frozenset({'O43896', 'P30307', 'IL4'})"
"frozenset({'P78347', 'Q9UBP6', 'IL4'})"
"frozenset({'Q86UP2', 'IL4', 'P05412'})"
"frozenset({'P62854', 'IL4', 'P08238'})"
"frozenset({'Q01094', 'IL4', 'P06493'})"
"frozenset({'P61221', 'O75695', 'IL4'})"
"frozenset({'P07585', 'P01375', 'IL4'})"
"frozenset({'P63215', 'O43741', 'IL4'})"
"frozenset({'Q9UJT9', 'O15392', 'IL4'})"
"frozenset({'P25788', 'P49721', 'IL4'})"
"frozenset({'Q9UL03', 'IL4', 'O15121'})"
"frozenset({'Q9HB07', 'IL4', 'Q3LXA3'})"
"frozenset({'Q8WYR1', 'IL4', 'Q92633'})"
"frozenset({'Q96QD8', 'Q6NUS6', 'IL4'})"
"frozenset({'P14618', 'Q13164', 'IL4'})"
"frozenset({'P22681', 'IL4', 'P43405'})"
"frozenset({'P36873', 'IL4', 'Q6NXS1'})"
"frozenset({'P03372', 'P51991', 'IL4'})"
"frozenset({'Q9NP84', 'IL4', 'Q9BYR6'})"
"frozenset({'P62873', 'Q8NH01', 'IL4'})"
"frozenset({'Q9Y5U9', 'Q15717', 'IL4'})"
"frozenset({'P01023', 'O14773', 'IL4'})"
"frozenset({'O60271', 'IL4', 'P30291'})"
"frozenset({'Q5TA82', 'IL4', 'P26371'})"
"frozenset({'P50402', 'Q01844', 'IL4'})"
"frozenset({'Q8TEL6', 'Q16531', 'IL4'})"
"frozenset({'A0JLT2', 'Q8WYP5', 'IL4'})"
"frozenset({'P09913', 'P09914', 'IL4'})"
"frozenset({'Q5MNZ6', 'P05067', 'IL4'})"
"frozenset({'IL4', 'O75147', 'Q92522'})"
"frozenset({'P62140', 'Q8WUF5', 'IL4'})"
"frozenset({'P11441', 'P62244', 'IL4'})"
"frozenset({'Q9NXR7', 'P61956', 'IL4'})"
"frozenset({'Q8N6Y0', 'IL4', 'Q7Z6G3'})"
"frozenset({'O00471', 'Q5PSV4', 'IL4'})"
"frozenset({'P29400', 'IL4', 'P04183'})"
"frozenset({'P09001', 'Q96DV4', 'IL4'})"
"frozenset({'Q96GM5', 'IL4', 'Q00994'})"
"frozenset({'P68363', 'Q96H55', 'IL4'})"
"frozenset({'Q9BVK6', 'Q9Y265', 'IL4'})"
"frozenset({'P61247', 'IL4', 'O43889'})"
"frozenset({'Q86X02', 'IL4', 'Q16670'})"
"frozenset({'IL4', 'Q9NQ50', 'Q9BYR8'})"
"frozenset({'P40429', 'Q02878', 'IL4'})"
"frozenset({'P27694', 'P51946', 'IL4'})"
"frozenset({'P62241', 'P18077', 'IL4'})"
"frozenset({'Q9HC52', 'IL4', 'Q7L273'})"
"frozenset({'Q03252', 'IL4', 'O14593'})"
