negatives
"frozenset({'O14807', 'EGFR1', 'Q9P2W3'})"
"frozenset({'P67809', 'P68400', 'EGFR1'})"
"frozenset({'Q9UQ84', 'EGFR1', 'Q99708'})"
"frozenset({'Q8IVT5', 'Q15047', 'EGFR1'})"
"frozenset({'Q9NRC8', 'Q9Y4L1', 'EGFR1'})"
"frozenset({'Q9ULV4', 'EGFR1', 'B0YJ81'})"
"frozenset({'EGFR1', 'P28340', 'P27694'})"
"frozenset({'O60674', 'EGFR1', 'Q9UQC2'})"
"frozenset({'EGFR1', 'P49662', 'Q14203'})"
"frozenset({'Q9BSB4', 'P62714', 'EGFR1'})"
"frozenset({'Q9UQ80', 'EGFR1', 'Q13283'})"
"frozenset({'Q92598', 'EGFR1', 'Q9NVD7'})"
"frozenset({'P16298', 'Q13042', 'EGFR1'})"
"frozenset({'O15535', 'EGFR1', 'Q96LA8'})"
"frozenset({'Q03252', 'P49736', 'EGFR1'})"
"frozenset({'Q13535', 'EGFR1', 'Q9ULM3'})"
"frozenset({'P15559', 'P13612', 'EGFR1'})"
"frozenset({'Q93062', 'EGFR1', 'Q14D33'})"
"frozenset({'P83881', 'Q9Y3U8', 'EGFR1'})"
"frozenset({'Q16637', 'EGFR1', 'O60383'})"
"frozenset({'Q08345', 'EGFR1', 'Q9HC98'})"
"frozenset({'EGFR1', 'Q6L8H1', 'P50222'})"
"frozenset({'EGFR1', 'P57678', 'P49841'})"
"frozenset({'Q00987', 'EGFR1', 'Q9P1W9'})"
"frozenset({'P68363', 'EGFR1', 'Q04837'})"
"frozenset({'Q9H0C1', 'EGFR1', 'Q92748'})"
"frozenset({'EGFR1', 'P46777', 'P36915'})"
"frozenset({'P10275', 'Q04864', 'EGFR1'})"
"frozenset({'P04629', 'EGFR1', 'Q9BT78'})"
"frozenset({'P41252', 'P01106', 'EGFR1'})"
"frozenset({'Q9ULV0', 'P38432', 'EGFR1'})"
"frozenset({'P01189', 'Q9NX04', 'EGFR1'})"
"frozenset({'Q14749', 'EGFR1', 'Q9NUX5'})"
"frozenset({'Q92838', 'Q96F15', 'EGFR1'})"
"frozenset({'Q96BR9', 'EGFR1', 'P07947'})"
"frozenset({'Q8TEX9', 'P24588', 'EGFR1'})"
"frozenset({'P05412', 'Q96KR1', 'EGFR1'})"
"frozenset({'Q8NCR3', 'P0DP24', 'EGFR1'})"
"frozenset({'P08779', 'EGFR1', 'Q9NSB4'})"
"frozenset({'P63098', 'Q13255', 'EGFR1'})"
"frozenset({'Q96L14', 'EGFR1', 'Q8WXI7'})"
"frozenset({'Q14697', 'Q13177', 'EGFR1'})"
"frozenset({'P61244', 'O14686', 'EGFR1'})"
"frozenset({'Q8IWL3', 'Q15005', 'EGFR1'})"
"frozenset({'Q6P1J9', 'P05556', 'EGFR1'})"
"frozenset({'P51451', 'EGFR1', 'O14543'})"
"frozenset({'P04899', 'P32302', 'EGFR1'})"
"frozenset({'Q14191', 'Q9Y5B9', 'EGFR1'})"
"frozenset({'Q92504', 'Q2MV58', 'EGFR1'})"
"frozenset({'Q99459', 'Q9H211', 'EGFR1'})"
"frozenset({'O75489', 'EGFR1', 'P03905'})"
"frozenset({'O95363', 'Q6A162', 'EGFR1'})"
"frozenset({'Q9HBE4', 'EGFR1', 'Q8N6P7'})"
"frozenset({'Q96SB4', 'Q9HCE5', 'EGFR1'})"
"frozenset({'O95714', 'EGFR1', 'P16422'})"
"frozenset({'P22607', 'EGFR1', 'Q9Y5W9'})"
"frozenset({'Q15051', 'EGFR1', 'O14810'})"
"frozenset({'P42166', 'EGFR1', 'A0JLT2'})"
"frozenset({'P49406', 'Q9HD33', 'EGFR1'})"
"frozenset({'Q96N21', 'P12268', 'EGFR1'})"
"frozenset({'Q96MM3', 'P46734', 'EGFR1'})"
"frozenset({'Q9NZ43', 'EGFR1', 'P50222'})"
"frozenset({'Q9UGF6', 'EGFR1', 'O60262'})"
"frozenset({'Q99623', 'Q9Y4E8', 'EGFR1'})"
"frozenset({'Q92769', 'EGFR1', 'Q00013'})"
"frozenset({'Q96SB4', 'EGFR1', 'Q96FA3'})"
"frozenset({'P62805', 'EGFR1', 'Q9Y468'})"
"frozenset({'P62487', 'P52434', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9H668', 'Q9NUX5'})"
"frozenset({'Q9UJM8', 'EGFR1', 'Q9Y295'})"
"frozenset({'Q9BV73', 'P68371', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9UNH7', 'P03372'})"
"frozenset({'Q9UBN7', 'P06241', 'EGFR1'})"
"frozenset({'Q8WXI2', 'P04049', 'EGFR1'})"
"frozenset({'Q4U2R6', 'Q96A35', 'EGFR1'})"
"frozenset({'P59768', 'EGFR1', 'Q13698'})"
"frozenset({'P48547', 'EGFR1', 'Q8TAE7'})"
"frozenset({'Q15303', 'EGFR1', 'Q92569'})"
"frozenset({'EGFR1', 'Q7L1Q6', 'Q13573'})"
"frozenset({'Q13557', 'EGFR1', 'Q12968'})"
"frozenset({'EGFR1', 'Q92569', 'Q96SW2'})"
"frozenset({'Q86VP6', 'EGFR1', 'P02533'})"
"frozenset({'Q13509', 'P06748', 'EGFR1'})"
"frozenset({'Q9UMR2', 'EGFR1', 'Q9NUX5'})"
"frozenset({'P63010', 'EGFR1', 'Q00610'})"
"frozenset({'Q92878', 'EGFR1', 'Q8NCX0'})"
"frozenset({'P42766', 'EGFR1', 'Q9Y5S2'})"
"frozenset({'Q8NEA9', 'EGFR1', 'Q96GT9'})"
"frozenset({'Q86UE8', 'EGFR1', 'Q9NVP2'})"
"frozenset({'Q8WVZ9', 'O00411', 'EGFR1'})"
"frozenset({'Q5HYK3', 'Q9UBU9', 'EGFR1'})"
"frozenset({'Q99594', 'P36402', 'EGFR1'})"
"frozenset({'Q8TCG2', 'Q9NXC2', 'EGFR1'})"
"frozenset({'Q9UL18', 'EGFR1', 'P04637'})"
"frozenset({'P25025', 'P63092', 'EGFR1'})"
"frozenset({'Q9C086', 'EGFR1', 'Q9NVV9'})"
"frozenset({'Q8NH76', 'P35626', 'EGFR1'})"
"frozenset({'P55157', 'EGFR1', 'Q9Y2H0'})"
"frozenset({'O95273', 'EGFR1', 'Q5TEC3'})"
"frozenset({'Q15048', 'Q15369', 'EGFR1'})"
"frozenset({'EGFR1', 'P06858', 'P98164'})"
"frozenset({'EGFR1', 'O75367', 'P53778'})"
"frozenset({'Q14241', 'EGFR1', 'P61218'})"
"frozenset({'P14317', 'P13569', 'EGFR1'})"
"frozenset({'EGFR1', 'Q70CQ3', 'Q96PU8'})"
"frozenset({'Q13330', 'EGFR1', 'Q16576'})"
"frozenset({'Q16666', 'EGFR1', 'Q9UKB1'})"
"frozenset({'P15313', 'P61421', 'EGFR1'})"
"frozenset({'P0C5Y9', 'EGFR1', 'Q93079'})"
"frozenset({'P62987', 'EGFR1', 'P36405'})"
"frozenset({'P62191', 'P51665', 'EGFR1'})"
"frozenset({'Q9BRR0', 'P57086', 'EGFR1'})"
"frozenset({'Q9Y5W3', 'EGFR1', 'P18146'})"
"frozenset({'O00329', 'P22681', 'EGFR1'})"
"frozenset({'Q9H714', 'Q9UJM3', 'EGFR1'})"
"frozenset({'P22061', 'P60520', 'EGFR1'})"
"frozenset({'Q8N988', 'P46108', 'EGFR1'})"
"frozenset({'P48431', 'Q12929', 'EGFR1'})"
"frozenset({'EGFR1', 'Q66K89', 'P60372'})"
"frozenset({'P48960', 'P12931', 'EGFR1'})"
"frozenset({'P11161', 'P13686', 'EGFR1'})"
"frozenset({'Q6ZNE5', 'EGFR1', 'Q9UMW8'})"
"frozenset({'Q9NPE2', 'EGFR1', 'O95900'})"
"frozenset({'P62079', 'EGFR1', 'Q9BVK2'})"
"frozenset({'Q14191', 'EGFR1', 'P35244'})"
"frozenset({'Q96BP2', 'EGFR1', 'Q14197'})"
"frozenset({'Q5VSY0', 'EGFR1', 'Q8TBK6'})"
"frozenset({'Q9Y673', 'Q92838', 'EGFR1'})"
"frozenset({'P12956', 'Q13111', 'EGFR1'})"
"frozenset({'Q99689', 'EGFR1', 'P07237'})"
"frozenset({'P68871', 'EGFR1', 'P21860'})"
"frozenset({'P48431', 'EGFR1', 'Q86YP4'})"
"frozenset({'Q92564', 'EGFR1', 'Q13472'})"
"frozenset({'P11217', 'Q9BYV6', 'EGFR1'})"
"frozenset({'Q9Y5M8', 'EGFR1', 'P09110'})"
"frozenset({'P50876', 'Q16254', 'EGFR1'})"
"frozenset({'Q9NVP1', 'EGFR1', 'Q9NW13'})"
"frozenset({'Q9P0L0', 'EGFR1', 'Q9BZ71'})"
"frozenset({'Q99728', 'EGFR1', 'Q96I25'})"
"frozenset({'Q92831', 'EGFR1', 'P04637'})"
"frozenset({'EGFR1', 'P50336', 'Q14103'})"
"frozenset({'P35998', 'EGFR1', 'P19838'})"
"frozenset({'Q92769', 'P04629', 'EGFR1'})"
"frozenset({'P10301', 'P50151', 'EGFR1'})"
"frozenset({'Q01105', 'EGFR1', 'P63000'})"
"frozenset({'Q04637', 'Q13112', 'EGFR1'})"
"frozenset({'P62873', 'P19878', 'EGFR1'})"
"frozenset({'Q9Y5A9', 'EGFR1', 'Q7L2J0'})"
"frozenset({'O60684', 'EGFR1', 'P52739'})"
"frozenset({'EGFR1', 'O75582', 'P27694'})"
"frozenset({'P05067', 'EGFR1', 'Q96N77'})"
"frozenset({'O14519', 'EGFR1', 'P04075'})"
"frozenset({'Q15154', 'EGFR1', 'Q6P1N0'})"
"frozenset({'O60264', 'EGFR1', 'Q92922'})"
"frozenset({'P0DP25', 'P41586', 'EGFR1'})"
"frozenset({'O00422', 'EGFR1', 'Q15287'})"
"frozenset({'Q9NV88', 'EGFR1', 'Q96LK0'})"
"frozenset({'O15198', 'EGFR1', 'Q9Y5J3'})"
"frozenset({'Q06418', 'Q6A162', 'EGFR1'})"
"frozenset({'Q14790', 'Q13404', 'EGFR1'})"
"frozenset({'Q9Y580', 'EGFR1', 'Q96CN4'})"
"frozenset({'P78344', 'EGFR1', 'Q14152'})"
"frozenset({'Q9BSY9', 'Q15717', 'EGFR1'})"
"frozenset({'P60953', 'P11274', 'EGFR1'})"
"frozenset({'O95257', 'EGFR1', 'Q15910'})"
"frozenset({'Q9HBE5', 'P05231', 'EGFR1'})"
"frozenset({'P62244', 'P62987', 'EGFR1'})"
"frozenset({'Q9HC62', 'EGFR1', 'O14640'})"
"frozenset({'P63208', 'EGFR1', 'Q8NEZ5'})"
"frozenset({'Q5VWQ8', 'Q969H0', 'EGFR1'})"
"frozenset({'EGFR1', 'P48549', 'Q9UK08'})"
"frozenset({'Q15170', 'EGFR1', 'Q06124'})"
"frozenset({'Q8N5R6', 'Q9BZW7', 'EGFR1'})"
"frozenset({'P01588', 'EGFR1', 'P24394'})"
"frozenset({'O15392', 'EGFR1', 'P42574'})"
"frozenset({'Q9UJV9', 'EGFR1', 'Q6UN15'})"
"frozenset({'O95298', 'Q9Y6M9', 'EGFR1'})"
"frozenset({'P32121', 'P61254', 'EGFR1'})"
"frozenset({'Q9ULV5', 'EGFR1', 'O43809'})"
"frozenset({'P22736', 'EGFR1', 'P00367'})"
"frozenset({'O75427', 'P60409', 'EGFR1'})"
"frozenset({'P51452', 'EGFR1', 'P43403'})"
"frozenset({'Q96M98', 'EGFR1', 'Q71U36'})"
"frozenset({'Q9NQ38', 'EGFR1', 'P49862'})"
"frozenset({'Q5MIZ7', 'P46379', 'EGFR1'})"
"frozenset({'O43566', 'Q92730', 'EGFR1'})"
"frozenset({'EGFR1', 'P61073', 'Q13724'})"
"frozenset({'P16401', 'Q00839', 'EGFR1'})"
"frozenset({'Q9Y2X3', 'EGFR1', 'P18124'})"
"frozenset({'Q9Y250', 'EGFR1', 'Q7Z3I7'})"
"frozenset({'Q13257', 'EGFR1', 'Q12834'})"
"frozenset({'P62857', 'P62993', 'EGFR1'})"
"frozenset({'Q96IP4', 'EGFR1', 'Q16557'})"
"frozenset({'P11217', 'Q8NFD5', 'EGFR1'})"
"frozenset({'Q5S007', 'EGFR1', 'P41220'})"
"frozenset({'Q8N2Q7', 'Q8WUW1', 'EGFR1'})"
"frozenset({'A0AVT1', 'Q9NWV4', 'EGFR1'})"
"frozenset({'Q10586', 'EGFR1', 'P55209'})"
"frozenset({'O14802', 'EGFR1', 'Q9H1D9'})"
"frozenset({'Q86VF5', 'P05067', 'EGFR1'})"
"frozenset({'Q9Y263', 'P49411', 'EGFR1'})"
"frozenset({'Q9H0W5', 'EGFR1', 'O60645'})"
"frozenset({'Q6IF42', 'EGFR1', 'O60262'})"
"frozenset({'EGFR1', 'Q07020', 'P60866'})"
"frozenset({'P04350', 'EGFR1', 'P25445'})"
"frozenset({'EGFR1', 'Q14032', 'Q9UHC1'})"
"frozenset({'Q14683', 'EGFR1', 'Q9NP77'})"
"frozenset({'EGFR1', 'Q9NRD5', 'P98172'})"
"frozenset({'P11021', 'P04049', 'EGFR1'})"
"frozenset({'EGFR1', 'Q14315', 'O95379'})"
"frozenset({'O75794', 'EGFR1', 'P04792'})"
"frozenset({'Q13748', 'EGFR1', 'P63104'})"
"frozenset({'Q92851', 'EGFR1', 'P50591'})"
"frozenset({'EGFR1', 'Q8IZH2', 'P45973'})"
"frozenset({'EGFR1', 'Q5VVQ6', 'Q9NWF9'})"
"frozenset({'Q6IBS0', 'EGFR1', 'P52565'})"
"frozenset({'P27348', 'Q9UDY2', 'EGFR1'})"
"frozenset({'P52434', 'EGFR1', 'Q9P1U0'})"
"frozenset({'Q15654', 'Q8WTR4', 'EGFR1'})"
"frozenset({'Q9H944', 'EGFR1', 'P62308'})"
"frozenset({'Q9H4M3', 'EGFR1', 'Q7L5N1'})"
"frozenset({'O60503', 'EGFR1', 'Q13555'})"
"frozenset({'EGFR1', 'Q04206', 'Q9H2C0'})"
"frozenset({'Q9H0R8', 'Q8IXH6', 'EGFR1'})"
"frozenset({'EGFR1', 'P60410', 'Q5T7P2'})"
"frozenset({'Q9BYD2', 'Q9NVS2', 'EGFR1'})"
"frozenset({'Q86XR8', 'Q13813', 'EGFR1'})"
"frozenset({'P07099', 'EGFR1', 'O43291'})"
"frozenset({'O96014', 'EGFR1', 'Q9H461'})"
"frozenset({'Q96JA3', 'EGFR1', 'Q96GX5'})"
"frozenset({'Q02156', 'Q9H9S0', 'EGFR1'})"
"frozenset({'Q03135', 'P36894', 'EGFR1'})"
"frozenset({'P49750', 'O00213', 'EGFR1'})"
"frozenset({'Q71SY5', 'Q5T200', 'EGFR1'})"
"frozenset({'P35221', 'EGFR1', 'P56962'})"
"frozenset({'Q9Y2I1', 'P35568', 'EGFR1'})"
"frozenset({'Q9H4Z3', 'P51948', 'EGFR1'})"
"frozenset({'Q8NHY2', 'Q92905', 'EGFR1'})"
"frozenset({'Q6NUN9', 'EGFR1', 'Q9NW13'})"
"frozenset({'O75558', 'Q0D2H9', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9HBI1', 'Q13573'})"
"frozenset({'EGFR1', 'P25106', 'P48061'})"
"frozenset({'Q68DD2', 'P28482', 'EGFR1'})"
"frozenset({'P32246', 'P78423', 'EGFR1'})"
"frozenset({'EGFR1', 'P50402', 'Q8WWI1'})"
"frozenset({'P51148', 'Q9H0W5', 'EGFR1'})"
"frozenset({'EGFR1', 'P17538', 'Q9UL42'})"
"frozenset({'Q99459', 'P53999', 'EGFR1'})"
"frozenset({'P07738', 'Q00341', 'EGFR1'})"
"frozenset({'P57052', 'Q15365', 'EGFR1'})"
"frozenset({'Q3LI66', 'EGFR1', 'Q8NEC5'})"
"frozenset({'Q86Y07', 'Q13418', 'EGFR1'})"
"frozenset({'Q6PI77', 'P25800', 'EGFR1'})"
"frozenset({'EGFR1', 'Q07955', 'P03372'})"
"frozenset({'O00584', 'EGFR1', 'Q14554'})"
"frozenset({'P12980', 'EGFR1', 'Q9UKT5'})"
"frozenset({'Q8N7B6', 'EGFR1', 'Q92569'})"
"frozenset({'Q9UNA3', 'EGFR1', 'Q96S16'})"
"frozenset({'Q9BQE5', 'Q6PL24', 'EGFR1'})"
"frozenset({'Q8TC76', 'EGFR1', 'Q9UQC2'})"
"frozenset({'O75147', 'EGFR1', 'Q7KZ85'})"
"frozenset({'O75486', 'EGFR1', 'Q9NVC6'})"
"frozenset({'Q969S6', 'Q96BA8', 'EGFR1'})"
"frozenset({'Q9NU53', 'Q8IZA0', 'EGFR1'})"
"frozenset({'Q9UBC2', 'EGFR1', 'Q92538'})"
"frozenset({'Q0VDF9', 'EGFR1', 'Q9H816'})"
"frozenset({'P56706', 'Q6P988', 'EGFR1'})"
"frozenset({'P78362', 'EGFR1', 'Q96T58'})"
"frozenset({'P01909', 'EGFR1', 'Q99962'})"
"frozenset({'P35232', 'O95793', 'EGFR1'})"
"frozenset({'P57772', 'EGFR1', 'P60866'})"
"frozenset({'Q92542', 'Q96T76', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9BSJ8', 'Q6DD88'})"
"frozenset({'Q8N682', 'P05067', 'EGFR1'})"
"frozenset({'Q9NY65', 'EGFR1', 'Q9BTZ2'})"
"frozenset({'P68366', 'Q53FE4', 'EGFR1'})"
"frozenset({'P12956', 'EGFR1', 'P10644'})"
"frozenset({'O75526', 'P60520', 'EGFR1'})"
"frozenset({'O15111', 'Q9BXL7', 'EGFR1'})"
"frozenset({'Q6K0P9', 'P13010', 'EGFR1'})"
"frozenset({'P48382', 'O14593', 'EGFR1'})"
"frozenset({'Q5S007', 'Q5JTV8', 'EGFR1'})"
"frozenset({'Q9NS91', 'P49459', 'EGFR1'})"
"frozenset({'Q8NDX5', 'EGFR1', 'Q8WTU0'})"
"frozenset({'Q9NZC7', 'EGFR1', 'Q9C0J8'})"
"frozenset({'P51948', 'EGFR1', 'O75604'})"
"frozenset({'P05067', 'EGFR1', 'Q06187'})"
"frozenset({'EGFR1', 'Q15843', 'P05387'})"
"frozenset({'Q8IY67', 'EGFR1', 'O14980'})"
"frozenset({'Q9BSJ6', 'EGFR1', 'Q8NHQ1'})"
"frozenset({'O95863', 'EGFR1', 'Q15910'})"
"frozenset({'P13929', 'EGFR1', 'O60229'})"
"frozenset({'Q00839', 'O75683', 'EGFR1'})"
"frozenset({'Q9NRC8', 'P22087', 'EGFR1'})"
"frozenset({'P43360', 'Q9H0N5', 'EGFR1'})"
"frozenset({'O00560', 'EGFR1', 'Q8NHU0'})"
"frozenset({'EGFR1', 'Q8WYP5', 'O14498'})"
"frozenset({'P12931', 'EGFR1', 'P08887'})"
"frozenset({'P27635', 'P60520', 'EGFR1'})"
"frozenset({'Q15906', 'P49715', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9UBE8', 'Q14974'})"
"frozenset({'EGFR1', 'P08581', 'O75159'})"
"frozenset({'P46109', 'EGFR1', 'Q9Y4F3'})"
"frozenset({'Q02156', 'P04049', 'EGFR1'})"
"frozenset({'P08069', 'EGFR1', 'P11308'})"
"frozenset({'O43633', 'EGFR1', 'Q9NVD7'})"
"frozenset({'P19320', 'EGFR1', 'Q96AE4'})"
"frozenset({'P33992', 'EGFR1', 'P12273'})"
"frozenset({'P32246', 'O95715', 'EGFR1'})"
"frozenset({'EGFR1', 'Q14789', 'P12830'})"
"frozenset({'Q16082', 'P42765', 'EGFR1'})"
"frozenset({'P13569', 'Q96RT1', 'EGFR1'})"
"frozenset({'EGFR1', 'P12757', 'Q9UPN9'})"
"frozenset({'O76021', 'Q14999', 'EGFR1'})"
"frozenset({'O95149', 'EGFR1', 'Q9P2G9'})"
"frozenset({'Q9NZD8', 'EGFR1', 'Q9HAV7'})"
"frozenset({'Q9NX02', 'EGFR1', 'O14773'})"
"frozenset({'Q9UKS7', 'O75182', 'EGFR1'})"
"frozenset({'P06396', 'Q86VW0', 'EGFR1'})"
"frozenset({'P49354', 'EGFR1', 'P52735'})"
"frozenset({'Q8NBZ7', 'EGFR1', 'P30466'})"
"frozenset({'P18564', 'P21333', 'EGFR1'})"
"frozenset({'P0DMV8', 'EGFR1', 'Q9BXL5'})"
"frozenset({'P35626', 'EGFR1', 'Q8NG84'})"
"frozenset({'EGFR1', 'P23511', 'P24522'})"
"frozenset({'P12821', 'EGFR1', 'P30411'})"
"frozenset({'EGFR1', 'Q16695', 'O14965'})"
"frozenset({'Q99569', 'EGFR1', 'Q14574'})"
"frozenset({'P50416', 'EGFR1', 'P51149'})"
"frozenset({'Q9BYE7', 'EGFR1', 'Q06587'})"
"frozenset({'Q9NPG2', 'O75955', 'EGFR1'})"
"frozenset({'O00186', 'EGFR1', 'Q5BJF2'})"
"frozenset({'Q9HCN6', 'EGFR1', 'P0DP25'})"
"frozenset({'P04629', 'EGFR1', 'Q9UPN9'})"
"frozenset({'P62312', 'Q13148', 'EGFR1'})"
"frozenset({'Q96CV9', 'EGFR1', 'Q9UJX2'})"
"frozenset({'Q3KQU3', 'Q86WU2', 'EGFR1'})"
"frozenset({'Q9ULW3', 'Q8IY81', 'EGFR1'})"
"frozenset({'P31942', 'Q9UJV9', 'EGFR1'})"
"frozenset({'O94763', 'Q8IXW5', 'EGFR1'})"
"frozenset({'O94973', 'O95782', 'EGFR1'})"
"frozenset({'Q6IQ23', 'EGFR1', 'Q9BV38'})"
"frozenset({'P62891', 'P62987', 'EGFR1'})"
"frozenset({'Q86UL3', 'Q8IWL3', 'EGFR1'})"
"frozenset({'Q6PD62', 'EGFR1', 'P19388'})"
"frozenset({'P49736', 'EGFR1', 'P0C0S5'})"
"frozenset({'Q16637', 'EGFR1', 'P04637'})"
"frozenset({'Q99714', 'EGFR1', 'Q8WZA2'})"
"frozenset({'Q9HA38', 'O75569', 'EGFR1'})"
"frozenset({'O75530', 'EGFR1', 'Q13619'})"
"frozenset({'P13569', 'EGFR1', 'P40879'})"
"frozenset({'P06493', 'EGFR1', 'P19525'})"
"frozenset({'O00214', 'Q8IWT6', 'EGFR1'})"
"frozenset({'Q13895', 'EGFR1', 'Q92841'})"
"frozenset({'P20645', 'EGFR1', 'P61513'})"
"frozenset({'Q5T8I3', 'EGFR1', 'Q00013'})"
"frozenset({'Q15435', 'Q9UD71', 'EGFR1'})"
"frozenset({'Q96MU7', 'EGFR1', 'Q14974'})"
"frozenset({'Q9UPT9', 'EGFR1', 'O15259'})"
"frozenset({'Q16891', 'EGFR1', 'P51617'})"
"frozenset({'Q8N960', 'EGFR1', 'O43303'})"
"frozenset({'Q01844', 'EGFR1', 'P09972'})"
"frozenset({'P22607', 'Q9ULV8', 'EGFR1'})"
"frozenset({'Q96BD5', 'P08571', 'EGFR1'})"
"frozenset({'P48643', 'EGFR1', 'Q9NRD1'})"
"frozenset({'Q9BXR0', 'P24941', 'EGFR1'})"
"frozenset({'Q9BQE3', 'P27708', 'EGFR1'})"
"frozenset({'O43541', 'P42025', 'EGFR1'})"
"frozenset({'P57078', 'Q9BSJ2', 'EGFR1'})"
"frozenset({'Q8TAQ2', 'P32121', 'EGFR1'})"
