negatives
"frozenset({'Q6NUK4', 'P31947', 'Notch'})"
"frozenset({'Notch', 'Q5W5X9', 'Q8N137'})"
"frozenset({'Notch', 'Q02548', 'Q17RB8'})"
"frozenset({'Notch', 'Q2KHN1', 'Q9ULW3'})"
"frozenset({'Notch', 'Q9UKM9', 'Q9BZS1'})"
"frozenset({'Notch', 'P27695', 'P52926'})"
"frozenset({'Notch', 'P32780', 'Q00765'})"
"frozenset({'Q8NB46', 'Q7L9L4', 'Notch'})"
"frozenset({'Q13111', 'Q96LI5', 'Notch'})"
"frozenset({'Notch', 'Q99728', 'P03372'})"
"frozenset({'Q9UBQ0', 'O60826', 'Notch'})"
"frozenset({'Notch', 'P01106', 'Q96MG8'})"
"frozenset({'Notch', 'Q16513', 'P05060'})"
"frozenset({'Notch', 'Q9NZB2', 'Q96RG2'})"
"frozenset({'Notch', 'O95777', 'Q96GC5'})"
"frozenset({'Notch', 'P61019', 'Q8NFB2'})"
"frozenset({'Notch', 'Q15717', 'P26368'})"
"frozenset({'Q13233', 'Notch', 'Q9Y6K9'})"
"frozenset({'Notch', 'Q9BT78', 'Q7L5N1'})"
"frozenset({'Notch', 'Q9Y6H1', 'P36542'})"
"frozenset({'Notch', 'Q9Y2M5', 'Q2VPK5'})"
"frozenset({'Notch', 'Q13671', 'Q8IX06'})"
"frozenset({'Notch', 'P60328', 'Q15560'})"
"frozenset({'P17612', 'Q86Y39', 'Notch'})"
"frozenset({'Notch', 'O43924', 'Q92905'})"
"frozenset({'Notch', 'P37173', 'Q93074'})"
"frozenset({'P22626', 'Q9Y5L4', 'Notch'})"
"frozenset({'Notch', 'A1XBS5', 'Q9Y3M2'})"
"frozenset({'Notch', 'Q03933', 'O75521'})"
"frozenset({'Notch', 'P36894', 'Q7Z5Y6'})"
"frozenset({'Notch', 'P15248', 'Q13424'})"
"frozenset({'Notch', 'P84996', 'Q99615'})"
"frozenset({'Notch', 'O00233', 'P61289'})"
"frozenset({'Notch', 'Q86VP6', 'Q9H9Y6'})"
"frozenset({'Notch', 'Q92560', 'P03372'})"
"frozenset({'Notch', 'Q13237', 'Q9NPA1'})"
"frozenset({'Notch', 'O75436', 'P84243'})"
"frozenset({'Notch', 'Q9H788', 'P07948'})"
"frozenset({'Q9Y6X4', 'P02647', 'Notch'})"
"frozenset({'Q14839', 'Notch', 'P03372'})"
"frozenset({'P61764', 'Notch', 'Q0VDD7'})"
"frozenset({'Q03135', 'P35354', 'Notch'})"
"frozenset({'Notch', 'Q9Y5W8', 'Q14994'})"
"frozenset({'Notch', 'Q9BY77', 'Q13769'})"
"frozenset({'Notch', 'Q86WV1', 'O95248'})"
"frozenset({'Notch', 'Q08050', 'P49450'})"
"frozenset({'Notch', 'Q9H6Z9', 'Q5JTC6'})"
"frozenset({'Notch', 'Q13200', 'Q14190'})"
"frozenset({'Notch', 'Q9P2W3', 'Q2I0M5'})"
"frozenset({'Notch', 'P35998', 'Q13573'})"
"frozenset({'Notch', 'P37198', 'Q7Z3B3'})"
"frozenset({'Q14203', 'Notch', 'Q9BTE1'})"
"frozenset({'Notch', 'P05067', 'P62945'})"
"frozenset({'Q9UKJ5', 'Notch', 'P80188'})"
"frozenset({'Notch', 'Q00005', 'P62241'})"
"frozenset({'Notch', 'P06493', 'Q96IF1'})"
"frozenset({'Notch', 'P60228', 'P09914'})"
"frozenset({'Notch', 'P22314', 'P0CG12'})"
"frozenset({'Notch', 'P07942', 'Q14118'})"
"frozenset({'Notch', 'P13929', 'P33316'})"
"frozenset({'Notch', 'Q9NUL3', 'Q00839'})"
"frozenset({'Notch', 'P42345', 'O60939'})"
"frozenset({'P25789', 'Notch', 'Q01844'})"
"frozenset({'Notch', 'Q15831', 'P57059'})"
"frozenset({'Notch', 'P62308', 'O95400'})"
"frozenset({'Notch', 'P25098', 'Q8NGS4'})"
"frozenset({'Notch', 'Q96T60', 'O60749'})"
"frozenset({'Q92614', 'P21333', 'Notch'})"
"frozenset({'Notch', 'Q9Y3E0', 'O75348'})"
"frozenset({'Notch', 'Q969S3', 'Q14680'})"
"frozenset({'Notch', 'P28223', 'P07948'})"
"frozenset({'Notch', 'O43909', 'Q6AZY7'})"
"frozenset({'Notch', 'Q8WZ74', 'P43364'})"
"frozenset({'Notch', 'Q9Y295', 'Q13573'})"
"frozenset({'Notch', 'Q9Y6H3', 'Q8NFH5'})"
"frozenset({'Notch', 'Q13573', 'Q9BVQ7'})"
"frozenset({'Notch', 'Q9Y3E0', 'P16615'})"
"frozenset({'P60763', 'Notch', 'Q5JSL3'})"
"frozenset({'Notch', 'Q96SI1', 'Q15554'})"
"frozenset({'Notch', 'Q9BWW4', 'P61968'})"
"frozenset({'Notch', 'Q03112', 'P43246'})"
"frozenset({'Notch', 'P31947', 'P49736'})"
"frozenset({'P53778', 'P43403', 'Notch'})"
"frozenset({'Notch', 'P52209', 'Q9Y478'})"
"frozenset({'O00571', 'Q9BUV8', 'Notch'})"
"frozenset({'Notch', 'O75907', 'P48169'})"
"frozenset({'O95817', 'Notch', 'Q6IBS0'})"
"frozenset({'Notch', 'Q16659', 'Q9NVX0'})"
"frozenset({'Notch', 'P68036', 'Q15788'})"
"frozenset({'Notch', 'Q6PIY7', 'Q9H9S0'})"
"frozenset({'Notch', 'Q6L8G8', 'O14633'})"
"frozenset({'P05412', 'Notch', 'Q567U6'})"
"frozenset({'Notch', 'Q8TDN6', 'Q9UGY1'})"
"frozenset({'Notch', 'Q96FX7', 'Q96QK1'})"
"frozenset({'Q7L273', 'Notch', 'Q96D03'})"
"frozenset({'Q15067', 'P52815', 'Notch'})"
"frozenset({'Notch', 'Q96RR4', 'P46934'})"
"frozenset({'P67870', 'Notch', 'Q13547'})"
"frozenset({'Notch', 'Q13435', 'O43542'})"
"frozenset({'Notch', 'Q9UQM7', 'Q92793'})"
"frozenset({'Notch', 'O95295', 'P24043'})"
"frozenset({'P46940', 'O14974', 'Notch'})"
"frozenset({'Notch', 'P62263', 'P08708'})"
"frozenset({'Notch', 'Q9NXC5', 'Q8WTX7'})"
"frozenset({'Notch', 'Q99816', 'Q86VN1'})"
"frozenset({'Q9GZQ8', 'Notch', 'O95433'})"
"frozenset({'Notch', 'Q9UPQ9', 'O75694'})"
"frozenset({'Notch', 'Q16659', 'P0DP25'})"
"frozenset({'Notch', 'Q15464', 'Q13094'})"
"frozenset({'Notch', 'P06396', 'P35080'})"
"frozenset({'Notch', 'Q16512', 'Q15759'})"
"frozenset({'Notch', 'P0C853', 'Q8TCT0'})"
"frozenset({'Notch', 'P35226', 'Q02539'})"
"frozenset({'Q04695', 'Q8NC67', 'Notch'})"
"frozenset({'P26599', 'Q53S58', 'Notch'})"
"frozenset({'Notch', 'P49736', 'P06753'})"
"frozenset({'Notch', 'P48729', 'Q96A00'})"
"frozenset({'Q9Y580', 'Q14562', 'Notch'})"
"frozenset({'Notch', 'P62805', 'Q9BY41'})"
"frozenset({'Notch', 'Q14008', 'P84243'})"
"frozenset({'Notch', 'Q9UKV8', 'O75306'})"
"frozenset({'Q9H4B4', 'Notch', 'Q9Y4Y9'})"
"frozenset({'Notch', 'Q16778', 'P51610'})"
"frozenset({'Notch', 'Q9H0W5', 'P14866'})"
"frozenset({'Notch', 'P35244', 'P19532'})"
"frozenset({'Notch', 'O15496', 'O60336'})"
"frozenset({'Notch', 'P11712', 'P41235'})"
"frozenset({'P61006', 'P51149', 'Notch'})"
"frozenset({'Notch', 'Q00013', 'P04921'})"
"frozenset({'Notch', 'Q14416', 'O60262'})"
"frozenset({'Notch', 'P06748', 'P63165'})"
"frozenset({'Notch', 'Q7Z736', 'O14595'})"
"frozenset({'Notch', 'P60410', 'Q9BQ24'})"
"frozenset({'Notch', 'Q09472', 'Q9UL17'})"
"frozenset({'Notch', 'O75593', 'Q9H583'})"
"frozenset({'Notch', 'Q8N5I9', 'P51813'})"
"frozenset({'Notch', 'Q14999', 'Q9NYL9'})"
"frozenset({'Notch', 'P14784', 'O14543'})"
"frozenset({'Notch', 'O15294', 'Q9UH92'})"
"frozenset({'Notch', 'Q9NQL9', 'Q9ULX6'})"
"frozenset({'Notch', 'Q9P287', 'P24941'})"
"frozenset({'Q9UBQ0', 'Q9Y266', 'Notch'})"
"frozenset({'Notch', 'Q9NVX2', 'Q9NU22'})"
"frozenset({'Notch', 'Q9Y297', 'P62324'})"
"frozenset({'Notch', 'Q86V48', 'Q9NQX4'})"
"frozenset({'Notch', 'P31939', 'P26368'})"
"frozenset({'P37108', 'Notch', 'Q9H0R8'})"
"frozenset({'Notch', 'O15061', 'P27986'})"
"frozenset({'Notch', 'Q6UUV9', 'O14980'})"
"frozenset({'Notch', 'Q9NZJ0', 'P38936'})"
"frozenset({'O00571', 'P06493', 'Notch'})"
"frozenset({'Notch', 'Q71U36', 'P14923'})"
"frozenset({'Notch', 'Q5TD97', 'P38432'})"
"frozenset({'Notch', 'P00533', 'P13232'})"
"frozenset({'Notch', 'Q9C009', 'P12830'})"
"frozenset({'Notch', 'O75541', 'Q96GN5'})"
"frozenset({'Notch', 'Q6SZW1', 'O43187'})"
"frozenset({'Notch', 'Q9H488', 'P16104'})"
"frozenset({'Notch', 'P04637', 'P50454'})"
"frozenset({'Notch', 'Q00987', 'Q13315'})"
"frozenset({'Notch', 'P35241', 'Q08J23'})"
"frozenset({'Notch', 'P30740', 'Q9NRD1'})"
"frozenset({'Notch', 'Q8WUX9', 'Q9GZL7'})"
"frozenset({'Q6NUS6', 'Notch', 'P00387'})"
"frozenset({'Notch', 'P17661', 'P55084'})"
"frozenset({'Notch', 'Q15545', 'P53999'})"
"frozenset({'Notch', 'P40227', 'O75381'})"
"frozenset({'Notch', 'O43291', 'Q9Y6J9'})"
"frozenset({'Notch', 'P38398', 'P12980'})"
"frozenset({'Notch', 'P49366', 'O15131'})"
"frozenset({'O95155', 'Q96S82', 'Notch'})"
"frozenset({'Notch', 'Q8IU54', 'P31785'})"
"frozenset({'Q6UY14', 'Notch', 'O75716'})"
"frozenset({'Notch', 'Q16531', 'P07498'})"
"frozenset({'Notch', 'P10720', 'P32302'})"
"frozenset({'Notch', 'A8MQ03', 'Q14162'})"
"frozenset({'Notch', 'P05067', 'Q6NVV7'})"
"frozenset({'Q92752', 'Q13683', 'Notch'})"
"frozenset({'P57078', 'P18754', 'Notch'})"
"frozenset({'Notch', 'P29590', 'Q9BZE0'})"
"frozenset({'Notch', 'Q9H6T3', 'Q9Y4R8'})"
"frozenset({'Notch', 'P18827', 'Q15113'})"
"frozenset({'Notch', 'Q9UPR3', 'Q9BY41'})"
"frozenset({'Notch', 'P49736', 'Q02413'})"
"frozenset({'Notch', 'Q9HCE7', 'Q96KG9'})"
"frozenset({'Notch', 'Q15404', 'Q9BV86'})"
"frozenset({'Notch', 'P59998', 'Q8WXB1'})"
"frozenset({'Notch', 'Q8WX92', 'P03372'})"
"frozenset({'Notch', 'Q8TCT1', 'P78371'})"
"frozenset({'Notch', 'P18077', 'P32121'})"
"frozenset({'Notch', 'Q14191', 'P78527'})"
"frozenset({'Notch', 'Q86V81', 'Q01844'})"
"frozenset({'Notch', 'P00519', 'Q13087'})"
"frozenset({'Notch', 'O75152', 'O60493'})"
"frozenset({'Notch', 'P34897', 'Q5TKA1'})"
"frozenset({'Notch', 'Q9UI10', 'Q99571'})"
"frozenset({'Notch', 'Q99973', 'P58753'})"
"frozenset({'Notch', 'Q9BVK8', 'Q9UKG4'})"
"frozenset({'P55773', 'P51677', 'Notch'})"
"frozenset({'Notch', 'O95714', 'P46020'})"
"frozenset({'Notch', 'P16949', 'Q96J94'})"
"frozenset({'Notch', 'P07099', 'P23511'})"
"frozenset({'Notch', 'P25024', 'Q9NRJ3'})"
"frozenset({'Q99954', 'Q8IUC2', 'Notch'})"
"frozenset({'Notch', 'Q9UKL0', 'Q5VZL5'})"
"frozenset({'P48651', 'Q6VAB6', 'Notch'})"
"frozenset({'Notch', 'Q16670', 'Q8WZA9'})"
"frozenset({'P51955', 'Notch', 'O15360'})"
"frozenset({'Notch', 'Q9BUQ8', 'O43390'})"
"frozenset({'Notch', 'Q9Y597', 'Q9UQB8'})"
"frozenset({'P35269', 'P61218', 'Notch'})"
"frozenset({'Q8IUE6', 'Q5QNW6', 'Notch'})"
"frozenset({'Notch', 'Q92922', 'Q14839'})"
"frozenset({'Notch', 'O75791', 'Q9NRM7'})"
"frozenset({'P62750', 'Notch', 'P40337'})"
"frozenset({'Q92569', 'P16333', 'Notch'})"
"frozenset({'Notch', 'Q9BUV0', 'P49760'})"
"frozenset({'Notch', 'P56524', 'Q6W2J9'})"
"frozenset({'Notch', 'P52895', 'O60493'})"
"frozenset({'Notch', 'Q9UKE5', 'Q9NX58'})"
"frozenset({'Notch', 'P10244', 'Q96GY3'})"
"frozenset({'Notch', 'Q53EL6', 'Q15418'})"
"frozenset({'Notch', 'O94782', 'Q9BUV0'})"
"frozenset({'Notch', 'Q86XK2', 'Q92905'})"
"frozenset({'Q9Y2Y6', 'Notch', 'P54709'})"
"frozenset({'Notch', 'Q9UKL0', 'Q9NY46'})"
"frozenset({'Notch', 'Q86X19', 'P52799'})"
"frozenset({'Notch', 'Q96EF6', 'Q9UNS2'})"
"frozenset({'Notch', 'Q96Q05', 'Q9Y2J4'})"
"frozenset({'Q8NBJ4', 'Q15303', 'Notch'})"
"frozenset({'Notch', 'P11233', 'P53779'})"
"frozenset({'Notch', 'Q7Z2E3', 'P18887'})"
"frozenset({'Notch', 'P62979', 'P28562'})"
"frozenset({'Notch', 'Q96HN2', 'Q9Y4K3'})"
"frozenset({'Notch', 'Q12834', 'Q6ZW49'})"
"frozenset({'Q9UPQ0', 'Q5BJF6', 'Notch'})"
"frozenset({'Q96T76', 'Notch', 'Q9HBM1'})"
"frozenset({'Notch', 'Q9BXS1', 'Q5HYJ3'})"
"frozenset({'Notch', 'Q5T7P8', 'O15182'})"
"frozenset({'Notch', 'P47755', 'P61160'})"
"frozenset({'Q8NGM9', 'O95817', 'Notch'})"
"frozenset({'Notch', 'O43186', 'O60260'})"
"frozenset({'Notch', 'P10451', 'P0DP23'})"
"frozenset({'Notch', 'Q7Z3B3', 'Q14562'})"
"frozenset({'P40763', 'Notch', 'P49137'})"
"frozenset({'Notch', 'Q99877', 'Q9H040'})"
"frozenset({'Q01860', 'Q3ZCM7', 'Notch'})"
"frozenset({'P61981', 'Notch', 'Q9UBF8'})"
"frozenset({'Notch', 'Q9HCE1', 'P49588'})"
"frozenset({'Notch', 'O15355', 'P67809'})"
"frozenset({'Q17R89', 'Notch', 'Q15599'})"
"frozenset({'P28482', 'P23467', 'Notch'})"
"frozenset({'Notch', 'Q96F10', 'Q16665'})"
"frozenset({'Notch', 'Q9Y535', 'Q9NW08'})"
"frozenset({'Q6P1J9', 'O14949', 'Notch'})"
"frozenset({'Notch', 'Q99700', 'P04629'})"
"frozenset({'Notch', 'Q5T9A4', 'P43307'})"
"frozenset({'Notch', 'Q9UBU9', 'Q8WXW3'})"
"frozenset({'Notch', 'Q96EG3', 'Q5TZK3'})"
"frozenset({'Notch', 'Q9Y2Z4', 'O95900'})"
"frozenset({'Notch', 'P07910', 'Q8NFW5'})"
"frozenset({'Notch', 'P57739', 'Q16625'})"
"frozenset({'Notch', 'Q4V328', 'Q5VIR6'})"
"frozenset({'Notch', 'P08571', 'P28698'})"
"frozenset({'Notch', 'Q9Y679', 'P41143'})"
"frozenset({'O60664', 'Notch', 'Q9H0U4'})"
"frozenset({'Notch', 'Q9HCE1', 'Q9UPT9'})"
"frozenset({'Notch', 'O95630', 'Q92783'})"
"frozenset({'Notch', 'P11142', 'Q13315'})"
"frozenset({'Notch', 'Q00839', 'Q9H6S0'})"
"frozenset({'P49238', 'P34947', 'Notch'})"
"frozenset({'O00571', 'O75821', 'Notch'})"
"frozenset({'Notch', 'O14990', 'P62136'})"
"frozenset({'Notch', 'Q9UBW8', 'Q9Y4E8'})"
"frozenset({'Notch', 'P11171', 'Q9BRA2'})"
"frozenset({'Notch', 'Q9H596', 'P41220'})"
"frozenset({'P54619', 'Q6VAB6', 'Notch'})"
"frozenset({'Notch', 'P31751', 'Q00005'})"
"frozenset({'Notch', 'P25490', 'Q9BYQ3'})"
"frozenset({'Notch', 'P49716', 'P20292'})"
"frozenset({'Notch', 'Q9UHX1', 'Q92905'})"
"frozenset({'Notch', 'Q15759', 'O00418'})"
"frozenset({'Q14106', 'Notch', 'Q9UIV1'})"
"frozenset({'Notch', 'Q9UGM1', 'Q96AG4'})"
"frozenset({'Notch', 'Q14687', 'Q8TEW6'})"
"frozenset({'P51449', 'Q8WYA1', 'Notch'})"
"frozenset({'Notch', 'O14979', 'O43390'})"
"frozenset({'Notch', 'Q8N7W2', 'Q86V42'})"
"frozenset({'P67870', 'Q9H5J8', 'Notch'})"
"frozenset({'Notch', 'P15311', 'P04629'})"
"frozenset({'Notch', 'Q9UKM9', 'Q9H9Z2'})"
"frozenset({'Notch', 'P60709', 'P49450'})"
"frozenset({'Notch', 'Q9Y297', 'Q01664'})"
"frozenset({'Notch', 'Q03431', 'P49407'})"
"frozenset({'Notch', 'Q8N5A5', 'Q96GN5'})"
"frozenset({'Notch', 'P12956', 'Q00610'})"
"frozenset({'Notch', 'P10914', 'Q9Y4K3'})"
"frozenset({'Notch', 'P49411', 'Q13620'})"
"frozenset({'Notch', 'Q14532', 'O43790'})"
"frozenset({'O43639', 'Q99704', 'Notch'})"
"frozenset({'Notch', 'P62241', 'Q8TED0'})"
"frozenset({'P57078', 'Q63ZY3', 'Notch'})"
"frozenset({'Notch', 'P40925', 'Q9NYB0'})"
"frozenset({'Notch', 'P30154', 'Q9BXT2'})"
"frozenset({'Notch', 'P53621', 'O95793'})"
"frozenset({'Notch', 'P59991', 'Q9UF72'})"
"frozenset({'Notch', 'O43829', 'Q00536'})"
"frozenset({'Notch', 'O75925', 'P49841'})"
"frozenset({'P52333', 'Q96PU4', 'Notch'})"
"frozenset({'P02686', 'Notch', 'O15264'})"
"frozenset({'Q86SZ2', 'Q8NBJ4', 'Notch'})"
"frozenset({'Notch', 'Q00839', 'P79522'})"
"frozenset({'Notch', 'P14635', 'O95793'})"
"frozenset({'Q9NRW1', 'P50222', 'Notch'})"
"frozenset({'Notch', 'Q16630', 'Q9NYG5'})"
"frozenset({'Notch', 'O43921', 'P21802'})"
"frozenset({'O94766', 'Notch', 'P04035'})"
"frozenset({'Notch', 'P15927', 'Q86UK7'})"
"frozenset({'Q13402', 'Q9HBM0', 'Notch'})"
"frozenset({'Notch', 'Q13123', 'Q9Y5B9'})"
"frozenset({'Q9UBN7', 'Q8TAM1', 'Notch'})"
"frozenset({'Notch', 'O75528', 'O75558'})"
"frozenset({'O95292', 'Notch', 'P50402'})"
"frozenset({'Notch', 'Q99729', 'Q9UJV9'})"
"frozenset({'O96017', 'Notch', 'O43684'})"
"frozenset({'Q96GX1', 'Notch', 'Q96KC8'})"
"frozenset({'Q8IUC1', 'Q63HR2', 'Notch'})"
"frozenset({'O15335', 'P53708', 'Notch'})"
"frozenset({'Notch', 'Q15672', 'Q09472'})"
"frozenset({'Notch', 'P28702', 'P43354'})"
"frozenset({'Notch', 'O76081', 'O15269'})"
"frozenset({'Notch', 'P17252', 'Q13522'})"
"frozenset({'Notch', 'P49591', 'P01106'})"
"frozenset({'Notch', 'Q5TA78', 'Q9BYQ0'})"
"frozenset({'Notch', 'Q13077', 'Q12933'})"
"frozenset({'Notch', 'P20674', 'P40337'})"
"frozenset({'Notch', 'Q92786', 'P62508'})"
"frozenset({'Q9BZV1', 'Q9UHB6', 'Notch'})"
"frozenset({'O00571', 'Notch', 'Q96KM6'})"
"frozenset({'Notch', 'Q9NVR5', 'P10636'})"
"frozenset({'Notch', 'P57086', 'Q13137'})"
"frozenset({'Notch', 'Q15022', 'Q9ULX6'})"
"frozenset({'Notch', 'Q9P2W9', 'Q13190'})"
"frozenset({'P52848', 'Notch', 'Q16635'})"
"frozenset({'Q99933', 'Notch', 'P25788'})"
"frozenset({'Notch', 'P62491', 'Q00610'})"
"frozenset({'Notch', 'Q9H0W5', 'Q14318'})"
"frozenset({'Notch', 'P07910', 'P04141'})"
"frozenset({'Notch', 'Q9HAV0', 'P21554'})"
"frozenset({'O94874', 'Q9H0W5', 'Notch'})"
"frozenset({'Notch', 'Q16082', 'P17482'})"
"frozenset({'Notch', 'Q9HAT2', 'Q9NZ08'})"
"frozenset({'Notch', 'Q6STE5', 'P63261'})"
"frozenset({'Notch', 'Q9ULH1', 'P27986'})"
"frozenset({'Q14152', 'Notch', 'O75147'})"
"frozenset({'Notch', 'Q00526', 'Q13451'})"
"frozenset({'Notch', 'Q15738', 'Q86X19'})"
"frozenset({'P08621', 'Q15554', 'Notch'})"
"frozenset({'P14373', 'Q00987', 'Notch'})"
"frozenset({'Notch', 'P62304', 'Q6P2Q9'})"
"frozenset({'Q14152', 'Notch', 'P04629'})"
"frozenset({'Notch', 'Q8NE01', 'Q9NRD1'})"
"frozenset({'Notch', 'P55265', 'Q06330'})"
"frozenset({'Notch', 'Q99880', 'Q9P0M6'})"
"frozenset({'Q9BX97', 'Notch', 'P35916'})"
"frozenset({'Notch', 'Q9Y624', 'O14936'})"
"frozenset({'P57078', 'Q9BZF1', 'Notch'})"
"frozenset({'Notch', 'Q92994', 'Q13315'})"
"frozenset({'Notch', 'Q7KZI7', 'P56524'})"
"frozenset({'Notch', 'P83731', 'P63220'})"
"frozenset({'Q9Y3B2', 'P62701', 'Notch'})"
"frozenset({'Notch', 'P49336', 'P51946'})"
"frozenset({'P22528', 'Q969R5', 'Notch'})"
"frozenset({'P05362', 'Notch', 'P61247'})"
"frozenset({'Q86UE8', 'Notch', 'Q9UPM6'})"
"frozenset({'Notch', 'Q96PC3', 'Q6PD74'})"
"frozenset({'Notch', 'Q9HB75', 'Q99750'})"
"frozenset({'Notch', 'Q6P1L8', 'Q9BYD2'})"
"frozenset({'Notch', 'Q5TAP6', 'P40222'})"
"frozenset({'Notch', 'P18827', 'P14210'})"
"frozenset({'Notch', 'Q9BQA1', 'P14678'})"
"frozenset({'Notch', 'P54687', 'Q5T3J3'})"
"frozenset({'Notch', 'Q02750', 'Q9Y297'})"
"frozenset({'Notch', 'Q9NR30', 'Q9NZC7'})"
