negatives
"frozenset({'Q8IWR0', 'Q13153', 'BCR'})"
"frozenset({'BCR', 'Q8WXR4', 'Q92731'})"
"frozenset({'P07900', 'BCR', 'Q96ME1'})"
"frozenset({'BCR', 'P54652', 'Q13043'})"
"frozenset({'Q8HWS3', 'BCR', 'P78337'})"
"frozenset({'BCR', 'P52272', 'Q8TEK3'})"
"frozenset({'BCR', 'Q96CW5', 'P62851'})"
"frozenset({'BCR', 'P22736', 'P28482'})"
"frozenset({'BCR', 'O60504', 'Q9UI12'})"
"frozenset({'BCR', 'Q99961', 'Q9UQ16'})"
"frozenset({'P25963', 'P19438', 'BCR'})"
"frozenset({'Q92841', 'BCR', 'O95166'})"
"frozenset({'BCR', 'Q8N0Z3', 'Q13011'})"
"frozenset({'BCR', 'P22626', 'Q13509'})"
"frozenset({'P49841', 'P15692', 'BCR'})"
"frozenset({'Q9NWK9', 'BCR', 'Q15796'})"
"frozenset({'P55209', 'BCR', 'P35228'})"
"frozenset({'O14497', 'BCR', 'P03372'})"
"frozenset({'P08243', 'BCR', 'Q9H788'})"
"frozenset({'BCR', 'Q12816', 'Q13643'})"
"frozenset({'BCR', 'Q02539', 'Q9BVI4'})"
"frozenset({'O43166', 'BCR', 'Q8WUI4'})"
"frozenset({'Q9NQ55', 'BCR', 'Q99496'})"
"frozenset({'O95816', 'BCR', 'Q9Y297'})"
"frozenset({'Q9BSD7', 'BCR', 'Q8IZL9'})"
"frozenset({'P04406', 'P35754', 'BCR'})"
"frozenset({'BCR', 'P62937', 'Q9BTM1'})"
"frozenset({'Q6A162', 'BCR', 'P26441'})"
"frozenset({'BCR', 'P04278', 'Q15155'})"
"frozenset({'BCR', 'Q13568', 'O14920'})"
"frozenset({'P52294', 'BCR', 'Q9H814'})"
"frozenset({'P22105', 'P18564', 'BCR'})"
"frozenset({'BCR', 'P15172', 'P51532'})"
"frozenset({'Q9H0W5', 'BCR', 'P13804'})"
"frozenset({'P26373', 'P46777', 'BCR'})"
"frozenset({'BCR', 'P55212', 'P06400'})"
"frozenset({'BCR', 'Q13616', 'O75934'})"
"frozenset({'O60266', 'BCR', 'Q13554'})"
"frozenset({'O43896', 'BCR', 'Q5TCZ1'})"
"frozenset({'O94782', 'BCR', 'O60346'})"
"frozenset({'BCR', 'F7VJQ1', 'Q9ULX3'})"
"frozenset({'BCR', 'O94988', 'P12004'})"
"frozenset({'BCR', 'Q15831', 'Q9H9S4'})"
"frozenset({'P28223', 'BCR', 'Q7Z6G8'})"
"frozenset({'P68431', 'BCR', 'O94776'})"
"frozenset({'BCR', 'O60941', 'Q9GZM8'})"
"frozenset({'Q9UQ80', 'BCR', 'P62750'})"
"frozenset({'BCR', 'Q6NSJ2', 'Q96NL6'})"
"frozenset({'BCR', 'Q99877', 'Q9NVP2'})"
"frozenset({'BCR', 'Q9ULV0', 'Q12982'})"
"frozenset({'BCR', 'Q96BP2', 'O43847'})"
"frozenset({'Q5T7P3', 'BCR', 'Q9BYR9'})"
"frozenset({'O60812', 'BCR', 'Q66GS9'})"
"frozenset({'Q12906', 'Q9UBU9', 'BCR'})"
"frozenset({'BCR', 'Q9UMN6', 'P18146'})"
"frozenset({'P54253', 'BCR', 'O00339'})"
"frozenset({'BCR', 'Q8TEK3', 'Q13415'})"
"frozenset({'O14737', 'BCR', 'Q00987'})"
"frozenset({'BCR', 'P60329', 'Q9UF72'})"
"frozenset({'BCR', 'P05067', 'P09001'})"
"frozenset({'Q9NY65', 'BCR', 'P60033'})"
"frozenset({'BCR', 'Q9BYR3', 'Q9BYS1'})"
"frozenset({'BCR', 'P49591', 'P24941'})"
"frozenset({'P22612', 'Q8NGP6', 'BCR'})"
"frozenset({'P08754', 'BCR', 'P30411'})"
"frozenset({'BCR', 'Q969Y2', 'Q9NP50'})"
"frozenset({'BCR', 'Q9NYY1', 'P16871'})"
"frozenset({'P25942', 'BCR', 'P12956'})"
"frozenset({'BCR', 'P16473', 'Q71U36'})"
"frozenset({'BCR', 'Q7Z444', 'P12980'})"
"frozenset({'BCR', 'Q15672', 'Q9NQR1'})"
"frozenset({'Q93034', 'BCR', 'Q96M94'})"
"frozenset({'P56192', 'BCR', 'P49368'})"
"frozenset({'Q6IF63', 'BCR', 'P62873'})"
"frozenset({'Q92947', 'Q16740', 'BCR'})"
"frozenset({'O60262', 'BCR', 'Q8NGA8'})"
"frozenset({'BCR', 'P12004', 'Q07617'})"
"frozenset({'Q15654', 'Q6UY14', 'BCR'})"
"frozenset({'O95865', 'BCR', 'P05026'})"
"frozenset({'Q9HCK5', 'BCR', 'O14735'})"
"frozenset({'P49736', 'BCR', 'P05388'})"
"frozenset({'BCR', 'P51684', 'P51671'})"
"frozenset({'Q9BY43', 'BCR', 'O75874'})"
"frozenset({'P62826', 'BCR', 'Q99496'})"
"frozenset({'Q9NVR2', 'Q9UL03', 'BCR'})"
"frozenset({'BCR', 'Q01130', 'Q99523'})"
"frozenset({'BCR', 'Q07020', 'P08865'})"
"frozenset({'Q9NP92', 'BCR', 'Q8N983'})"
"frozenset({'Q15291', 'BCR', 'Q16778'})"
"frozenset({'BCR', 'O60826', 'Q14258'})"
"frozenset({'BCR', 'P12931', 'Q16595'})"
"frozenset({'BCR', 'Q96IK5', 'P20936'})"
"frozenset({'BCR', 'Q15056', 'O95433'})"
"frozenset({'BCR', 'Q7Z2T5', 'Q99986'})"
"frozenset({'BCR', 'A6NHR9', 'O15294'})"
"frozenset({'BCR', 'Q12834', 'O95071'})"
"frozenset({'BCR', 'P05067', 'Q96S59'})"
"frozenset({'P38936', 'P84022', 'BCR'})"
"frozenset({'BCR', 'P61019', 'P40337'})"
"frozenset({'Q13501', 'P58004', 'BCR'})"
"frozenset({'Q13435', 'BCR', 'Q14999'})"
"frozenset({'BCR', 'P11473', 'P01854'})"
"frozenset({'BCR', 'Q6P597', 'Q8N6Y0'})"
"frozenset({'BCR', 'Q8WXX7', 'Q96PK6'})"
"frozenset({'BCR', 'Q6ZRS2', 'P10275'})"
"frozenset({'BCR', 'P11226', 'P0DI81'})"
"frozenset({'P10415', 'BCR', 'P09668'})"
"frozenset({'BCR', 'Q9BW71', 'Q9UHX1'})"
"frozenset({'P51857', 'BCR', 'O60218'})"
"frozenset({'BCR', 'Q92993', 'Q9H2G9'})"
"frozenset({'BCR', 'Q01543', 'P63279'})"
"frozenset({'Q2MV58', 'BCR', 'Q9P0I2'})"
"frozenset({'Q9HCS4', 'BCR', 'Q13363'})"
"frozenset({'BCR', 'O95848', 'Q9NYB0'})"
"frozenset({'Q53ET0', 'BCR', 'P31749'})"
"frozenset({'BCR', 'Q9NR09', 'P55211'})"
"frozenset({'P20585', 'O60921', 'BCR'})"
"frozenset({'BCR', 'Q15427', 'O43639'})"
"frozenset({'P15018', 'P78552', 'BCR'})"
"frozenset({'O15379', 'BCR', 'Q9UKV0'})"
"frozenset({'Q9UJV9', 'BCR', 'P62318'})"
"frozenset({'P06734', 'BCR', 'P42226'})"
"frozenset({'Q9Y478', 'Q15831', 'BCR'})"
"frozenset({'BCR', 'P62258', 'O60825'})"
"frozenset({'BCR', 'Q02386', 'P45973'})"
"frozenset({'BCR', 'Q96S53', 'Q08AD1'})"
"frozenset({'BCR', 'P16234', 'O14745'})"
"frozenset({'BCR', 'Q08050', 'Q13438'})"
"frozenset({'Q8IZ73', 'BCR', 'P29083'})"
"frozenset({'Q05397', 'P49747', 'BCR'})"
"frozenset({'BCR', 'P06241', 'P16333'})"
"frozenset({'P84022', 'BCR', 'P01106'})"
"frozenset({'BCR', 'P04629', 'P51659'})"
"frozenset({'O95747', 'BCR', 'Q969Z4'})"
"frozenset({'Q9H334', 'P18754', 'BCR'})"
"frozenset({'BCR', 'Q15717', 'P09958'})"
"frozenset({'P49917', 'BCR', 'Q99829'})"
"frozenset({'BCR', 'P61160', 'P42768'})"
"frozenset({'BCR', 'Q15233', 'P63279'})"
"frozenset({'BCR', 'Q5JU00', 'Q9P2D0'})"
"frozenset({'Q9BXW9', 'BCR', 'Q13352'})"
"frozenset({'BCR', 'Q8N8Q3', 'Q13371'})"
"frozenset({'Q8N3R9', 'BCR', 'Q12933'})"
"frozenset({'BCR', 'O14508', 'P26951'})"
"frozenset({'Q9NZT1', 'BCR', 'Q8IU85'})"
"frozenset({'Q05397', 'BCR', 'P16234'})"
"frozenset({'Q7Z3S9', 'BCR', 'Q9BZE9'})"
"frozenset({'P21246', 'BCR', 'P18827'})"
"frozenset({'Q96NZ1', 'P54253', 'BCR'})"
"frozenset({'Q9NQ94', 'BCR', 'Q16610'})"
"frozenset({'BCR', 'O60343', 'Q9NTJ3'})"
"frozenset({'BCR', 'O75843', 'O60341'})"
"frozenset({'BCR', 'P08047', 'P22301'})"
"frozenset({'BCR', 'P46783', 'Q86VP6'})"
"frozenset({'BCR', 'P14780', 'P08123'})"
"frozenset({'BCR', 'P46940', 'O00459'})"
"frozenset({'BCR', 'Q9BW83', 'Q8N4P2'})"
"frozenset({'BCR', 'P62140', 'O60391'})"
"frozenset({'P00519', 'BCR', 'P29350'})"
"frozenset({'Q9BSW2', 'BCR', 'Q8IX06'})"
"frozenset({'Q8WZ42', 'P0DMV9', 'BCR'})"
"frozenset({'BCR', 'P05067', 'Q14790'})"
"frozenset({'BCR', 'P32246', 'Q8WTQ7'})"
"frozenset({'Q9NWB6', 'BCR', 'Q15717'})"
"frozenset({'P27361', 'BCR', 'Q96FF9'})"
"frozenset({'BCR', 'P13646', 'Q8IYX8'})"
"frozenset({'P80370', 'BCR', 'Q16625'})"
"frozenset({'Q13105', 'BCR', 'P43358'})"
"frozenset({'BCR', 'P51843', 'P61201'})"
"frozenset({'BCR', 'P51970', 'Q9UI09'})"
"frozenset({'Q7LBR1', 'BCR', 'Q9Y448'})"
"frozenset({'P47755', 'BCR', 'P42566'})"
"frozenset({'BCR', 'Q9C0K0', 'P45973'})"
"frozenset({'BCR', 'Q96KM6', 'Q9Y283'})"
"frozenset({'BCR', 'Q9HC62', 'Q9UER7'})"
"frozenset({'BCR', 'Q9H5N1', 'P04150'})"
"frozenset({'O15379', 'BCR', 'Q06330'})"
"frozenset({'BCR', 'Q13618', 'Q09019'})"
"frozenset({'BCR', 'P22626', 'P00558'})"
"frozenset({'O75530', 'BCR', 'Q16385'})"
"frozenset({'O43353', 'BCR', 'O95999'})"
"frozenset({'Q9BXL8', 'BCR', 'Q8IVT5'})"
"frozenset({'Q96QK1', 'BCR', 'P01889'})"
"frozenset({'Q9NXC2', 'BCR', 'Q15149'})"
"frozenset({'BCR', 'P42566', 'P11142'})"
"frozenset({'Q9NZT1', 'BCR', 'Q9BW85'})"
"frozenset({'P26368', 'BCR', 'Q01130'})"
"frozenset({'Q8NGF9', 'BCR', 'P62873'})"
"frozenset({'Q7KZF4', 'BCR', 'P24928'})"
"frozenset({'P25963', 'BCR', 'Q8NBF6'})"
"frozenset({'BCR', 'Q9NSA1', 'Q13164'})"
"frozenset({'BCR', 'Q12834', 'P14635'})"
"frozenset({'BCR', 'P16949', 'O00151'})"
"frozenset({'BCR', 'P24928', 'Q9UPP1'})"
"frozenset({'BCR', 'Q8N137', 'P58546'})"
"frozenset({'BCR', 'Q15717', 'P11387'})"
"frozenset({'BCR', 'Q9BS18', 'Q9NZH5'})"
"frozenset({'BCR', 'Q9NYL9', 'Q9UHB6'})"
"frozenset({'BCR', 'Q9BYQ2', 'Q5TA78'})"
"frozenset({'O15382', 'Q9H0W9', 'BCR'})"
"frozenset({'P26373', 'BCR', 'P60033'})"
"frozenset({'Q8TC90', 'BCR', 'O15162'})"
"frozenset({'BCR', 'Q9Y6D5', 'Q13573'})"
"frozenset({'Q92569', 'P42702', 'BCR'})"
"frozenset({'P42766', 'BCR', 'Q9UL18'})"
"frozenset({'BCR', 'Q92614', 'P0DP25'})"
"frozenset({'BCR', 'P11473', 'P28482'})"
"frozenset({'BCR', 'Q15257', 'Q99832'})"
"frozenset({'BCR', 'P60953', 'P56181'})"
"frozenset({'BCR', 'P62241', 'P62244'})"
"frozenset({'BCR', 'O43776', 'Q07021'})"
"frozenset({'BCR', 'P62979', 'Q15303'})"
"frozenset({'BCR', 'P10145', 'O43765'})"
"frozenset({'Q14839', 'P07910', 'BCR'})"
"frozenset({'P61328', 'BCR', 'Q14524'})"
"frozenset({'P35232', 'Q9Y277', 'BCR'})"
"frozenset({'BCR', 'P13725', 'P40238'})"
"frozenset({'BCR', 'P56693', 'O75360'})"
"frozenset({'O43865', 'O95486', 'BCR'})"
"frozenset({'BCR', 'Q96RJ6', 'Q8IZU0'})"
"frozenset({'BCR', 'Q9P0N5', 'Q8N0U8'})"
"frozenset({'Q96A47', 'BCR', 'Q969G2'})"
"frozenset({'BCR', 'Q15418', 'P15586'})"
"frozenset({'BCR', 'P04626', 'Q9BU70'})"
"frozenset({'BCR', 'Q8WUB2', 'P43363'})"
"frozenset({'BCR', 'Q06609', 'O00257'})"
"frozenset({'BCR', 'Q99832', 'Q7Z6L1'})"
"frozenset({'P55209', 'BCR', 'P68400'})"
"frozenset({'BCR', 'Q96FW1', 'P49006'})"
"frozenset({'Q14164', 'BCR', 'Q04941'})"
"frozenset({'Q9BVN2', 'BCR', 'Q93062'})"
"frozenset({'BCR', 'Q96DX4', 'Q8IV13'})"
"frozenset({'BCR', 'Q8N6T7', 'P58340'})"
"frozenset({'Q96EZ8', 'BCR', 'P38398'})"
"frozenset({'BCR', 'Q9BUU2', 'P11142'})"
"frozenset({'O60260', 'BCR', 'P67936'})"
"frozenset({'Q15149', 'BCR', 'O95782'})"
"frozenset({'BCR', 'P32121', 'Q6P3W7'})"
"frozenset({'Q13277', 'BCR', 'O95229'})"
"frozenset({'P03372', 'BCR', 'Q04637'})"
"frozenset({'O76003', 'BCR', 'Q99759'})"
"frozenset({'BCR', 'Q92667', 'O75923'})"
"frozenset({'BCR', 'P54132', 'P51957'})"
"frozenset({'BCR', 'Q9Y3S2', 'P27918'})"
"frozenset({'BCR', 'Q9Y6K9', 'O75558'})"
"frozenset({'O76014', 'BCR', 'Q9BT17'})"
"frozenset({'O75935', 'BCR', 'Q8WVC0'})"
"frozenset({'P49736', 'BCR', 'O14880'})"
"frozenset({'BCR', 'Q16576', 'Q9P2Y4'})"
"frozenset({'BCR', 'O60880', 'O43699'})"
"frozenset({'O14730', 'BCR', 'Q7KZ85'})"
"frozenset({'BCR', 'Q01970', 'P17252'})"
"frozenset({'BCR', 'Q12770', 'P01106'})"
"frozenset({'BCR', 'Q147U7', 'Q96BR1'})"
"frozenset({'BCR', 'Q99496', 'P68363'})"
"frozenset({'BCR', 'P13805', 'Q9H5H4'})"
"frozenset({'Q9NRD1', 'BCR', 'O94905'})"
"frozenset({'BCR', 'P48454', 'P53805'})"
"frozenset({'Q92841', 'P63241', 'BCR'})"
"frozenset({'Q01668', 'BCR', 'Q8WUW1'})"
"frozenset({'BCR', 'Q8IWX8', 'Q15287'})"
"frozenset({'BCR', 'Q96D42', 'Q96H15'})"
"frozenset({'P15924', 'BCR', 'P49450'})"
"frozenset({'BCR', 'P15173', 'P51532'})"
"frozenset({'Q15262', 'BCR', 'Q9NY47'})"
"frozenset({'Q13651', 'BCR', 'Q86WN2'})"
"frozenset({'BCR', 'P08865', 'P62273'})"
"frozenset({'BCR', 'Q03989', 'Q8NAX2'})"
"frozenset({'Q9ULJ1', 'BCR', 'P01106'})"
"frozenset({'BCR', 'P02792', 'Q969P0'})"
"frozenset({'Q9C004', 'P22681', 'BCR'})"
"frozenset({'BCR', 'P0DP23', 'P25445'})"
"frozenset({'O75379', 'BCR', 'Q8N6L0'})"
"frozenset({'BCR', 'P63000', 'Q01968'})"
"frozenset({'BCR', 'Q07666', 'P38159'})"
"frozenset({'Q9UMY1', 'BCR', 'P27635'})"
"frozenset({'BCR', 'O00213', 'Q92945'})"
"frozenset({'BCR', 'Q8NCN4', 'O94906'})"
"frozenset({'Q5TA81', 'BCR', 'Q5T7P2'})"
"frozenset({'O75150', 'Q9GZS3', 'BCR'})"
"frozenset({'P09493', 'Q8WXA3', 'BCR'})"
"frozenset({'BCR', 'Q99496', 'P55211'})"
"frozenset({'BCR', 'P05783', 'Q15051'})"
"frozenset({'BCR', 'Q02641', 'Q13554'})"
"frozenset({'BCR', 'P19484', 'P09914'})"
"frozenset({'BCR', 'Q4LDR2', 'Q9H813'})"
"frozenset({'Q6A162', 'O75427', 'BCR'})"
"frozenset({'BCR', 'Q14999', 'Q14690'})"
"frozenset({'Q8TAP6', 'BCR', 'P43364'})"
"frozenset({'Q9Y5V3', 'BCR', 'O43189'})"
"frozenset({'BCR', 'P22694', 'Q6IFH4'})"
"frozenset({'Q13547', 'BCR', 'O43463'})"
"frozenset({'P11388', 'BCR', 'Q9H4L7'})"
"frozenset({'BCR', 'Q9NY97', 'P17655'})"
"frozenset({'BCR', 'Q8N4Q1', 'P55084'})"
"frozenset({'BCR', 'Q14204', 'Q09161'})"
"frozenset({'BCR', 'O75822', 'O00571'})"
"frozenset({'BCR', 'P46109', 'Q12931'})"
"frozenset({'P18754', 'BCR', 'Q16778'})"
"frozenset({'P17066', 'BCR', 'Q3MIX3'})"
"frozenset({'BCR', 'P68104', 'P60896'})"
"frozenset({'BCR', 'Q13618', 'Q9BWF3'})"
"frozenset({'BCR', 'O96006', 'P15090'})"
"frozenset({'Q96B26', 'Q16666', 'BCR'})"
"frozenset({'BCR', 'P01111', 'Q8N6M6'})"
"frozenset({'P31749', 'BCR', 'Q9Y3C5'})"
"frozenset({'Q96GD4', 'BCR', 'O43395'})"
"frozenset({'BCR', 'Q9Y2W1', 'Q9Y383'})"
"frozenset({'O43542', 'BCR', 'P31689'})"
"frozenset({'BCR', 'P09496', 'O75787'})"
"frozenset({'BCR', 'Q9Y3M8', 'Q07889'})"
"frozenset({'BCR', 'P27348', 'P27448'})"
"frozenset({'BCR', 'Q7L804', 'Q9ULR3'})"
"frozenset({'BCR', 'Q6R327', 'P46781'})"
"frozenset({'Q14676', 'BCR', 'Q16527'})"
"frozenset({'BCR', 'O43504', 'Q96ST3'})"
"frozenset({'Q14164', 'BCR', 'P55210'})"
"frozenset({'P0C7W6', 'BCR', 'Q13561'})"
"frozenset({'P32455', 'BCR', 'Q00978'})"
"frozenset({'P00533', 'BCR', 'P24385'})"
"frozenset({'BCR', 'P17612', 'Q8NGN3'})"
"frozenset({'Q13315', 'BCR', 'O14757'})"
"frozenset({'P15735', 'BCR', 'Q9NZT1'})"
"frozenset({'BCR', 'P05067', 'Q8NEY8'})"
"frozenset({'BCR', 'P17023', 'Q9HCM9'})"
"frozenset({'BCR', 'P07910', 'P32121'})"
"frozenset({'Q8WXI3', 'BCR', 'Q8N6T3'})"
"frozenset({'BCR', 'Q03164', 'Q14209'})"
"frozenset({'BCR', 'Q7L014', 'P04629'})"
"frozenset({'BCR', 'Q9Y446', 'P32926'})"
"frozenset({'Q86UP2', 'BCR', 'Q01850'})"
"frozenset({'BCR', 'P28065', 'P17980'})"
"frozenset({'P04792', 'BCR', 'Q8N9W8'})"
"frozenset({'BCR', 'Q16778', 'Q9Y6F1'})"
"frozenset({'O96028', 'BCR', 'P05067'})"
"frozenset({'BCR', 'Q96BY9', 'P19838'})"
"frozenset({'P55854', 'BCR', 'O15060'})"
"frozenset({'BCR', 'Q9UGP8', 'P11021'})"
"frozenset({'BCR', 'P35575', 'Q9Y261'})"
"frozenset({'P46063', 'BCR', 'P15311'})"
"frozenset({'BCR', 'Q8TDB6', 'P15927'})"
"frozenset({'P30622', 'BCR', 'P42345'})"
"frozenset({'P60411', 'BCR', 'Q7Z3S9'})"
"frozenset({'Q9H845', 'Q9C002', 'BCR'})"
"frozenset({'BCR', 'P30153', 'Q86W92'})"
"frozenset({'P78552', 'BCR', 'P01568'})"
"frozenset({'Q01094', 'BCR', 'P30281'})"
"frozenset({'BCR', 'P51965', 'Q9NVP2'})"
"frozenset({'P67870', 'BCR', 'Q8NDZ2'})"
"frozenset({'O43143', 'BCR', 'Q96I25'})"
"frozenset({'BCR', 'Q13595', 'Q96E29'})"
"frozenset({'BCR', 'P37108', 'Q99459'})"
"frozenset({'P49917', 'BCR', 'P63261'})"
"frozenset({'Q13535', 'Q92541', 'BCR'})"
"frozenset({'BCR', 'P25105', 'P50148'})"
"frozenset({'P06746', 'BCR', 'P25054'})"
"frozenset({'P04275', 'BCR', 'P07237'})"
"frozenset({'BCR', 'Q99665', 'Q8IZJ0'})"
"frozenset({'P21333', 'BCR', 'P07550'})"
"frozenset({'BCR', 'O94829', 'Q6RFH8'})"
"frozenset({'P24278', 'BCR', 'Q9BQD3'})"
"frozenset({'Q8IVD9', 'BCR', 'Q70CQ1'})"
"frozenset({'BCR', 'Q8IVH2', 'Q9BZS1'})"
"frozenset({'BCR', 'Q92542', 'O75475'})"
"frozenset({'BCR', 'Q6PJQ5', 'A8MYZ6'})"
"frozenset({'P05412', 'BCR', 'P35249'})"
"frozenset({'Q96RI0', 'P07477', 'BCR'})"
"frozenset({'BCR', 'Q9UFN0', 'Q9H2U2'})"
"frozenset({'Q92870', 'BCR', 'P05067'})"
"frozenset({'Q70EL1', 'BCR', 'Q8IV13'})"
"frozenset({'BCR', 'Q96HE7', 'Q96SL4'})"
"frozenset({'Q676U5', 'BCR', 'Q9HC29'})"
"frozenset({'BCR', 'Q9H2A9', 'Q07021'})"
"frozenset({'P61328', 'BCR', 'P17948'})"
"frozenset({'BCR', 'P22736', 'P31751'})"
"frozenset({'P06858', 'BCR', 'O75157'})"
"frozenset({'BCR', 'O00482', 'Q13227'})"
"frozenset({'BCR', 'P29279', 'Q9UGL1'})"
"frozenset({'P51813', 'O95163', 'BCR'})"
"frozenset({'Q15022', 'BCR', 'Q16531'})"
"frozenset({'BCR', 'P34998', 'Q03113'})"
"frozenset({'Q15751', 'BCR', 'B2RC85'})"
"frozenset({'Q15038', 'BCR', 'O43251'})"
"frozenset({'BCR', 'P55036', 'P35228'})"
"frozenset({'BCR', 'Q14197', 'P62269'})"
"frozenset({'P02686', 'Q9BUB5', 'BCR'})"
"frozenset({'BCR', 'Q96RK0', 'Q06547'})"
"frozenset({'BCR', 'Q15714', 'P08195'})"
"frozenset({'BCR', 'P35240', 'O14745'})"
"frozenset({'BCR', 'P13569', 'P04080'})"
"frozenset({'Q96PU5', 'BCR', 'Q96HD9'})"
"frozenset({'P07949', 'BCR', 'Q9Y6K9'})"
"frozenset({'BCR', 'P0DP23', 'P63104'})"
"frozenset({'BCR', 'P36776', 'Q9UL63'})"
"frozenset({'BCR', 'P49959', 'Q10586'})"
