negatives
"frozenset({'Q13285', 'IL6', 'P49675'})"
"frozenset({'O96017', 'IL6', 'Q15393'})"
"frozenset({'P02751', 'P67870', 'IL6'})"
"frozenset({'P68371', 'IL6', 'Q96NA2'})"
"frozenset({'IL6', 'Q504Q3', 'Q9NX63'})"
"frozenset({'Q13618', 'P55795', 'IL6'})"
"frozenset({'Q9BYR9', 'IL6', 'Q86XF7'})"
"frozenset({'P08631', 'IL6', 'Q92569'})"
"frozenset({'Q7L4P6', 'IL6', 'O75791'})"
"frozenset({'Q9UMX0', 'Q9HBU6', 'IL6'})"
"frozenset({'IL6', 'P27694', 'Q14677'})"
"frozenset({'P30480', 'IL6', 'Q9UQ80'})"
"frozenset({'IL6', 'Q66GS9', 'Q7Z4H7'})"
"frozenset({'Q9H1K1', 'P29218', 'IL6'})"
"frozenset({'P47914', 'IL6', 'P61313'})"
"frozenset({'Q15022', 'IL6', 'Q9H0A0'})"
"frozenset({'Q9Y458', 'IL6', 'P08238'})"
"frozenset({'IL6', 'P17252', 'Q02535'})"
"frozenset({'IL6', 'P19320', 'A5YKK6'})"
"frozenset({'IL6', 'P60866', 'P08865'})"
"frozenset({'IL6', 'P31040', 'Q9P2R7'})"
"frozenset({'P00533', 'Q6PGP7', 'IL6'})"
"frozenset({'Q9Y2T1', 'Q15973', 'IL6'})"
"frozenset({'Q9NZL4', 'IL6', 'Q5T3J3'})"
"frozenset({'Q71RC2', 'Q92667', 'IL6'})"
"frozenset({'P13747', 'IL6', 'Q14952'})"
"frozenset({'O15126', 'P26842', 'IL6'})"
"frozenset({'Q96D21', 'IL6', 'O75581'})"
"frozenset({'Q5HYI7', 'P43657', 'IL6'})"
"frozenset({'IL6', 'P46779', 'P62266'})"
"frozenset({'P15927', 'P61978', 'IL6'})"
"frozenset({'P18583', 'IL6', 'P62826'})"
"frozenset({'Q9UKX5', 'Q15051', 'IL6'})"
"frozenset({'Q14999', 'Q03468', 'IL6'})"
"frozenset({'P61019', 'IL6', 'P26599'})"
"frozenset({'IL6', 'Q04837', 'Q9HCK5'})"
"frozenset({'Q96FW1', 'IL6', 'Q9BV68'})"
"frozenset({'Q71U36', 'IL6', 'P17987'})"
"frozenset({'O94903', 'IL6', 'P31939'})"
"frozenset({'Q96LK0', 'IL6', 'P30419'})"
"frozenset({'P09012', 'IL6', 'P09661'})"
"frozenset({'P62851', 'P62899', 'IL6'})"
"frozenset({'IL6', 'Q9UBG7', 'Q7RTS3'})"
"frozenset({'IL6', 'Q8N6P7', 'P01574'})"
"frozenset({'Q8NGT0', 'IL6', 'P49407'})"
"frozenset({'IL6', 'P20340', 'Q9BY78'})"
"frozenset({'IL6', 'Q13501', 'Q96A37'})"
"frozenset({'Q92786', 'IL6', 'P84022'})"
"frozenset({'P10321', 'IL6', 'Q14952'})"
"frozenset({'P62888', 'IL6', 'Q9NW08'})"
"frozenset({'Q9NPJ6', 'Q9H4A3', 'IL6'})"
"frozenset({'IL6', 'P49768', 'Q96TA2'})"
"frozenset({'IL6', 'P30566', 'P00441'})"
"frozenset({'P31749', 'P06748', 'IL6'})"
"frozenset({'A5D8V6', 'IL6', 'Q9UGN5'})"
"frozenset({'P29459', 'P24394', 'IL6'})"
"frozenset({'Q14832', 'O14775', 'IL6'})"
"frozenset({'Q9H0F6', 'P21580', 'IL6'})"
"frozenset({'P21796', 'IL6', 'Q9Y266'})"
"frozenset({'Q8WYH8', 'Q96GN5', 'IL6'})"
"frozenset({'Q9BS18', 'Q8NHZ8', 'IL6'})"
"frozenset({'Q13618', 'IL6', 'Q9HCJ0'})"
"frozenset({'P11142', 'IL6', 'O15354'})"
"frozenset({'Q12774', 'IL6', 'Q9BYV2'})"
"frozenset({'P52630', 'IL6', 'P52333'})"
"frozenset({'P62263', 'IL6', 'Q969P0'})"
"frozenset({'P60409', 'P78368', 'IL6'})"
"frozenset({'Q5MNZ6', 'P06132', 'IL6'})"
"frozenset({'Q16082', 'IL6', 'P45983'})"
"frozenset({'P40763', 'IL6', 'P04632'})"
"frozenset({'Q96JH7', 'Q9H040', 'IL6'})"
"frozenset({'IL6', 'Q6UX40', 'Q9NXB0'})"
"frozenset({'P05412', 'Q13547', 'IL6'})"
"frozenset({'IL6', 'Q14686', 'Q15788'})"
"frozenset({'Q9UNL2', 'IL6', 'P45880'})"
"frozenset({'P07996', 'P26006', 'IL6'})"
"frozenset({'P07360', 'Q9UHD9', 'IL6'})"
"frozenset({'IL6', 'P63167', 'P04406'})"
"frozenset({'O60266', 'P59768', 'IL6'})"
"frozenset({'Q96L33', 'IL6', 'O43182'})"
"frozenset({'IL6', 'Q14657', 'P55036'})"
"frozenset({'IL6', 'Q92506', 'P15884'})"
"frozenset({'P10275', 'IL6', 'O14965'})"
"frozenset({'P10275', 'IL6', 'P17980'})"
"frozenset({'Q9BUU2', 'IL6', 'P42704'})"
"frozenset({'IL6', 'Q9UL18', 'P62269'})"
"frozenset({'Q8NGD3', 'P38405', 'IL6'})"
"frozenset({'Q8NG08', 'IL6', 'P61964'})"
"frozenset({'IL6', 'Q99750', 'Q8IZC7'})"
"frozenset({'O75578', 'IL6', 'Q9NVD7'})"
"frozenset({'P04629', 'IL6', 'Q13123'})"
"frozenset({'IL6', 'P28065', 'P25788'})"
"frozenset({'P54253', 'Q86U70', 'IL6'})"
"frozenset({'P23760', 'IL6', 'P55157'})"
"frozenset({'P30542', 'Q9UBU3', 'IL6'})"
"frozenset({'Q99836', 'IL6', 'Q96FA3'})"
"frozenset({'P30153', 'Q8IY67', 'IL6'})"
"frozenset({'IL6', 'Q9NYF0', 'P17612'})"
"frozenset({'Q9Y2F5', 'IL6', 'P55199'})"
"frozenset({'IL6', 'P30556', 'P01019'})"
"frozenset({'IL6', 'P07437', 'Q13409'})"
"frozenset({'IL6', 'Q9BZQ6', 'Q9NRD1'})"
"frozenset({'Q9NR56', 'IL6', 'P05067'})"
"frozenset({'Q07889', 'IL6', 'P00519'})"
"frozenset({'Q86X19', 'IL6', 'Q02487'})"
"frozenset({'P11142', 'IL6', 'P25685'})"
"frozenset({'IL6', 'P16473', 'Q16787'})"
"frozenset({'P45984', 'Q9P289', 'IL6'})"
"frozenset({'O15165', 'IL6', 'Q6AWC2'})"
"frozenset({'Q99661', 'Q14674', 'IL6'})"
"frozenset({'IL6', 'O43592', 'Q8TCJ0'})"
"frozenset({'IL6', 'Q96T88', 'Q9UKB1'})"
"frozenset({'P48431', 'IL6', 'Q13465'})"
"frozenset({'P19429', 'IL6', 'P62195'})"
"frozenset({'Q9Y2T1', 'IL6', 'P49840'})"
"frozenset({'IL6', 'P62330', 'O14986'})"
"frozenset({'Q9P2Y5', 'IL6', 'Q13619'})"
"frozenset({'IL6', 'Q8TDR0', 'Q16891'})"
"frozenset({'IL6', 'Q8N474', 'P56706'})"
"frozenset({'Q15006', 'IL6', 'O75937'})"
"frozenset({'P23511', 'IL6', 'P05067'})"
"frozenset({'Q5TKA1', 'IL6', 'P06400'})"
"frozenset({'O60504', 'O14512', 'IL6'})"
"frozenset({'Q9Y383', 'IL6', 'P11802'})"
"frozenset({'IL6', 'P36873', 'Q9UBL3'})"
"frozenset({'IL6', 'Q8WU17', 'Q9H832'})"
"frozenset({'P51608', 'P17947', 'IL6'})"
"frozenset({'P62913', 'IL6', 'P08865'})"
"frozenset({'P49286', 'IL6', 'Q9HAV0'})"
"frozenset({'IL6', 'Q9GZV4', 'Q99417'})"
"frozenset({'P52272', 'Q9NRR4', 'IL6'})"
"frozenset({'IL6', 'Q13868', 'P48634'})"
"frozenset({'P05412', 'Q96BD5', 'IL6'})"
"frozenset({'O75323', 'IL6', 'P41743'})"
"frozenset({'IL6', 'Q92997', 'Q14498'})"
"frozenset({'O43914', 'O95944', 'IL6'})"
"frozenset({'P56524', 'IL6', 'Q9BPZ7'})"
"frozenset({'P00533', 'IL6', 'P26639'})"
"frozenset({'O75165', 'P06748', 'IL6'})"
"frozenset({'P83731', 'IL6', 'P62424'})"
"frozenset({'IL6', 'P00747', 'Q16787'})"
"frozenset({'Q15050', 'IL6', 'P49792'})"
"frozenset({'P53621', 'IL6', 'Q9BZV1'})"
"frozenset({'IL6', 'O14964', 'O15085'})"
"frozenset({'Q9UHI6', 'P57678', 'IL6'})"
"frozenset({'IL6', 'Q9NVC6', 'O94864'})"
"frozenset({'IL6', 'Q8IZU0', 'A7MD48'})"
"frozenset({'IL6', 'Q15910', 'Q00987'})"
"frozenset({'IL6', 'O60318', 'Q9P0N5'})"
"frozenset({'IL6', 'Q12931', 'Q8IWL3'})"
"frozenset({'Q9ULX3', 'P57078', 'IL6'})"
"frozenset({'Q96EV8', 'IL6', 'P14373'})"
"frozenset({'Q86V81', 'Q14999', 'IL6'})"
"frozenset({'P10321', 'IL6', 'Q9Y2G8'})"
"frozenset({'IL6', 'P21145', 'Q9BVX2'})"
"frozenset({'IL6', 'Q14573', 'Q9NQW6'})"
"frozenset({'IL6', 'Q9BW04', 'P84022'})"
"frozenset({'IL6', 'Q8IWL3', 'P51649'})"
"frozenset({'Q96EH3', 'IL6', 'Q6IQ23'})"
"frozenset({'P05546', 'IL6', 'P01857'})"
"frozenset({'Q9BYR6', 'IL6', 'A8MYP8'})"
"frozenset({'P63279', 'P60896', 'IL6'})"
"frozenset({'IL6', 'Q1KMD3', 'P04629'})"
"frozenset({'P62873', 'IL6', 'Q96RD1'})"
"frozenset({'Q16254', 'Q7L2E3', 'IL6'})"
"frozenset({'O75530', 'IL6', 'P38646'})"
"frozenset({'IL6', 'P25054', 'Q13418'})"
"frozenset({'Q15019', 'IL6', 'Q13595'})"
"frozenset({'Q8IWL8', 'IL6', 'Q96HA8'})"
"frozenset({'IL6', 'P56693', 'P25189'})"
"frozenset({'P50148', 'IL6', 'P63252'})"
"frozenset({'P40337', 'IL6', 'O15226'})"
"frozenset({'P56277', 'Q01844', 'IL6'})"
"frozenset({'IL6', 'Q8NG27', 'O43251'})"
"frozenset({'IL6', 'O43924', 'P36404'})"
"frozenset({'P24941', 'Q8IZL8', 'IL6'})"
"frozenset({'O94761', 'Q9BRX5', 'IL6'})"
"frozenset({'O15162', 'IL6', 'Q9NVZ3'})"
"frozenset({'Q99873', 'Q9UBL3', 'IL6'})"
"frozenset({'O75044', 'IL6', 'Q9P127'})"
"frozenset({'IL6', 'Q9UHL9', 'Q58WW2'})"
"frozenset({'IL6', 'P25205', 'Q8TCJ0'})"
"frozenset({'P49841', 'P67870', 'IL6'})"
"frozenset({'IL6', 'Q8TAF3', 'Q14152'})"
"frozenset({'O75122', 'IL6', 'Q7KZI7'})"
"frozenset({'P02751', 'IL6', 'P33993'})"
"frozenset({'P14778', 'IL6', 'Q86XR7'})"
"frozenset({'P01137', 'Q06828', 'IL6'})"
"frozenset({'Q9NX58', 'Q96HE9', 'IL6'})"
"frozenset({'O00555', 'P09471', 'IL6'})"
"frozenset({'Q16236', 'P33527', 'IL6'})"
"frozenset({'P32121', 'IL6', 'Q13367'})"
"frozenset({'IL6', 'Q13077', 'Q9UHD2'})"
"frozenset({'O00308', 'IL6', 'P84077'})"
"frozenset({'Q9Y587', 'IL6', 'Q14527'})"
"frozenset({'IL6', 'P51610', 'P63172'})"
"frozenset({'O75147', 'IL6', 'Q12905'})"
"frozenset({'IL6', 'Q01130', 'Q2MV58'})"
"frozenset({'Q92841', 'IL6', 'P30101'})"
"frozenset({'Q8N357', 'P38606', 'IL6'})"
"frozenset({'Q96GY3', 'IL6', 'P22626'})"
"frozenset({'IL6', 'P05015', 'P42701'})"
"frozenset({'Q8IUE6', 'Q969S8', 'IL6'})"
"frozenset({'Q13617', 'IL6', 'Q96LD8'})"
"frozenset({'IL6', 'P40227', 'O15264'})"
"frozenset({'IL6', 'P29622', 'Q9NRH1'})"
"frozenset({'IL6', 'P28062', 'P51665'})"
"frozenset({'Q969Q1', 'IL6', 'Q96RP9'})"
"frozenset({'Q14653', 'IL6', 'P04406'})"
"frozenset({'Q8IXM3', 'Q16540', 'IL6'})"
"frozenset({'P48729', 'Q9NRF8', 'IL6'})"
"frozenset({'IL6', 'P12830', 'A0FGR8'})"
"frozenset({'P30988', 'IL6', 'Q96D09'})"
"frozenset({'P42704', 'IL6', 'P04198'})"
"frozenset({'Q9BX46', 'P01859', 'IL6'})"
"frozenset({'P23458', 'IL6', 'P38919'})"
"frozenset({'IL6', 'Q8IYR2', 'P01106'})"
"frozenset({'Q9UPN3', 'IL6', 'Q9NRI5'})"
"frozenset({'P0C1H6', 'P0C0S5', 'IL6'})"
"frozenset({'IL6', 'P17612', 'Q96R27'})"
"frozenset({'IL6', 'Q9Y3I0', 'Q9UKB1'})"
"frozenset({'O14737', 'IL6', 'P30480'})"
"frozenset({'IL6', 'Q9Y2D8', 'Q96EL3'})"
"frozenset({'Q9NZH6', 'IL6', 'O95998'})"
"frozenset({'Q13617', 'Q92841', 'IL6'})"
"frozenset({'Q08J23', 'IL6', 'Q9NRX1'})"
"frozenset({'Q92905', 'P11388', 'IL6'})"
"frozenset({'IL6', 'Q00653', 'P33681'})"
"frozenset({'O14757', 'P30291', 'IL6'})"
"frozenset({'IL6', 'P09884', 'Q5H9I0'})"
"frozenset({'Q9UKX3', 'IL6', 'Q9C0J9'})"
"frozenset({'P25101', 'P30679', 'IL6'})"
"frozenset({'Q13546', 'IL6', 'P01374'})"
"frozenset({'Q96MH2', 'IL6', 'O75528'})"
"frozenset({'O75508', 'O00501', 'IL6'})"
"frozenset({'Q6P2Q9', 'IL6', 'Q8TBX8'})"
"frozenset({'IL6', 'P16152', 'Q14164'})"
"frozenset({'Q12933', 'IL6', 'Q15628'})"
"frozenset({'Q96GY0', 'P23497', 'IL6'})"
"frozenset({'Q13283', 'IL6', 'Q12894'})"
"frozenset({'IL6', 'Q8ND90', 'Q9GZV7'})"
"frozenset({'IL6', 'O75376', 'Q8WXU2'})"
"frozenset({'Q99963', 'Q9Y6M9', 'IL6'})"
"frozenset({'P62136', 'P42261', 'IL6'})"
"frozenset({'P58304', 'P26367', 'IL6'})"
"frozenset({'IL6', 'P56192', 'Q9Y237'})"
"frozenset({'Q10713', 'Q9HAC7', 'IL6'})"
"frozenset({'IL6', 'P60329', 'Q3LI70'})"
"frozenset({'IL6', 'Q9Y4E8', 'Q9H1A4'})"
"frozenset({'IL6', 'Q9BRR8', 'O60308'})"
"frozenset({'Q02750', 'Q9NRM2', 'IL6'})"
"frozenset({'IL6', 'Q9BXB4', 'P05067'})"
"frozenset({'IL6', 'Q7Z2K6', 'Q9UN42'})"
"frozenset({'Q96DE5', 'IL6', 'Q14676'})"
"frozenset({'IL6', 'P15336', 'P22694'})"
"frozenset({'O60296', 'Q12840', 'IL6'})"
"frozenset({'Q96EB6', 'IL6', 'P56537'})"
"frozenset({'IL6', 'P62258', 'Q7Z401'})"
"frozenset({'IL6', 'Q96C00', 'P17027'})"
"frozenset({'Q6W2J9', 'IL6', 'Q66K64'})"
"frozenset({'P05412', 'P22234', 'IL6'})"
"frozenset({'Q04917', 'IL6', 'P61981'})"
"frozenset({'P63096', 'IL6', 'Q96HY6'})"
"frozenset({'Q16625', 'IL6', 'Q02156'})"
"frozenset({'P42858', 'IL6', 'O14645'})"
"frozenset({'IL6', 'P17987', 'P60510'})"
"frozenset({'IL6', 'Q9UBY8', 'Q13505'})"
"frozenset({'Q9C0B0', 'P07858', 'IL6'})"
"frozenset({'IL6', 'P31152', 'O14818'})"
"frozenset({'IL6', 'Q5QJE6', 'Q16666'})"
"frozenset({'O00151', 'P63272', 'IL6'})"
"frozenset({'IL6', 'O60331', 'Q9Y5X3'})"
"frozenset({'P03915', 'Q9NX14', 'IL6'})"
"frozenset({'Q13098', 'IL6', 'Q9H9Q2'})"
"frozenset({'P18621', 'IL6', 'P51858'})"
"frozenset({'P26368', 'IL6', 'P50502'})"
"frozenset({'Q6R327', 'IL6', 'P31483'})"
"frozenset({'Q96C28', 'IL6', 'Q9Y2R9'})"
"frozenset({'P62333', 'IL6', 'P01889'})"
"frozenset({'IL6', 'P13010', 'O95433'})"
"frozenset({'Q96KQ4', 'IL6', 'P61024'})"
"frozenset({'P61619', 'IL6', 'Q9HCE1'})"
"frozenset({'Q13057', 'IL6', 'P0C0S8'})"
"frozenset({'IL6', 'Q05481', 'Q9NZZ3'})"
"frozenset({'Q15486', 'IL6', 'O75603'})"
"frozenset({'P52272', 'Q16540', 'IL6'})"
"frozenset({'O43504', 'Q8NBW4', 'IL6'})"
"frozenset({'Q13492', 'IL6', 'Q8WXE9'})"
"frozenset({'IL6', 'Q9UBX3', 'Q15714'})"
"frozenset({'P30048', 'Q9NPB6', 'IL6'})"
"frozenset({'O96008', 'IL6', 'P51665'})"
"frozenset({'Q9HCU5', 'Q86X19', 'IL6'})"
"frozenset({'IL6', 'P82932', 'Q9UQ35'})"
"frozenset({'P11216', 'Q96GY3', 'IL6'})"
"frozenset({'IL6', 'P05067', 'O75815'})"
"frozenset({'P43003', 'Q9UQM7', 'IL6'})"
"frozenset({'Q9NXL9', 'IL6', 'Q9UJA3'})"
"frozenset({'IL6', 'P54652', 'O95429'})"
"frozenset({'IL6', 'Q15717', 'O75976'})"
"frozenset({'Q8TC71', 'IL6', 'Q9Y6D9'})"
"frozenset({'Q99459', 'IL6', 'P61978'})"
"frozenset({'IL6', 'Q16666', 'P49790'})"
"frozenset({'IL6', 'P29508', 'P08311'})"
"frozenset({'IL6', 'Q9NQT8', 'Q86X27'})"
"frozenset({'P01019', 'IL6', 'P04637'})"
"frozenset({'P09104', 'IL6', 'P31749'})"
"frozenset({'IL6', 'Q9Y6G9', 'Q9Y2I6'})"
"frozenset({'O75396', 'IL6', 'P49755'})"
"frozenset({'Q13111', 'IL6', 'Q9BXS6'})"
"frozenset({'P62136', 'IL6', 'Q08999'})"
"frozenset({'P56279', 'IL6', 'P43403'})"
"frozenset({'IL6', 'P40238', 'P26441'})"
"frozenset({'IL6', 'Q9UMR2', 'Q9BSG5'})"
"frozenset({'O14776', 'Q9BSM1', 'IL6'})"
"frozenset({'Q96EN8', 'Q9UBX7', 'IL6'})"
"frozenset({'IL6', 'P21359', 'Q13009'})"
"frozenset({'Q9UF02', 'Q06190', 'IL6'})"
"frozenset({'P27348', 'P11142', 'IL6'})"
"frozenset({'Q8TDS5', 'Q3LI72', 'IL6'})"
"frozenset({'IL6', 'P21580', 'Q14790'})"
"frozenset({'Q13618', 'P54886', 'IL6'})"
"frozenset({'IL6', 'Q8N4V1', 'O75937'})"
"frozenset({'IL6', 'P38117', 'P36969'})"
"frozenset({'IL6', 'P78545', 'O76014'})"
"frozenset({'Q9Y5Q3', 'IL6', 'O75444'})"
"frozenset({'IL6', 'P07900', 'P10911'})"
"frozenset({'Q9BYG3', 'IL6', 'Q9UC06'})"
"frozenset({'O95405', 'Q13277', 'IL6'})"
"frozenset({'P05388', 'P43246', 'IL6'})"
"frozenset({'IL6', 'Q02952', 'Q13043'})"
"frozenset({'P47755', 'Q7KZI7', 'IL6'})"
"frozenset({'P48051', 'IL6', 'P22612'})"
"frozenset({'IL6', 'Q9NY65', 'P60033'})"
"frozenset({'P18621', 'IL6', 'P04629'})"
"frozenset({'IL6', 'P46940', 'O00592'})"
"frozenset({'IL6', 'Q6DN03', 'Q6UXN9'})"
"frozenset({'Q92750', 'IL6', 'O95402'})"
"frozenset({'Q9BYV9', 'O43167', 'IL6'})"
"frozenset({'IL6', 'Q07002', 'Q9BRK4'})"
"frozenset({'Q14D33', 'IL6', 'Q8ND90'})"
"frozenset({'P62875', 'IL6', 'P52435'})"
"frozenset({'IL6', 'Q00534', 'P62995'})"
"frozenset({'Q9H0W5', 'IL6', 'Q9NYZ3'})"
"frozenset({'P22694', 'IL6', 'P59768'})"
"frozenset({'IL6', 'Q9UJX6', 'Q9UJX5'})"
"frozenset({'IL6', 'P61978', 'Q13535'})"
"frozenset({'Q8WWY3', 'O94906', 'IL6'})"
"frozenset({'P19784', 'IL6', 'P07900'})"
"frozenset({'Q15078', 'O43583', 'IL6'})"
"frozenset({'Q3LI72', 'Q08AM6', 'IL6'})"
"frozenset({'Q58FG1', 'IL6', 'Q6P1N9'})"
"frozenset({'IL6', 'Q9H4A3', 'Q9Y3S1'})"
"frozenset({'IL6', 'Q15393', 'Q96NB3'})"
"frozenset({'Q13451', 'IL6', 'Q00613'})"
"frozenset({'Q7Z3H4', 'IL6', 'Q96M94'})"
"frozenset({'IL6', 'Q969P0', 'P35268'})"
"frozenset({'P15408', 'P54855', 'IL6'})"
"frozenset({'P62316', 'IL6', 'Q9UKW4'})"
"frozenset({'Q8IWR1', 'Q8N2K1', 'IL6'})"
"frozenset({'IL6', 'Q68CJ9', 'P17252'})"
"frozenset({'P62807', 'IL6', 'O75607'})"
"frozenset({'Q8NGZ5', 'IL6', 'P35626'})"
"frozenset({'P61019', 'IL6', 'Q86TI0'})"
"frozenset({'Q9UD71', 'IL6', 'Q9Y243'})"
"frozenset({'P04746', 'P55259', 'IL6'})"
"frozenset({'P08069', 'IL6', 'Q96J02'})"
"frozenset({'Q13547', 'O60921', 'IL6'})"
"frozenset({'IL6', 'P42345', 'O14654'})"
"frozenset({'IL6', 'Q9NWB1', 'Q8NEA9'})"
"frozenset({'IL6', 'O43541', 'P36897'})"
"frozenset({'O43294', 'Q9H422', 'IL6'})"
"frozenset({'Q96AC1', 'IL6', 'P18084'})"
"frozenset({'IL6', 'O00443', 'P31946'})"
"frozenset({'Q96K58', 'Q14807', 'IL6'})"
"frozenset({'Q08752', 'IL6', 'Q8TCJ0'})"
"frozenset({'IL6', 'P20962', 'P10809'})"
"frozenset({'P35579', 'IL6', 'Q96A19'})"
