negatives
"frozenset({'Q96HT8', 'Q99757', 'BDNF'})"
"frozenset({'Q56UQ5', 'BDNF', 'Q8NFW5'})"
"frozenset({'P13726', 'Q86Y82', 'BDNF'})"
"frozenset({'Q96B36', 'BDNF', 'Q9BVC4'})"
"frozenset({'P12319', 'BDNF', 'P06241'})"
"frozenset({'Q12778', 'BDNF', 'O95067'})"
"frozenset({'P20618', 'BDNF', 'P48643'})"
"frozenset({'Q96FJ0', 'BDNF', 'Q9BQ95'})"
"frozenset({'Q7Z6Z7', 'BDNF', 'O60762'})"
"frozenset({'Q96AG3', 'Q9Y282', 'BDNF'})"
"frozenset({'P31946', 'Q8IVT5', 'BDNF'})"
"frozenset({'P49821', 'BDNF', 'P51970'})"
"frozenset({'P22087', 'Q04206', 'BDNF'})"
"frozenset({'Q8N6U8', 'BDNF', 'P49407'})"
"frozenset({'Q6NV75', 'Q9UBU8', 'BDNF'})"
"frozenset({'P25098', 'A6NHA9', 'BDNF'})"
"frozenset({'P52799', 'BDNF', 'O75155'})"
"frozenset({'P25788', 'BDNF', 'Q3LI72'})"
"frozenset({'Q8IXW5', 'BDNF', 'P17987'})"
"frozenset({'Q9UKB1', 'P18583', 'BDNF'})"
"frozenset({'Q8IUN9', 'P01375', 'BDNF'})"
"frozenset({'P13611', 'P35555', 'BDNF'})"
"frozenset({'BDNF', 'Q15428', 'Q8N163'})"
"frozenset({'P20248', 'BDNF', 'P05455'})"
"frozenset({'P27986', 'BDNF', 'Q16584'})"
"frozenset({'P46109', 'Q13191', 'BDNF'})"
"frozenset({'BDNF', 'O43623', 'Q99460'})"
"frozenset({'P53778', 'BDNF', 'P45984'})"
"frozenset({'P63272', 'BDNF', 'P13984'})"
"frozenset({'Q16633', 'P31274', 'BDNF'})"
"frozenset({'P01584', 'P23946', 'BDNF'})"
"frozenset({'BDNF', 'Q9NXC2', 'Q15323'})"
"frozenset({'P22090', 'BDNF', 'P05362'})"
"frozenset({'P23246', 'Q5TC82', 'BDNF'})"
"frozenset({'Q3ZCQ8', 'BDNF', 'Q9Y5V3'})"
"frozenset({'Q15369', 'Q8WXK1', 'BDNF'})"
"frozenset({'O95819', 'BDNF', 'P20936'})"
"frozenset({'BDNF', 'Q99497', 'Q09028'})"
"frozenset({'P62277', 'Q9H009', 'BDNF'})"
"frozenset({'BDNF', 'Q9UKV3', 'P42330'})"
"frozenset({'Q96IK5', 'P42357', 'BDNF'})"
"frozenset({'P35462', 'BDNF', 'Q9HAV0'})"
"frozenset({'P46779', 'O15479', 'BDNF'})"
"frozenset({'Q14164', 'BDNF', 'P49903'})"
"frozenset({'Q9Y224', 'BDNF', 'Q00688'})"
"frozenset({'BDNF', 'Q99523', 'Q9H792'})"
"frozenset({'P19784', 'P07237', 'BDNF'})"
"frozenset({'P05067', 'Q9H2A2', 'BDNF'})"
"frozenset({'P24941', 'BDNF', 'P61604'})"
"frozenset({'P17024', 'BDNF', 'P60410'})"
"frozenset({'P48444', 'Q07866', 'BDNF'})"
"frozenset({'P12883', 'Q13813', 'BDNF'})"
"frozenset({'BDNF', 'P05161', 'Q9NZZ3'})"
"frozenset({'O60341', 'BDNF', 'P48775'})"
"frozenset({'Q96RE7', 'P41182', 'BDNF'})"
"frozenset({'Q01081', 'BDNF', 'Q6P2Q9'})"
"frozenset({'Q8IYW5', 'Q9Y6A5', 'BDNF'})"
"frozenset({'O95997', 'Q8IXZ2', 'BDNF'})"
"frozenset({'P22087', 'Q15050', 'BDNF'})"
"frozenset({'BDNF', 'P36894', 'P12644'})"
"frozenset({'Q96L94', 'P49674', 'BDNF'})"
"frozenset({'P33076', 'BDNF', 'O14980'})"
"frozenset({'P24941', 'BDNF', 'Q14202'})"
"frozenset({'O60885', 'O96028', 'BDNF'})"
"frozenset({'Q99623', 'BDNF', 'P98170'})"
"frozenset({'Q86U86', 'Q92784', 'BDNF'})"
"frozenset({'Q13895', 'Q9NRD5', 'BDNF'})"
"frozenset({'O43699', 'BDNF', 'P15884'})"
"frozenset({'P80188', 'P49069', 'BDNF'})"
"frozenset({'Q08945', 'BDNF', 'Q92832'})"
"frozenset({'BDNF', 'Q8IXJ6', 'Q92830'})"
"frozenset({'P49959', 'Q9Y224', 'BDNF'})"
"frozenset({'BDNF', 'P08047', 'P49961'})"
"frozenset({'P55795', 'O00469', 'BDNF'})"
"frozenset({'P78386', 'Q9Y4E8', 'BDNF'})"
"frozenset({'BDNF', 'Q6DRA6', 'Q9UBL3'})"
"frozenset({'Q29RF7', 'Q8N6T7', 'BDNF'})"
"frozenset({'Q7Z465', 'BDNF', 'Q07960'})"
"frozenset({'Q9H492', 'BDNF', 'P63173'})"
"frozenset({'Q8IU60', 'Q15054', 'BDNF'})"
"frozenset({'Q9BYB0', 'BDNF', 'Q86YM7'})"
"frozenset({'Q9UH03', 'Q8N4T8', 'BDNF'})"
"frozenset({'P22083', 'BDNF', 'P05161'})"
"frozenset({'Q9HC21', 'Q8NC44', 'BDNF'})"
"frozenset({'BDNF', 'O14964', 'P49407'})"
"frozenset({'BDNF', 'P53708', 'Q96L12'})"
"frozenset({'P37840', 'BDNF', 'P68400'})"
"frozenset({'Q9BVJ6', 'BDNF', 'Q8IY81'})"
"frozenset({'P63279', 'BDNF', 'O60333'})"
"frozenset({'BDNF', 'P46782', 'P46108'})"
"frozenset({'Q969S3', 'P10244', 'BDNF'})"
"frozenset({'BDNF', 'P61962', 'P40227'})"
"frozenset({'Q99459', 'BDNF', 'Q96I25'})"
"frozenset({'P25098', 'B2RN74', 'BDNF'})"
"frozenset({'O94855', 'Q15427', 'BDNF'})"
"frozenset({'Q9P244', 'BDNF', 'O60333'})"
"frozenset({'Q7Z408', 'P16333', 'BDNF'})"
"frozenset({'P55196', 'P63267', 'BDNF'})"
"frozenset({'Q7L1Q6', 'BDNF', 'Q8WWY3'})"
"frozenset({'BDNF', 'Q9UDY4', 'Q9HAV7'})"
"frozenset({'Q04912', 'P29353', 'BDNF'})"
"frozenset({'P30281', 'P49841', 'BDNF'})"
"frozenset({'O43586', 'BDNF', 'P48023'})"
"frozenset({'BDNF', 'P04629', 'P49736'})"
"frozenset({'Q05195', 'BDNF', 'P29374'})"
"frozenset({'Q96FQ7', 'BDNF', 'P14373'})"
"frozenset({'P09382', 'BDNF', 'P43115'})"
"frozenset({'Q13618', 'BDNF', 'Q96Q07'})"
"frozenset({'Q9Y2J2', 'BDNF', 'P48426'})"
"frozenset({'P35558', 'P34931', 'BDNF'})"
"frozenset({'Q9UJX6', 'O43684', 'BDNF'})"
"frozenset({'Q9Y3M2', 'Q6ZW31', 'BDNF'})"
"frozenset({'O15455', 'A1A4Y4', 'BDNF'})"
"frozenset({'BDNF', 'Q9Y6X2', 'P51692'})"
"frozenset({'P78527', 'P49917', 'BDNF'})"
"frozenset({'O15131', 'BDNF', 'P36957'})"
"frozenset({'P24941', 'Q15648', 'BDNF'})"
"frozenset({'Q13882', 'BDNF', 'P31749'})"
"frozenset({'Q6R327', 'P34932', 'BDNF'})"
"frozenset({'BDNF', 'P26599', 'Q13043'})"
"frozenset({'Q8NEY1', 'BDNF', 'P18754'})"
"frozenset({'P32969', 'BDNF', 'P27694'})"
"frozenset({'P61769', 'BDNF', 'P55899'})"
"frozenset({'O75947', 'P05067', 'BDNF'})"
"frozenset({'Q96EG3', 'Q9UGI0', 'BDNF'})"
"frozenset({'BDNF', 'Q9NQ11', 'Q6P5W5'})"
"frozenset({'Q9P0L0', 'BDNF', 'O00217'})"
"frozenset({'Q15038', 'Q96CS7', 'BDNF'})"
"frozenset({'Q8N1F7', 'BDNF', 'P19320'})"
"frozenset({'P51159', 'BDNF', 'Q9UKR5'})"
"frozenset({'P62993', 'BDNF', 'P16871'})"
"frozenset({'Q8TB22', 'BDNF', 'Q5U5X0'})"
"frozenset({'P48730', 'BDNF', 'P25054'})"
"frozenset({'P40145', 'BDNF', 'Q05655'})"
"frozenset({'Q9Y5B9', 'BDNF', 'P31947'})"
"frozenset({'Q96A04', 'O60941', 'BDNF'})"
"frozenset({'Q9NR80', 'Q15843', 'BDNF'})"
"frozenset({'P62140', 'BDNF', 'Q9UKF6'})"
"frozenset({'Q92731', 'Q86VM9', 'BDNF'})"
"frozenset({'BDNF', 'Q16635', 'Q9NY47'})"
"frozenset({'Q01968', 'BDNF', 'P31947'})"
"frozenset({'Q6NVU6', 'Q92922', 'BDNF'})"
"frozenset({'BDNF', 'P43351', 'O43542'})"
"frozenset({'P22087', 'BDNF', 'O75147'})"
"frozenset({'Q9Y3Q8', 'BDNF', 'Q9BVI4'})"
"frozenset({'Q14164', 'P35241', 'BDNF'})"
"frozenset({'Q13291', 'BDNF', 'Q8N1S5'})"
"frozenset({'Q9UBY9', 'Q96D03', 'BDNF'})"
"frozenset({'P62068', 'Q9BQA1', 'BDNF'})"
"frozenset({'P04626', 'Q9GZV8', 'BDNF'})"
"frozenset({'O43491', 'BDNF', 'P21728'})"
"frozenset({'P52564', 'Q02779', 'BDNF'})"
"frozenset({'P52907', 'Q9H8V3', 'BDNF'})"
"frozenset({'BDNF', 'P05198', 'Q13573'})"
"frozenset({'O15427', 'BDNF', 'O60610'})"
"frozenset({'Q9UL15', 'BDNF', 'Q12805'})"
"frozenset({'P13994', 'BDNF', 'Q5JVL4'})"
"frozenset({'P12755', 'P12236', 'BDNF'})"
"frozenset({'Q9NRD1', 'BDNF', 'Q9Y2H1'})"
"frozenset({'Q13009', 'BDNF', 'Q9HBH0'})"
"frozenset({'Q16254', 'BDNF', 'P40937'})"
"frozenset({'BDNF', 'P43115', 'Q58EX7'})"
"frozenset({'P60709', 'BDNF', 'P17301'})"
"frozenset({'BDNF', 'Q92783', 'P04629'})"
"frozenset({'Q16637', 'Q7L5N1', 'BDNF'})"
"frozenset({'Q86X19', 'BDNF', 'O95070'})"
"frozenset({'P35241', 'BDNF', 'Q9NSI6'})"
"frozenset({'BDNF', 'P62993', 'Q96JJ3'})"
"frozenset({'P08173', 'BDNF', 'P63211'})"
"frozenset({'P01106', 'Q9C0E2', 'BDNF'})"
"frozenset({'P55316', 'Q92621', 'BDNF'})"
"frozenset({'Q8WW24', 'Q6RVD6', 'BDNF'})"
"frozenset({'BDNF', 'P49336', 'O95714'})"
"frozenset({'Q0VD86', 'BDNF', 'Q9H1Y0'})"
"frozenset({'P30260', 'BDNF', 'P60006'})"
"frozenset({'Q8IX03', 'P51812', 'BDNF'})"
"frozenset({'BDNF', 'Q02539', 'P61247'})"
"frozenset({'Q15562', 'P46937', 'BDNF'})"
"frozenset({'Q00325', 'BDNF', 'Q9Y4W6'})"
"frozenset({'Q8WZ42', 'BDNF', 'Q86TC9'})"
"frozenset({'Q9NZQ3', 'BDNF', 'O14980'})"
"frozenset({'O60293', 'BDNF', 'A6NIH7'})"
"frozenset({'P37108', 'BDNF', 'Q6V1X1'})"
"frozenset({'P49589', 'BDNF', 'P04629'})"
"frozenset({'Q9BXW6', 'BDNF', 'Q8WWY3'})"
"frozenset({'P14598', 'BDNF', 'Q14896'})"
"frozenset({'BDNF', 'Q8N6P7', 'Q6UXL0'})"
"frozenset({'Q8TD46', 'BDNF', 'Q9UKY4'})"
"frozenset({'BDNF', 'Q00839', 'P11021'})"
"frozenset({'P27816', 'Q96B97', 'BDNF'})"
"frozenset({'Q5SWW7', 'Q96A09', 'BDNF'})"
"frozenset({'Q9P244', 'Q6NUK4', 'BDNF'})"
"frozenset({'Q96R06', 'BDNF', 'Q14203'})"
"frozenset({'BDNF', 'Q00536', 'O15075'})"
"frozenset({'A8MQ03', 'BDNF', 'Q86XF7'})"
"frozenset({'P26441', 'BDNF', 'Q6UXL0'})"
"frozenset({'Q96GE6', 'BDNF', 'P22694'})"
"frozenset({'Q8N684', 'BDNF', 'P27694'})"
"frozenset({'P05000', 'P15260', 'BDNF'})"
"frozenset({'P42684', 'Q13315', 'BDNF'})"
"frozenset({'P0DP23', 'P13693', 'BDNF'})"
"frozenset({'BDNF', 'Q9UHB6', 'P32121'})"
"frozenset({'Q96IW7', 'BDNF', 'Q9GZU1'})"
"frozenset({'Q9UJV9', 'BDNF', 'Q16629'})"
"frozenset({'Q96HR3', 'BDNF', 'Q9NPJ6'})"
"frozenset({'P17252', 'BDNF', 'Q9ULK5'})"
"frozenset({'Q01105', 'BDNF', 'Q15717'})"
"frozenset({'Q9H5K3', 'BDNF', 'Q8WUY8'})"
"frozenset({'P12268', 'O60749', 'BDNF'})"
"frozenset({'Q9UI10', 'BDNF', 'Q14232'})"
"frozenset({'P18124', 'BDNF', 'P62753'})"
"frozenset({'Q9Y5Y5', 'BDNF', 'P56589'})"
"frozenset({'P06748', 'BDNF', 'P32121'})"
"frozenset({'P50222', 'BDNF', 'P58397'})"
"frozenset({'P20810', 'BDNF', 'Q96L46'})"
"frozenset({'Q96ST8', 'BDNF', 'P61981'})"
"frozenset({'Q9HB71', 'O60907', 'BDNF'})"
"frozenset({'O43678', 'BDNF', 'Q9BQ15'})"
"frozenset({'BDNF', 'P21359', 'Q9UQC2'})"
"frozenset({'P17931', 'BDNF', 'Q9Y2T6'})"
"frozenset({'P50454', 'O43813', 'BDNF'})"
"frozenset({'P49023', 'P02751', 'BDNF'})"
"frozenset({'P62266', 'O00571', 'BDNF'})"
"frozenset({'BDNF', 'Q9NWT6', 'Q96F86'})"
"frozenset({'Q96G23', 'BDNF', 'P55061'})"
"frozenset({'Q96FW1', 'BDNF', 'A1L453'})"
"frozenset({'P09619', 'P20827', 'BDNF'})"
"frozenset({'Q14164', 'BDNF', 'P30153'})"
"frozenset({'Q9UPT5', 'BDNF', 'Q86VI4'})"
"frozenset({'P17844', 'BDNF', 'Q5U5Q3'})"
"frozenset({'P48729', 'P31946', 'BDNF'})"
"frozenset({'P42858', 'O00746', 'BDNF'})"
"frozenset({'P06493', 'Q96Q89', 'BDNF'})"
"frozenset({'BDNF', 'Q96IP4', 'O95405'})"
"frozenset({'BDNF', 'Q9UBD3', 'O00574'})"
"frozenset({'Q13428', 'Q9H9Y6', 'BDNF'})"
"frozenset({'Q9UJJ9', 'BDNF', 'Q92900'})"
"frozenset({'Q96JN2', 'Q9H672', 'BDNF'})"
"frozenset({'Q00325', 'BDNF', 'Q7Z7H5'})"
"frozenset({'P34981', 'BDNF', 'P29992'})"
"frozenset({'Q86X19', 'BDNF', 'O96013'})"
"frozenset({'Q5T6F0', 'BDNF', 'Q9BW61'})"
"frozenset({'Q13619', 'P01106', 'BDNF'})"
"frozenset({'P19838', 'BDNF', 'P0DOY2'})"
"frozenset({'P26045', 'P06213', 'BDNF'})"
"frozenset({'Q8N1G0', 'Q8N201', 'BDNF'})"
"frozenset({'BDNF', 'Q9NS73', 'Q6NSJ2'})"
"frozenset({'Q92918', 'P14317', 'BDNF'})"
"frozenset({'P35626', 'Q8NGH8', 'BDNF'})"
"frozenset({'Q969P0', 'Q15084', 'BDNF'})"
"frozenset({'P06493', 'BDNF', 'P17096'})"
"frozenset({'BDNF', 'Q9NXR8', 'O75953'})"
"frozenset({'Q53EZ4', 'BDNF', 'Q9H9H4'})"
"frozenset({'O43143', 'BDNF', 'O00213'})"
"frozenset({'Q9H7E9', 'BDNF', 'Q13435'})"
"frozenset({'Q9H8M7', 'BDNF', 'Q6P087'})"
"frozenset({'Q9H944', 'O75586', 'BDNF'})"
"frozenset({'Q9Y285', 'Q9P2A4', 'BDNF'})"
"frozenset({'Q9Y247', 'Q9BRK4', 'BDNF'})"
"frozenset({'Q13618', 'Q86VM9', 'BDNF'})"
"frozenset({'Q96IF1', 'Q8N2X6', 'BDNF'})"
"frozenset({'P11182', 'BDNF', 'O43837'})"
"frozenset({'Q15233', 'BDNF', 'P40692'})"
"frozenset({'Q9Y2I6', 'BDNF', 'Q96DD0'})"
"frozenset({'BDNF', 'Q15437', 'P84103'})"
"frozenset({'BDNF', 'P31153', 'O00273'})"
"frozenset({'Q99661', 'BDNF', 'P42285'})"
"frozenset({'P62136', 'BDNF', 'P16220'})"
"frozenset({'Q5T447', 'Q9H2D6', 'BDNF'})"
"frozenset({'P00533', 'BDNF', 'P0DMV9'})"
"frozenset({'P52272', 'Q16540', 'BDNF'})"
"frozenset({'Q9NRX5', 'BDNF', 'Q9P253'})"
"frozenset({'BDNF', 'P27694', 'Q14191'})"
"frozenset({'O43482', 'Q9UPQ7', 'BDNF'})"
"frozenset({'Q9C0F1', 'BDNF', 'Q8IUZ0'})"
"frozenset({'P52333', 'BDNF', 'P13232'})"
"frozenset({'Q16512', 'BDNF', 'O00303'})"
"frozenset({'P09467', 'BDNF', 'Q99814'})"
"frozenset({'Q8IZP0', 'Q86W42', 'BDNF'})"
"frozenset({'P14625', 'BDNF', 'O43852'})"
"frozenset({'P06748', 'BDNF', 'P52926'})"
"frozenset({'Q9BR77', 'BDNF', 'Q8N960'})"
"frozenset({'P55036', 'BDNF', 'Q9NUJ3'})"
"frozenset({'O00471', 'BDNF', 'P11233'})"
"frozenset({'P10912', 'O00459', 'BDNF'})"
"frozenset({'P61106', 'P60953', 'BDNF'})"
"frozenset({'BDNF', 'P11387', 'Q00839'})"
"frozenset({'Q92731', 'Q9UKN8', 'BDNF'})"
"frozenset({'P08754', 'P63218', 'BDNF'})"
"frozenset({'Q96AX1', 'BDNF', 'Q9P253'})"
"frozenset({'Q96K80', 'BDNF', 'Q86VP6'})"
"frozenset({'Q9NX40', 'Q15365', 'BDNF'})"
"frozenset({'O94813', 'BDNF', 'P51884'})"
"frozenset({'BDNF', 'P11142', 'P10911'})"
"frozenset({'P54619', 'P42345', 'BDNF'})"
"frozenset({'Q92781', 'P62253', 'BDNF'})"
"frozenset({'Q9NWB6', 'BDNF', 'O75530'})"
"frozenset({'P13645', 'BDNF', 'P02768'})"
"frozenset({'Q96FJ2', 'Q14677', 'BDNF'})"
"frozenset({'P61513', 'BDNF', 'Q6P2Q9'})"
"frozenset({'O75530', 'Q9BVJ7', 'BDNF'})"
"frozenset({'O96006', 'BDNF', 'Q8IYE1'})"
"frozenset({'Q9NVP1', 'BDNF', 'Q9GZS1'})"
"frozenset({'P27797', 'BDNF', 'P06733'})"
"frozenset({'Q96PE2', 'BDNF', 'P33981'})"
"frozenset({'P53990', 'Q9Y5L4', 'BDNF'})"
"frozenset({'P02751', 'P52292', 'BDNF'})"
"frozenset({'Q14032', 'Q15198', 'BDNF'})"
"frozenset({'Q9UHD9', 'BDNF', 'P62987'})"
"frozenset({'BDNF', 'P53675', 'O00291'})"
"frozenset({'P49888', 'P04637', 'BDNF'})"
"frozenset({'BDNF', 'Q15654', 'Q68CZ1'})"
"frozenset({'P50613', 'BDNF', 'Q9NYV4'})"
"frozenset({'P49137', 'Q8IW41', 'BDNF'})"
"frozenset({'P62979', 'BDNF', 'P35228'})"
"frozenset({'Q5VWQ8', 'BDNF', 'Q06265'})"
"frozenset({'Q8WXI9', 'Q9C009', 'BDNF'})"
"frozenset({'P17174', 'BDNF', 'Q13126'})"
"frozenset({'P30837', 'P47985', 'BDNF'})"
"frozenset({'P54259', 'BDNF', 'Q8IUQ4'})"
"frozenset({'P35626', 'O95007', 'BDNF'})"
"frozenset({'P63220', 'BDNF', 'P18206'})"
"frozenset({'Q96HA1', 'Q8N1F7', 'BDNF'})"
"frozenset({'BDNF', 'Q14764', 'Q7L273'})"
"frozenset({'Q96BA8', 'BDNF', 'O75676'})"
"frozenset({'P05388', 'Q96GG9', 'BDNF'})"
"frozenset({'BDNF', 'P07900', 'P19438'})"
"frozenset({'BDNF', 'P18754', 'Q99986'})"
"frozenset({'BDNF', 'O60925', 'O14746'})"
"frozenset({'BDNF', 'P32298', 'P46934'})"
"frozenset({'P51451', 'P08581', 'BDNF'})"
"frozenset({'BDNF', 'Q92526', 'P48643'})"
"frozenset({'Q15796', 'BDNF', 'P23025'})"
"frozenset({'P06753', 'BDNF', 'Q9NQX4'})"
"frozenset({'Q7Z434', 'Q9Y4K3', 'BDNF'})"
"frozenset({'Q13616', 'Q96J88', 'BDNF'})"
"frozenset({'Q9NPH2', 'BDNF', 'P52209'})"
"frozenset({'Q9P244', 'Q8NEY1', 'BDNF'})"
"frozenset({'Q9P0M6', 'Q9BTC0', 'BDNF'})"
"frozenset({'BDNF', 'P31749', 'Q8NEB9'})"
"frozenset({'Q96EX1', 'Q9BQ65', 'BDNF'})"
"frozenset({'P54762', 'BDNF', 'P08238'})"
"frozenset({'P53778', 'Q8WZA2', 'BDNF'})"
"frozenset({'BDNF', 'P51684', 'O15444'})"
"frozenset({'BDNF', 'Q8IY26', 'Q9BVX2'})"
"frozenset({'BDNF', 'P63151', 'Q9NRM7'})"
"frozenset({'O15234', 'Q9UBU9', 'BDNF'})"
"frozenset({'Q99459', 'BDNF', 'P61081'})"
"frozenset({'BDNF', 'Q86VM9', 'Q9BXB1'})"
"frozenset({'Q9UDY2', 'BDNF', 'Q02809'})"
"frozenset({'O75530', 'Q9Y2X3', 'BDNF'})"
"frozenset({'Q9NQC3', 'BDNF', 'P04629'})"
"frozenset({'BDNF', 'P46940', 'P26368'})"
"frozenset({'O75044', 'Q96S53', 'BDNF'})"
"frozenset({'P59998', 'BDNF', 'P35080'})"
"frozenset({'P02511', 'BDNF', 'O15111'})"
"frozenset({'Q969U7', 'BDNF', 'Q7Z3S9'})"
"frozenset({'P0DP24', 'BDNF', 'O15078'})"
"frozenset({'P00533', 'O00401', 'BDNF'})"
"frozenset({'Q9NRD5', 'BDNF', 'O43237'})"
"frozenset({'P10398', 'BDNF', 'O60826'})"
"frozenset({'P01106', 'BDNF', 'P62244'})"
"frozenset({'P25789', 'BDNF', 'Q969H0'})"
"frozenset({'BDNF', 'O15265', 'P62191'})"
"frozenset({'P51149', 'BDNF', 'O60260'})"
"frozenset({'P35658', 'BDNF', 'Q9BVL2'})"
