negatives
"frozenset({'Q9NPJ4', 'TWEAK', 'Q05516'})"
"frozenset({'P60709', 'Q15286', 'TWEAK'})"
"frozenset({'Q9UBU9', 'TWEAK', 'Q08345'})"
"frozenset({'Q9GZY4', 'Q9BVV7', 'TWEAK'})"
"frozenset({'Q9NXX6', 'Q8IY18', 'TWEAK'})"
"frozenset({'Q6PJG6', 'Q13315', 'TWEAK'})"
"frozenset({'P33240', 'Q9UKR5', 'TWEAK'})"
"frozenset({'Q9UHK0', 'TWEAK', 'Q9NUQ9'})"
"frozenset({'O60674', 'TWEAK', 'Q9UGK3'})"
"frozenset({'P18146', 'P29475', 'TWEAK'})"
"frozenset({'Q15185', 'TWEAK', 'Q9UET6'})"
"frozenset({'Q9HAV0', 'TWEAK', 'P01111'})"
"frozenset({'O75886', 'Q1A5X7', 'TWEAK'})"
"frozenset({'Q9NR12', 'Q15326', 'TWEAK'})"
"frozenset({'TWEAK', 'P13010', 'Q7Z6Z7'})"
"frozenset({'Q9H9D4', 'Q8TBE0', 'TWEAK'})"
"frozenset({'P27449', 'Q8IX19', 'TWEAK'})"
"frozenset({'Q8N1B4', 'TWEAK', 'P61421'})"
"frozenset({'O00754', 'Q8N1G4', 'TWEAK'})"
"frozenset({'Q58EX7', 'TWEAK', 'Q6W0C5'})"
"frozenset({'O75182', 'Q9NV56', 'TWEAK'})"
"frozenset({'P05067', 'TWEAK', 'P56537'})"
"frozenset({'P53671', 'TWEAK', 'Q15293'})"
"frozenset({'Q9P286', 'TWEAK', 'O43464'})"
"frozenset({'O76071', 'TWEAK', 'Q9NRZ9'})"
"frozenset({'P20849', 'P48436', 'TWEAK'})"
"frozenset({'TWEAK', 'P0C5Y9', 'Q7Z2G1'})"
"frozenset({'O14974', 'Q96H55', 'TWEAK'})"
"frozenset({'Q15036', 'Q5SW79', 'TWEAK'})"
"frozenset({'Q99988', 'Q9BVL2', 'TWEAK'})"
"frozenset({'P55072', 'TWEAK', 'Q9BVL2'})"
"frozenset({'Q13464', 'TWEAK', 'O15481'})"
"frozenset({'P35579', 'Q01968', 'TWEAK'})"
"frozenset({'P82912', 'Q9BW61', 'TWEAK'})"
"frozenset({'Q9Y4P8', 'Q9BQC3', 'TWEAK'})"
"frozenset({'Q2M3C7', 'Q9NYA1', 'TWEAK'})"
"frozenset({'Q92973', 'TWEAK', 'Q9NY12'})"
"frozenset({'Q8N6M6', 'TWEAK', 'Q9UHC1'})"
"frozenset({'Q9UKT9', 'Q8TCE9', 'TWEAK'})"
"frozenset({'O00555', 'TWEAK', 'Q8IZP0'})"
"frozenset({'Q9HD23', 'O95071', 'TWEAK'})"
"frozenset({'Q15750', 'O15111', 'TWEAK'})"
"frozenset({'Q96PK6', 'Q9NUX5', 'TWEAK'})"
"frozenset({'Q86T82', 'Q9H307', 'TWEAK'})"
"frozenset({'P61158', 'TWEAK', 'Q14999'})"
"frozenset({'Q8IU60', 'Q3ZCM7', 'TWEAK'})"
"frozenset({'P24941', 'P14174', 'TWEAK'})"
"frozenset({'P19404', 'TWEAK', 'Q9UHD8'})"
"frozenset({'Q04323', 'TWEAK', 'Q16531'})"
"frozenset({'O95166', 'Q8IVP5', 'TWEAK'})"
"frozenset({'Q9HAU0', 'TWEAK', 'Q6VEQ5'})"
"frozenset({'Q15323', 'TWEAK', 'P40818'})"
"frozenset({'Q13555', 'TWEAK', 'P36873'})"
"frozenset({'P25445', 'TWEAK', 'Q9UKL3'})"
"frozenset({'Q92567', 'TWEAK', 'O75177'})"
"frozenset({'P16220', 'TWEAK', 'P17252'})"
"frozenset({'P41279', 'TWEAK', 'Q13748'})"
"frozenset({'P30084', 'P38646', 'TWEAK'})"
"frozenset({'P61088', 'P08670', 'TWEAK'})"
"frozenset({'TWEAK', 'O75594', 'Q9NP99'})"
"frozenset({'Q6NXE6', 'TWEAK', 'Q15554'})"
"frozenset({'TWEAK', 'O14656', 'Q5JU69'})"
"frozenset({'Q9NV70', 'TWEAK', 'Q13573'})"
"frozenset({'Q13426', 'TWEAK', 'Q93009'})"
"frozenset({'P04183', 'TWEAK', 'Q12840'})"
"frozenset({'P78362', 'Q9H8V3', 'TWEAK'})"
"frozenset({'Q15596', 'Q13136', 'TWEAK'})"
"frozenset({'Q96SQ5', 'Q8WXK1', 'TWEAK'})"
"frozenset({'TWEAK', 'O14867', 'O75330'})"
"frozenset({'Q07889', 'TWEAK', 'P06756'})"
"frozenset({'Q14653', 'TWEAK', 'P52789'})"
"frozenset({'TWEAK', 'Q7LDG7', 'P01111'})"
"frozenset({'O60888', 'P22736', 'TWEAK'})"
"frozenset({'Q9NQC1', 'Q9H5J0', 'TWEAK'})"
"frozenset({'P08247', 'Q13596', 'TWEAK'})"
"frozenset({'P51159', 'TWEAK', 'Q7L5N1'})"
"frozenset({'Q53TS8', 'TWEAK', 'O76064'})"
"frozenset({'P53007', 'Q13418', 'TWEAK'})"
"frozenset({'Q8IVT5', 'Q5TCZ1', 'TWEAK'})"
"frozenset({'P29590', 'TWEAK', 'O15164'})"
"frozenset({'P28070', 'Q93008', 'TWEAK'})"
"frozenset({'P54764', 'P52798', 'TWEAK'})"
"frozenset({'O95274', 'TWEAK', 'Q9P000'})"
"frozenset({'Q9Y2K6', 'TWEAK', 'O75943'})"
"frozenset({'O00567', 'Q99848', 'TWEAK'})"
"frozenset({'Q86UL8', 'TWEAK', 'P01135'})"
"frozenset({'P61221', 'TWEAK', 'P62306'})"
"frozenset({'P16104', 'Q9NPA8', 'TWEAK'})"
"frozenset({'P28482', 'TWEAK', 'P54710'})"
"frozenset({'P08620', 'TWEAK', 'Q02763'})"
"frozenset({'O60333', 'Q9NQT8', 'TWEAK'})"
"frozenset({'TWEAK', 'Q96NL6', 'Q13177'})"
"frozenset({'P36941', 'TWEAK', 'Q13077'})"
"frozenset({'TWEAK', 'Q96DB2', 'Q96BY7'})"
"frozenset({'Q14687', 'P14373', 'TWEAK'})"
"frozenset({'Q6RFH8', 'P17844', 'TWEAK'})"
"frozenset({'TWEAK', 'Q01831', 'Q01860'})"
"frozenset({'Q8N715', 'TWEAK', 'Q3B820'})"
"frozenset({'Q86VP6', 'TWEAK', 'Q13043'})"
"frozenset({'Q08209', 'TWEAK', 'P05412'})"
"frozenset({'Q92560', 'Q13887', 'TWEAK'})"
"frozenset({'Q96PU8', 'P19320', 'TWEAK'})"
"frozenset({'P35637', 'TWEAK', 'O95619'})"
"frozenset({'Q9UEW8', 'P15529', 'TWEAK'})"
"frozenset({'Q9Y3A4', 'Q14195', 'TWEAK'})"
"frozenset({'Q6NUN9', 'TWEAK', 'Q9BY77'})"
"frozenset({'Q99471', 'Q3KP44', 'TWEAK'})"
"frozenset({'Q9BUN8', 'A0FGR8', 'TWEAK'})"
"frozenset({'P68400', 'TWEAK', 'Q8N488'})"
"frozenset({'Q06203', 'P25205', 'TWEAK'})"
"frozenset({'O75695', 'P48730', 'TWEAK'})"
"frozenset({'TWEAK', 'P15170', 'Q9Y265'})"
"frozenset({'Q15843', 'TWEAK', 'Q9P2J3'})"
"frozenset({'Q96NB3', 'TWEAK', 'Q70Z53'})"
"frozenset({'Q15475', 'TWEAK', 'P12883'})"
"frozenset({'Q8N1B4', 'TWEAK', 'P20338'})"
"frozenset({'P25445', 'Q9H3D4', 'TWEAK'})"
"frozenset({'P16885', 'TWEAK', 'P42338'})"
"frozenset({'TWEAK', 'O00330', 'Q01844'})"
"frozenset({'P52333', 'P40189', 'TWEAK'})"
"frozenset({'Q9UNS1', 'P35244', 'TWEAK'})"
"frozenset({'Q15185', 'TWEAK', 'Q05655'})"
"frozenset({'P51946', 'Q13889', 'TWEAK'})"
"frozenset({'Q9NWT6', 'TWEAK', 'Q4KWH8'})"
"frozenset({'Q8IZQ1', 'TWEAK', 'Q676U5'})"
"frozenset({'Q9NRM7', 'TWEAK', 'Q13309'})"
"frozenset({'Q13111', 'Q9UHV2', 'TWEAK'})"
"frozenset({'Q96HC4', 'TWEAK', 'P57060'})"
"frozenset({'Q9NZ81', 'O00560', 'TWEAK'})"
"frozenset({'TWEAK', 'O94986', 'Q5TZA2'})"
"frozenset({'Q09161', 'TWEAK', 'Q9NX58'})"
"frozenset({'Q5SW79', 'TWEAK', 'Q9H3U1'})"
"frozenset({'Q9H1A4', 'Q9H6Y5', 'TWEAK'})"
"frozenset({'P68400', 'O43818', 'TWEAK'})"
"frozenset({'Q6UWB1', 'Q86WN2', 'TWEAK'})"
"frozenset({'Q8NDV3', 'TWEAK', 'Q8N3U4'})"
"frozenset({'O94826', 'P31040', 'TWEAK'})"
"frozenset({'Q08289', 'TWEAK', 'Q9UQM7'})"
"frozenset({'P68133', 'P02774', 'TWEAK'})"
"frozenset({'P86790', 'P46531', 'TWEAK'})"
"frozenset({'O43889', 'TWEAK', 'Q9Y6D0'})"
"frozenset({'P01860', 'P35219', 'TWEAK'})"
"frozenset({'Q05469', 'P54646', 'TWEAK'})"
"frozenset({'Q9NV31', 'TWEAK', 'Q9BZE4'})"
"frozenset({'P13569', 'O75477', 'TWEAK'})"
"frozenset({'Q16539', 'Q6STE5', 'TWEAK'})"
"frozenset({'Q14978', 'O00716', 'TWEAK'})"
"frozenset({'P61289', 'P25788', 'TWEAK'})"
"frozenset({'Q99576', 'Q15714', 'TWEAK'})"
"frozenset({'O60262', 'Q8N349', 'TWEAK'})"
"frozenset({'Q96S94', 'P52333', 'TWEAK'})"
"frozenset({'Q13432', 'Q7L099', 'TWEAK'})"
"frozenset({'P33991', 'TWEAK', 'P13612'})"
"frozenset({'P41235', 'Q16594', 'TWEAK'})"
"frozenset({'P99999', 'P00167', 'TWEAK'})"
"frozenset({'Q6NZI2', 'P61244', 'TWEAK'})"
"frozenset({'O43684', 'TWEAK', 'Q93009'})"
"frozenset({'Q13509', 'P56180', 'TWEAK'})"
"frozenset({'P48643', 'TWEAK', 'Q9BUR4'})"
"frozenset({'P02533', 'Q13835', 'TWEAK'})"
"frozenset({'Q8N448', 'TWEAK', 'Q9Y6R0'})"
"frozenset({'Q8WU90', 'Q8NI27', 'TWEAK'})"
"frozenset({'P31949', 'TWEAK', 'P15336'})"
"frozenset({'Q16849', 'P21145', 'TWEAK'})"
"frozenset({'P13747', 'TWEAK', 'Q03519'})"
"frozenset({'Q9H0E7', 'TWEAK', 'Q70CQ1'})"
"frozenset({'Q9H0R8', 'TWEAK', 'P04080'})"
"frozenset({'P62310', 'O95777', 'TWEAK'})"
"frozenset({'Q9BVP2', 'P04637', 'TWEAK'})"
"frozenset({'P46937', 'TWEAK', 'P15374'})"
"frozenset({'P20618', 'Q9Y244', 'TWEAK'})"
"frozenset({'O43869', 'TWEAK', 'P35626'})"
"frozenset({'P11142', 'TWEAK', 'O95817'})"
"frozenset({'P53420', 'P18827', 'TWEAK'})"
"frozenset({'P13716', 'P52594', 'TWEAK'})"
"frozenset({'P62879', 'Q9UBY5', 'TWEAK'})"
"frozenset({'Q9NZI8', 'TWEAK', 'Q9UKA9'})"
"frozenset({'Q5T4S7', 'TWEAK', 'P16333'})"
"frozenset({'Q86VR2', 'Q9HCE1', 'TWEAK'})"
"frozenset({'Q9BYT3', 'Q9Y4E8', 'TWEAK'})"
"frozenset({'Q5VST9', 'Q96FF9', 'TWEAK'})"
"frozenset({'Q5JTZ9', 'Q96DR7', 'TWEAK'})"
"frozenset({'Q9UJM3', 'TWEAK', 'P27986'})"
"frozenset({'Q9Y266', 'O75037', 'TWEAK'})"
"frozenset({'P05161', 'TWEAK', 'P07355'})"
"frozenset({'Q15696', 'TWEAK', 'O15042'})"
"frozenset({'P04216', 'TWEAK', 'Q8TAP9'})"
"frozenset({'P45983', 'TWEAK', 'Q9Y2U5'})"
"frozenset({'Q9Y3B4', 'Q8IY81', 'TWEAK'})"
"frozenset({'O95166', 'Q13868', 'TWEAK'})"
"frozenset({'Q92841', 'P35244', 'TWEAK'})"
"frozenset({'P62993', 'P10644', 'TWEAK'})"
"frozenset({'P29692', 'Q07020', 'TWEAK'})"
"frozenset({'O95619', 'Q9Y4A5', 'TWEAK'})"
"frozenset({'Q9BVL4', 'TWEAK', 'Q8IXQ9'})"
"frozenset({'Q14254', 'TWEAK', 'P63027'})"
"frozenset({'P11142', 'Q9H853', 'TWEAK'})"
"frozenset({'Q07065', 'TWEAK', 'Q9H0W5'})"
"frozenset({'Q8N3C0', 'Q9H1I8', 'TWEAK'})"
"frozenset({'P25205', 'Q9BTE3', 'TWEAK'})"
"frozenset({'Q9C0F1', 'P45984', 'TWEAK'})"
"frozenset({'O60503', 'Q9UBI6', 'TWEAK'})"
"frozenset({'Q9Y3C0', 'Q9UBB9', 'TWEAK'})"
"frozenset({'Q9HCY8', 'TWEAK', 'Q9P2P5'})"
"frozenset({'O75147', 'TWEAK', 'P62424'})"
"frozenset({'P42858', 'P00414', 'TWEAK'})"
"frozenset({'Q6DD88', 'TWEAK', 'P63104'})"
"frozenset({'Q13323', 'Q969X1', 'TWEAK'})"
"frozenset({'P35232', 'Q99814', 'TWEAK'})"
"frozenset({'P49585', 'Q9HAN9', 'TWEAK'})"
"frozenset({'P16455', 'Q9UL46', 'TWEAK'})"
"frozenset({'Q13618', 'Q96GG9', 'TWEAK'})"
"frozenset({'O43281', 'TWEAK', 'Q05397'})"
"frozenset({'P40763', 'Q9Y616', 'TWEAK'})"
"frozenset({'TWEAK', 'P46783', 'Q5TC82'})"
"frozenset({'Q9HCE1', 'Q5JTW2', 'TWEAK'})"
"frozenset({'O95886', 'TWEAK', 'P27986'})"
"frozenset({'P22528', 'O75461', 'TWEAK'})"
"frozenset({'TWEAK', 'Q96BJ3', 'Q8TBB1'})"
"frozenset({'TWEAK', 'P13612', 'Q86UX7'})"
"frozenset({'Q9H2F9', 'TWEAK', 'P63172'})"
"frozenset({'O00221', 'TWEAK', 'O15111'})"
"frozenset({'O75746', 'P84022', 'TWEAK'})"
"frozenset({'Q96CW1', 'TWEAK', 'Q8N6M0'})"
"frozenset({'Q9H093', 'Q15831', 'TWEAK'})"
"frozenset({'P98170', 'P07711', 'TWEAK'})"
"frozenset({'P29966', 'TWEAK', 'O15264'})"
"frozenset({'Q03135', 'P49815', 'TWEAK'})"
"frozenset({'P62820', 'P07864', 'TWEAK'})"
"frozenset({'P78371', 'TWEAK', 'Q8N8Q3'})"
"frozenset({'Q9UQ16', 'Q9Y5X3', 'TWEAK'})"
"frozenset({'P35226', 'P14373', 'TWEAK'})"
"frozenset({'P22735', 'Q5TA78', 'TWEAK'})"
"frozenset({'TWEAK', 'P04637', 'O00571'})"
"frozenset({'P40938', 'Q7L2J0', 'TWEAK'})"
"frozenset({'Q9UHB6', 'TWEAK', 'P53675'})"
"frozenset({'Q15628', 'TWEAK', 'Q14257'})"
"frozenset({'Q8WV44', 'Q6ZU80', 'TWEAK'})"
"frozenset({'P09683', 'P47872', 'TWEAK'})"
"frozenset({'P45983', 'P31947', 'TWEAK'})"
"frozenset({'O43424', 'TWEAK', 'Q9HD26'})"
"frozenset({'TWEAK', 'P53803', 'P62875'})"
"frozenset({'Q13286', 'TWEAK', 'P45880'})"
"frozenset({'Q8NH19', 'TWEAK', 'P25098'})"
"frozenset({'P51858', 'Q96SB4', 'TWEAK'})"
"frozenset({'Q9NRM7', 'Q9H8S9', 'TWEAK'})"
"frozenset({'Q9UK32', 'Q8N205', 'TWEAK'})"
"frozenset({'P68366', 'Q96AH8', 'TWEAK'})"
"frozenset({'P43686', 'P60900', 'TWEAK'})"
"frozenset({'TWEAK', 'P50750', 'O60216'})"
"frozenset({'Q6PJG9', 'TWEAK', 'Q9HD26'})"
"frozenset({'Q9H0A6', 'P36776', 'TWEAK'})"
"frozenset({'P62829', 'P46783', 'TWEAK'})"
"frozenset({'Q13651', 'P01563', 'TWEAK'})"
"frozenset({'Q96B67', 'Q9H0M0', 'TWEAK'})"
"frozenset({'Q16254', 'P25205', 'TWEAK'})"
"frozenset({'O15318', 'TWEAK', 'P62701'})"
"frozenset({'Q9ULW2', 'O75197', 'TWEAK'})"
"frozenset({'TWEAK', 'O43252', 'Q9BWD1'})"
"frozenset({'TWEAK', 'P11274', 'P46108'})"
"frozenset({'Q6PI77', 'Q3SY00', 'TWEAK'})"
"frozenset({'P08238', 'TWEAK', 'P51812'})"
"frozenset({'A8MQ03', 'P78337', 'TWEAK'})"
"frozenset({'P23508', 'P46926', 'TWEAK'})"
"frozenset({'Q96EX3', 'Q9NP97', 'TWEAK'})"
"frozenset({'Q14738', 'TWEAK', 'Q13257'})"
"frozenset({'Q9UK08', 'P54646', 'TWEAK'})"
"frozenset({'P08670', 'P14555', 'TWEAK'})"
"frozenset({'P22612', 'O95918', 'TWEAK'})"
"frozenset({'Q9H788', 'Q15435', 'TWEAK'})"
"frozenset({'Q5SRE5', 'Q8NFH3', 'TWEAK'})"
"frozenset({'Q96KP6', 'P48745', 'TWEAK'})"
"frozenset({'P61289', 'TWEAK', 'P30305'})"
"frozenset({'Q16512', 'Q8TD10', 'TWEAK'})"
"frozenset({'Q92570', 'TWEAK', 'Q9UGL1'})"
"frozenset({'Q12873', 'TWEAK', 'P63279'})"
"frozenset({'P61457', 'TWEAK', 'Q13936'})"
"frozenset({'P68400', 'Q9NQ29', 'TWEAK'})"
"frozenset({'O95166', 'P17612', 'TWEAK'})"
"frozenset({'Q03405', 'TWEAK', 'Q00341'})"
"frozenset({'Q14318', 'TWEAK', 'Q9NQ11'})"
"frozenset({'Q92870', 'TWEAK', 'Q9H2C0'})"
"frozenset({'O75147', 'TWEAK', 'Q16531'})"
"frozenset({'P57078', 'TWEAK', 'O95757'})"
"frozenset({'Q9BYV9', 'TWEAK', 'Q9NRE2'})"
"frozenset({'Q9H8T0', 'TWEAK', 'Q92574'})"
"frozenset({'Q02878', 'P62258', 'TWEAK'})"
"frozenset({'Q9UIV1', 'TWEAK', 'Q9BPU9'})"
"frozenset({'P54619', 'Q16720', 'TWEAK'})"
"frozenset({'Q99623', 'P58107', 'TWEAK'})"
"frozenset({'O60260', 'P34932', 'TWEAK'})"
"frozenset({'Q03135', 'O95622', 'TWEAK'})"
"frozenset({'Q6X784', 'Q3ZCM7', 'TWEAK'})"
"frozenset({'O60858', 'P0DP23', 'TWEAK'})"
"frozenset({'Q15287', 'Q9UMS4', 'TWEAK'})"
"frozenset({'Q08AD1', 'TWEAK', 'O14980'})"
"frozenset({'Q9NRD1', 'TWEAK', 'P04406'})"
"frozenset({'P42768', 'TWEAK', 'P08575'})"
"frozenset({'Q13523', 'P32121', 'TWEAK'})"
"frozenset({'Q9BTM1', 'O95831', 'TWEAK'})"
"frozenset({'Q9BQ87', 'Q01167', 'TWEAK'})"
"frozenset({'P23284', 'TWEAK', 'P49736'})"
"frozenset({'Q9Y2D8', 'TWEAK', 'Q14240'})"
"frozenset({'P08514', 'TWEAK', 'Q14315'})"
"frozenset({'Q13557', 'Q7Z3S7', 'TWEAK'})"
"frozenset({'Q58EX7', 'Q99633', 'TWEAK'})"
"frozenset({'Q96BA8', 'Q15139', 'TWEAK'})"
"frozenset({'Q5T215', 'P0DI82', 'TWEAK'})"
"frozenset({'Q5VW32', 'TWEAK', 'Q9NZZ3'})"
"frozenset({'Q3YEC7', 'P04629', 'TWEAK'})"
"frozenset({'Q96BH1', 'Q4G0X4', 'TWEAK'})"
"frozenset({'Q9P258', 'P46940', 'TWEAK'})"
"frozenset({'P05161', 'TWEAK', 'P09914'})"
"frozenset({'Q9HCU9', 'P07900', 'TWEAK'})"
"frozenset({'Q07890', 'TWEAK', 'P56199'})"
"frozenset({'A6H8Y1', 'TWEAK', 'Q07812'})"
"frozenset({'TWEAK', 'Q8NGI7', 'P25098'})"
"frozenset({'TWEAK', 'P67775', 'Q9P2X7'})"
"frozenset({'O14633', 'TWEAK', 'Q9UGL9'})"
"frozenset({'P22455', 'TWEAK', 'P01308'})"
"frozenset({'Q96QE3', 'TWEAK', 'Q9H081'})"
"frozenset({'P31943', 'TWEAK', 'Q7L5N1'})"
"frozenset({'O14617', 'Q9UBX2', 'TWEAK'})"
"frozenset({'Q14738', 'TWEAK', 'P61296'})"
"frozenset({'TWEAK', 'Q9H0W5', 'Q9Y265'})"
"frozenset({'Q6P1J9', 'TWEAK', 'Q9GZP4'})"
"frozenset({'P16083', 'Q9H8Y8', 'TWEAK'})"
"frozenset({'P30044', 'TWEAK', 'Q6MZP7'})"
"frozenset({'P35579', 'Q9H410', 'TWEAK'})"
"frozenset({'Q9H6T3', 'O15212', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9NP77', 'Q8WVJ2'})"
"frozenset({'Q6P1L8', 'Q9HD33', 'TWEAK'})"
"frozenset({'Q9BUH8', 'Q13315', 'TWEAK'})"
"frozenset({'Q9UKS6', 'P50502', 'TWEAK'})"
"frozenset({'Q9P212', 'P61224', 'TWEAK'})"
"frozenset({'TWEAK', 'Q8WW59', 'P56385'})"
"frozenset({'TWEAK', 'P00533', 'Q16795'})"
"frozenset({'P62330', 'TWEAK', 'O14939'})"
"frozenset({'Q9Y2J2', 'Q8TAA9', 'TWEAK'})"
"frozenset({'P61326', 'TWEAK', 'Q9P013'})"
"frozenset({'Q9P2W3', 'Q8NGC0', 'TWEAK'})"
"frozenset({'TWEAK', 'Q96M27', 'P05067'})"
"frozenset({'P30480', 'TWEAK', 'P00492'})"
"frozenset({'P49841', 'P24385', 'TWEAK'})"
"frozenset({'Q92913', 'P09619', 'TWEAK'})"
"frozenset({'O75312', 'Q9UBT2', 'TWEAK'})"
"frozenset({'Q68D86', 'P33993', 'TWEAK'})"
"frozenset({'P67809', 'TWEAK', 'Q13283'})"
"frozenset({'Q8NC69', 'TWEAK', 'Q9UK80'})"
"frozenset({'P05187', 'Q5T753', 'TWEAK'})"
"frozenset({'Q9NQ84', 'Q9NRM2', 'TWEAK'})"
"frozenset({'P17174', 'O00625', 'TWEAK'})"
"frozenset({'O15075', 'TWEAK', 'Q96S53'})"
"frozenset({'P0CAP2', 'P30876', 'TWEAK'})"
"frozenset({'O94806', 'TWEAK', 'Q02930'})"
"frozenset({'Q15811', 'Q99962', 'TWEAK'})"
"frozenset({'P15976', 'Q9NVC6', 'TWEAK'})"
"frozenset({'Q09161', 'Q14764', 'TWEAK'})"
"frozenset({'O60566', 'TWEAK', 'Q00987'})"
"frozenset({'O75340', 'TWEAK', 'P29401'})"
"frozenset({'P02751', 'TWEAK', 'P11177'})"
"frozenset({'Q3MHD2', 'Q96GG9', 'TWEAK'})"
"frozenset({'Q8IYE0', 'O95995', 'TWEAK'})"
"frozenset({'Q16288', 'TWEAK', 'P42679'})"
"frozenset({'Q15006', 'Q96CT7', 'TWEAK'})"
"frozenset({'P22612', 'TWEAK', 'O75385'})"
"frozenset({'Q9HCE7', 'TWEAK', 'Q9H160'})"
"frozenset({'P07741', 'P07195', 'TWEAK'})"
"frozenset({'Q96PG8', 'Q07820', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9BS26', 'P18206'})"
"frozenset({'P35249', 'Q9H4P4', 'TWEAK'})"
"frozenset({'Q96KK4', 'TWEAK', 'P25098'})"
"frozenset({'P35226', 'P49411', 'TWEAK'})"
"frozenset({'Q9Y5M8', 'TWEAK', 'Q8WVC6'})"
"frozenset({'Q13813', 'P55210', 'TWEAK'})"
"frozenset({'Q8WW59', 'TWEAK', 'O75439'})"
"frozenset({'P15056', 'P28482', 'TWEAK'})"
"frozenset({'P49841', 'O95377', 'TWEAK'})"
"frozenset({'Q13618', 'P09417', 'TWEAK'})"
"frozenset({'P03372', 'P11586', 'TWEAK'})"
"frozenset({'P59998', 'P62140', 'TWEAK'})"
"frozenset({'TWEAK', 'P01106', 'Q9ULZ2'})"
"frozenset({'P35222', 'TWEAK', 'P07195'})"
"frozenset({'O00459', 'TWEAK', 'O15530'})"
"frozenset({'Q8IWL3', 'Q9ULX6', 'TWEAK'})"
"frozenset({'Q9Y5M8', 'Q9Y2Q3', 'TWEAK'})"
"frozenset({'Q96HR8', 'TWEAK', 'O60504'})"
"frozenset({'Q8NEM7', 'TWEAK', 'Q14CW9'})"
"frozenset({'Q13555', 'Q7Z3S7', 'TWEAK'})"
"frozenset({'P07858', 'TWEAK', 'Q13489'})"
"frozenset({'P48634', 'Q13148', 'TWEAK'})"
"frozenset({'Q05086', 'Q9NR33', 'TWEAK'})"
"frozenset({'O00459', 'O14544', 'TWEAK'})"
"frozenset({'Q9UIG4', 'TWEAK', 'A1L162'})"
"frozenset({'P42684', 'TWEAK', 'Q16643'})"
"frozenset({'Q8WZA2', 'P30405', 'TWEAK'})"
"frozenset({'P27797', 'P04222', 'TWEAK'})"
"frozenset({'Q9BVP2', 'TWEAK', 'P62244'})"
