negatives
"frozenset({'Q3KQZ1', 'Q15437', 'FSH'})"
"frozenset({'P11021', 'A5D8T8', 'FSH'})"
"frozenset({'P53801', 'P12931', 'FSH'})"
"frozenset({'P52597', 'FSH', 'Q32P51'})"
"frozenset({'Q13158', 'P19474', 'FSH'})"
"frozenset({'Q6NVV7', 'FSH', 'P05067'})"
"frozenset({'P08567', 'P26038', 'FSH'})"
"frozenset({'Q8TAB5', 'P43360', 'FSH'})"
"frozenset({'Q9GZP9', 'Q86TM6', 'FSH'})"
"frozenset({'Q63ZY3', 'Q92917', 'FSH'})"
"frozenset({'Q86UA6', 'Q8N806', 'FSH'})"
"frozenset({'FSH', 'Q9NRL2', 'O14757'})"
"frozenset({'P21291', 'FSH', 'P37837'})"
"frozenset({'Q9UPX8', 'Q9NSB8', 'FSH'})"
"frozenset({'Q13151', 'FSH', 'O14979'})"
"frozenset({'Q13131', 'Q9UQK1', 'FSH'})"
"frozenset({'Q15717', 'Q9ULM6', 'FSH'})"
"frozenset({'Q16637', 'Q9BUR4', 'FSH'})"
"frozenset({'Q658Y4', 'O14980', 'FSH'})"
"frozenset({'P49720', 'Q15459', 'FSH'})"
"frozenset({'P15498', 'P60763', 'FSH'})"
"frozenset({'O75179', 'FSH', 'Q96GD4'})"
"frozenset({'P54577', 'P63261', 'FSH'})"
"frozenset({'Q9UHP3', 'Q9BUY5', 'FSH'})"
"frozenset({'Q9UBV2', 'Q9BV94', 'FSH'})"
"frozenset({'P11233', 'Q9UHA4', 'FSH'})"
"frozenset({'Q86UK5', 'Q9UGP8', 'FSH'})"
"frozenset({'P51172', 'FSH', 'P37088'})"
"frozenset({'Q16540', 'FSH', 'Q9BYR6'})"
"frozenset({'Q16537', 'Q12834', 'FSH'})"
"frozenset({'P46109', 'P51692', 'FSH'})"
"frozenset({'Q8IX06', 'FSH', 'Q9UBU9'})"
"frozenset({'O60841', 'Q9NWS0', 'FSH'})"
"frozenset({'FSH', 'Q8TB52', 'Q15047'})"
"frozenset({'Q9NUX5', 'P46952', 'FSH'})"
"frozenset({'Q9BU70', 'Q96QB1', 'FSH'})"
"frozenset({'Q8N137', 'Q9BUR4', 'FSH'})"
"frozenset({'P35244', 'Q13263', 'FSH'})"
"frozenset({'P23258', 'Q96RT8', 'FSH'})"
"frozenset({'Q9BWX1', 'FSH', 'O95376'})"
"frozenset({'Q14155', 'O60880', 'FSH'})"
"frozenset({'Q9NQ50', 'FSH', 'P07910'})"
"frozenset({'P67775', 'FSH', 'P49023'})"
"frozenset({'Q6UVJ0', 'FSH', 'Q96CN7'})"
"frozenset({'O43719', 'P23246', 'FSH'})"
"frozenset({'FSH', 'Q96S65', 'Q96SQ5'})"
"frozenset({'P23508', 'Q7Z4V0', 'FSH'})"
"frozenset({'Q96QT6', 'Q9P0U3', 'FSH'})"
"frozenset({'O60264', 'Q96P70', 'FSH'})"
"frozenset({'Q6YP21', 'O95166', 'FSH'})"
"frozenset({'Q9H8W5', 'P60520', 'FSH'})"
"frozenset({'P49639', 'Q5TA81', 'FSH'})"
"frozenset({'P49736', 'O00571', 'FSH'})"
"frozenset({'Q9BQK8', 'FSH', 'O75044'})"
"frozenset({'FSH', 'Q13309', 'Q9NS23'})"
"frozenset({'Q15836', 'Q13277', 'FSH'})"
"frozenset({'Q9BRK4', 'FSH', 'Q96T37'})"
"frozenset({'O75128', 'Q9UKS6', 'FSH'})"
"frozenset({'O60825', 'P35557', 'FSH'})"
"frozenset({'Q6NYC8', 'O75558', 'FSH'})"
"frozenset({'Q05516', 'Q96HS1', 'FSH'})"
"frozenset({'Q5T619', 'Q96HB5', 'FSH'})"
"frozenset({'Q9NRI5', 'FSH', 'Q8N4L8'})"
"frozenset({'Q13148', 'FSH', 'Q9BQG0'})"
"frozenset({'Q9P2P5', 'FSH', 'Q8NET4'})"
"frozenset({'P24844', 'P17252', 'FSH'})"
"frozenset({'P04629', 'Q8WXX5', 'FSH'})"
"frozenset({'Q8IZU0', 'O94868', 'FSH'})"
"frozenset({'Q15717', 'Q99717', 'FSH'})"
"frozenset({'P14866', 'FSH', 'Q12906'})"
"frozenset({'Q8IY57', 'P63208', 'FSH'})"
"frozenset({'P41236', 'Q6FI81', 'FSH'})"
"frozenset({'Q9UKB1', 'FSH', 'P35222'})"
"frozenset({'Q7Z3S9', 'FSH', 'P09923'})"
"frozenset({'Q6UXX9', 'P60372', 'FSH'})"
"frozenset({'Q6DKI2', 'Q5VZM2', 'FSH'})"
"frozenset({'P31947', 'O95171', 'FSH'})"
"frozenset({'P04222', 'O75347', 'FSH'})"
"frozenset({'O15389', 'Q08AM6', 'FSH'})"
"frozenset({'P07948', 'Q07820', 'FSH'})"
"frozenset({'Q15437', 'P98082', 'FSH'})"
"frozenset({'Q69YQ0', 'Q16643', 'FSH'})"
"frozenset({'A8MVW0', 'Q13554', 'FSH'})"
"frozenset({'Q9Y6M1', 'O15264', 'FSH'})"
"frozenset({'Q92956', 'Q14703', 'FSH'})"
"frozenset({'P25100', 'Q13425', 'FSH'})"
"frozenset({'FSH', 'Q9C009', 'O00411'})"
"frozenset({'P53992', 'Q9H3D4', 'FSH'})"
"frozenset({'P62837', 'Q86XR8', 'FSH'})"
"frozenset({'P14625', 'FSH', 'P56696'})"
"frozenset({'Q13895', 'P05412', 'FSH'})"
"frozenset({'P17987', 'Q92466', 'FSH'})"
"frozenset({'FSH', 'Q16650', 'O14593'})"
"frozenset({'Q9Y547', 'P37198', 'FSH'})"
"frozenset({'P24863', 'P50990', 'FSH'})"
"frozenset({'Q5TCZ1', 'O95544', 'FSH'})"
"frozenset({'Q13616', 'P25786', 'FSH'})"
"frozenset({'O43809', 'FSH', 'P28702'})"
"frozenset({'P02765', 'P25788', 'FSH'})"
"frozenset({'O43679', 'P38398', 'FSH'})"
"frozenset({'Q16555', 'Q14194', 'FSH'})"
"frozenset({'Q9NQB0', 'Q9Y265', 'FSH'})"
"frozenset({'Q5T447', 'FSH', 'P18146'})"
"frozenset({'Q9BY89', 'Q504Q3', 'FSH'})"
"frozenset({'Q8IVA1', 'P50221', 'FSH'})"
"frozenset({'Q01892', 'P05412', 'FSH'})"
"frozenset({'Q99594', 'FSH', 'P08559'})"
"frozenset({'P11166', 'O14908', 'FSH'})"
"frozenset({'P08034', 'Q9NRR5', 'FSH'})"
"frozenset({'Q9NPD3', 'P23396', 'FSH'})"
"frozenset({'Q7Z417', 'FSH', 'Q5TA82'})"
"frozenset({'Q92769', 'Q9Y4B6', 'FSH'})"
"frozenset({'P47898', 'P08754', 'FSH'})"
"frozenset({'P20339', 'P49815', 'FSH'})"
"frozenset({'P06744', 'Q14999', 'FSH'})"
"frozenset({'Q8WYR1', 'P48736', 'FSH'})"
"frozenset({'O75161', 'FSH', 'O75153'})"
"frozenset({'Q96TA1', 'P01116', 'FSH'})"
"frozenset({'FSH', 'P0DP24', 'P40337'})"
"frozenset({'P04198', 'P34947', 'FSH'})"
"frozenset({'P61421', 'P51149', 'FSH'})"
"frozenset({'O00505', 'Q9H8W3', 'FSH'})"
"frozenset({'P20366', 'P27487', 'FSH'})"
"frozenset({'Q92608', 'Q13573', 'FSH'})"
"frozenset({'Q14145', 'FSH', 'Q8NFC6'})"
"frozenset({'P01106', 'Q9Y6K0', 'FSH'})"
"frozenset({'Q04724', 'Q9HC29', 'FSH'})"
"frozenset({'FSH', 'Q9UBV8', 'P35240'})"
"frozenset({'P05109', 'P38936', 'FSH'})"
"frozenset({'P46778', 'FSH', 'P62753'})"
"frozenset({'O95363', 'FSH', 'Q6UY14'})"
"frozenset({'FSH', 'P15884', 'P29972'})"
"frozenset({'Q93077', 'Q7Z2G1', 'FSH'})"
"frozenset({'Q8N3Y1', 'O14737', 'FSH'})"
"frozenset({'Q86UX7', 'FSH', 'P02751'})"
"frozenset({'Q16254', 'P00374', 'FSH'})"
"frozenset({'Q8N8A2', 'P38398', 'FSH'})"
"frozenset({'FSH', 'P56179', 'Q13315'})"
"frozenset({'Q6QNY0', 'Q8TDM0', 'FSH'})"
"frozenset({'Q9UL15', 'Q9BXM7', 'FSH'})"
"frozenset({'O60518', 'Q9ULX7', 'FSH'})"
"frozenset({'P10155', 'FSH', 'Q9C0B0'})"
"frozenset({'Q02548', 'P20226', 'FSH'})"
"frozenset({'Q13620', 'P30048', 'FSH'})"
"frozenset({'Q16891', 'P54257', 'FSH'})"
"frozenset({'Q96LZ3', 'Q9UIK4', 'FSH'})"
"frozenset({'O95503', 'FSH', 'Q8NET4'})"
"frozenset({'O75953', 'Q13309', 'FSH'})"
"frozenset({'Q9UHA4', 'O95670', 'FSH'})"
"frozenset({'Q9H492', 'P78559', 'FSH'})"
"frozenset({'P0DN76', 'P04264', 'FSH'})"
"frozenset({'Q9UKE5', 'FSH', 'P35222'})"
"frozenset({'P20674', 'FSH', 'Q96B26'})"
"frozenset({'Q8NAP3', 'Q9Y3T9', 'FSH'})"
"frozenset({'O95872', 'P49917', 'FSH'})"
"frozenset({'Q96JG6', 'Q969Q6', 'FSH'})"
"frozenset({'Q9H6Z9', 'P48729', 'FSH'})"
"frozenset({'Q15542', 'FSH', 'Q9UM13'})"
"frozenset({'P62266', 'FSH', 'P62753'})"
"frozenset({'FSH', 'P17844', 'Q13470'})"
"frozenset({'Q96FJ0', 'P14373', 'FSH'})"
"frozenset({'Q00610', 'O00291', 'FSH'})"
"frozenset({'P31946', 'P48730', 'FSH'})"
"frozenset({'P0C7N5', 'P38405', 'FSH'})"
"frozenset({'Q13347', 'Q9NX58', 'FSH'})"
"frozenset({'Q15678', 'Q8IX03', 'FSH'})"
"frozenset({'Q86UW9', 'Q6P5X5', 'FSH'})"
"frozenset({'Q96KQ7', 'O15084', 'FSH'})"
"frozenset({'Q8WZ42', 'FSH', 'P20929'})"
"frozenset({'P52803', 'P11362', 'FSH'})"
"frozenset({'Q29RF7', 'O95644', 'FSH'})"
"frozenset({'P0CG04', 'O43765', 'FSH'})"
"frozenset({'P17987', 'Q04206', 'FSH'})"
"frozenset({'P17275', 'Q06481', 'FSH'})"
"frozenset({'Q9P0J0', 'O75438', 'FSH'})"
"frozenset({'Q9UBB4', 'Q9Y3D3', 'FSH'})"
"frozenset({'Q8IVF5', 'P20073', 'FSH'})"
"frozenset({'Q86YP4', 'Q9P2D1', 'FSH'})"
"frozenset({'P01112', 'Q9UJF2', 'FSH'})"
"frozenset({'P30041', 'Q14541', 'FSH'})"
"frozenset({'P10599', 'P23246', 'FSH'})"
"frozenset({'O75448', 'P10827', 'FSH'})"
"frozenset({'Q12933', 'P0DP24', 'FSH'})"
"frozenset({'P62424', 'P46781', 'FSH'})"
"frozenset({'O75147', 'O95819', 'FSH'})"
"frozenset({'P05814', 'FSH', 'Q13315'})"
"frozenset({'P35244', 'O15511', 'FSH'})"
"frozenset({'P18887', 'Q07021', 'FSH'})"
"frozenset({'P55060', 'FSH', 'Q13310'})"
"frozenset({'Q9BYN0', 'P07951', 'FSH'})"
"frozenset({'Q9Y6I3', 'Q9UBC2', 'FSH'})"
"frozenset({'P68431', 'Q9UHJ3', 'FSH'})"
"frozenset({'Q99471', 'P61758', 'FSH'})"
"frozenset({'Q09472', 'FSH', 'Q9Y297'})"
"frozenset({'Q9UKA9', 'FSH', 'Q92945'})"
"frozenset({'Q8N129', 'O15335', 'FSH'})"
"frozenset({'Q9Y2G2', 'Q9NPF5', 'FSH'})"
"frozenset({'Q9NQC3', 'Q96KR6', 'FSH'})"
"frozenset({'Q13618', 'P10071', 'FSH'})"
"frozenset({'P49736', 'P46940', 'FSH'})"
"frozenset({'Q9NZD8', 'P31943', 'FSH'})"
"frozenset({'P31947', 'FSH', 'O43166'})"
"frozenset({'P30414', 'FSH', 'Q13315'})"
"frozenset({'Q6P1M3', 'FSH', 'Q92796'})"
"frozenset({'O75643', 'FSH', 'P40337'})"
"frozenset({'Q92841', 'Q15843', 'FSH'})"
"frozenset({'Q13309', 'Q8TEP8', 'FSH'})"
"frozenset({'P28062', 'Q92616', 'FSH'})"
"frozenset({'O95678', 'FSH', 'Q6A162'})"
"frozenset({'P01106', 'P41236', 'FSH'})"
"frozenset({'Q92851', 'Q13158', 'FSH'})"
"frozenset({'P19320', 'P49406', 'FSH'})"
"frozenset({'P28062', 'P60900', 'FSH'})"
"frozenset({'P00519', 'P68366', 'FSH'})"
"frozenset({'Q12834', 'O15350', 'FSH'})"
"frozenset({'P62993', 'O15117', 'FSH'})"
"frozenset({'P01889', 'P00491', 'FSH'})"
"frozenset({'Q9BYV9', 'FSH', 'Q8TBE0'})"
"frozenset({'O75159', 'Q08334', 'FSH'})"
"frozenset({'P02768', 'P02652', 'FSH'})"
"frozenset({'P08123', 'P56199', 'FSH'})"
"frozenset({'Q5QNW6', 'P0C0S5', 'FSH'})"
"frozenset({'Q07890', 'Q92529', 'FSH'})"
"frozenset({'Q9UNM6', 'FSH', 'P61289'})"
"frozenset({'P45983', 'P63211', 'FSH'})"
"frozenset({'P18124', 'P62829', 'FSH'})"
"frozenset({'P41159', 'P26951', 'FSH'})"
"frozenset({'O00505', 'FSH', 'Q8TBE0'})"
"frozenset({'Q15907', 'P20340', 'FSH'})"
"frozenset({'P05113', 'P26951', 'FSH'})"
"frozenset({'Q86UK5', 'Q9Y394', 'FSH'})"
"frozenset({'Q13332', 'P26641', 'FSH'})"
"frozenset({'O15533', 'P53618', 'FSH'})"
"frozenset({'P49767', 'FSH', 'P06213'})"
"frozenset({'Q53QZ3', 'Q9NPY3', 'FSH'})"
"frozenset({'Q9H1C0', 'Q9UBI6', 'FSH'})"
"frozenset({'Q00653', 'Q07817', 'FSH'})"
"frozenset({'Q3SYG4', 'Q5T7N2', 'FSH'})"
"frozenset({'Q96S52', 'FSH', 'Q9BYR9'})"
"frozenset({'Q9Y597', 'P46940', 'FSH'})"
"frozenset({'P31274', 'A8MQ03', 'FSH'})"
"frozenset({'Q9BYC9', 'P17026', 'FSH'})"
"frozenset({'Q05397', 'Q9H3S7', 'FSH'})"
"frozenset({'Q9NPF4', 'Q99569', 'FSH'})"
"frozenset({'Q9Y672', 'FSH', 'P43088'})"
"frozenset({'P22087', 'O15131', 'FSH'})"
"frozenset({'P31943', 'Q9BV73', 'FSH'})"
"frozenset({'Q9UPQ9', 'Q13616', 'FSH'})"
"frozenset({'Q9P2W3', 'FSH', 'Q8NGS5'})"
"frozenset({'P41743', 'Q5SW24', 'FSH'})"
"frozenset({'P42701', 'P01579', 'FSH'})"
"frozenset({'Q15118', 'Q8WYN0', 'FSH'})"
"frozenset({'Q13255', 'Q8TCU5', 'FSH'})"
"frozenset({'Q9Y266', 'Q9HBG6', 'FSH'})"
"frozenset({'P49069', 'FSH', 'O00264'})"
"frozenset({'Q15796', 'Q9H160', 'FSH'})"
"frozenset({'O94776', 'Q6IN85', 'FSH'})"
"frozenset({'Q9Y2X3', 'FSH', 'Q13601'})"
"frozenset({'Q5TA45', 'O95231', 'FSH'})"
"frozenset({'Q9Y6K9', 'P31751', 'FSH'})"
"frozenset({'P15153', 'Q07889', 'FSH'})"
"frozenset({'Q15291', 'Q9UHD2', 'FSH'})"
"frozenset({'Q9UKX7', 'Q9P0U4', 'FSH'})"
"frozenset({'P04629', 'Q9NP81', 'FSH'})"
"frozenset({'Q8NI08', 'FSH', 'P35869'})"
"frozenset({'Q9H1Y0', 'P55209', 'FSH'})"
"frozenset({'P24928', 'P12931', 'FSH'})"
"frozenset({'Q9GZT8', 'FSH', 'P62714'})"
"frozenset({'O14641', 'A2RRP1', 'FSH'})"
"frozenset({'Q92905', 'P14678', 'FSH'})"
"frozenset({'Q13291', 'Q9BX95', 'FSH'})"
"frozenset({'Q9UNF1', 'Q9Y5V3', 'FSH'})"
"frozenset({'Q93062', 'Q13131', 'FSH'})"
"frozenset({'P35244', 'P21333', 'FSH'})"
"frozenset({'P27986', 'FSH', 'O00459'})"
"frozenset({'Q9UJX0', 'P15884', 'FSH'})"
"frozenset({'P01106', 'Q15022', 'FSH'})"
"frozenset({'FSH', 'P14373', 'Q9BWT7'})"
"frozenset({'Q9UPY8', 'Q9Y448', 'FSH'})"
"frozenset({'Q14739', 'Q9P0N5', 'FSH'})"
"frozenset({'Q8WV44', 'Q92997', 'FSH'})"
"frozenset({'P60228', 'FSH', 'Q14152'})"
"frozenset({'Q86X76', 'FSH', 'Q9Y5K6'})"
"frozenset({'Q15637', 'Q09161', 'FSH'})"
"frozenset({'O14763', 'FSH', 'Q8NC42'})"
"frozenset({'Q05397', 'P12109', 'FSH'})"
"frozenset({'Q99665', 'P08700', 'FSH'})"
"frozenset({'O14776', 'FSH', 'Q16531'})"
"frozenset({'P60520', 'P09104', 'FSH'})"
"frozenset({'Q08945', 'O75530', 'FSH'})"
"frozenset({'P35716', 'P17612', 'FSH'})"
"frozenset({'P58400', 'FSH', 'O43166'})"
"frozenset({'P04629', 'P25786', 'FSH'})"
"frozenset({'Q02543', 'P23396', 'FSH'})"
"frozenset({'Q02809', 'FSH', 'Q2MV58'})"
"frozenset({'P08581', 'Q63HR2', 'FSH'})"
"frozenset({'P50221', 'FSH', 'P31273'})"
"frozenset({'Q5H9R7', 'P38398', 'FSH'})"
"frozenset({'Q8IWL3', 'Q96ER3', 'FSH'})"
"frozenset({'Q9GZN1', 'P54819', 'FSH'})"
"frozenset({'Q5TBB1', 'Q99766', 'FSH'})"
"frozenset({'P12277', 'Q8IV20', 'FSH'})"
"frozenset({'Q8N3L3', 'O95995', 'FSH'})"
"frozenset({'Q13480', 'P16885', 'FSH'})"
"frozenset({'Q14592', 'P13727', 'FSH'})"
"frozenset({'Q92747', 'O00401', 'FSH'})"
"frozenset({'O75360', 'O00311', 'FSH'})"
"frozenset({'Q2QGD7', 'P61964', 'FSH'})"
"frozenset({'P49821', 'Q9BRJ2', 'FSH'})"
"frozenset({'P20333', 'P04350', 'FSH'})"
